Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:11:41:43.783,2008:07:03:16:24:51.103,189787.319
2008:07:03:21:11:16.950,2008:07:05:23:52:34.158,182477.207
2008:07:06:21:55:58.067,2008:07:08:07:14:03.496,119885.429
2008:07:10:12:11:01.239,2008:07:10:14:32:28.777,8487.538
2008:07:12:21:30:08.493,2008:07:12:21:47:55.892,1067.399
2008:07:17:12:29:06.181,2008:07:17:13:02:12.213,1986.032
2008:07:19:19:45:50.668,2008:07:20:00:52:42.494,18411.826
2008:07:22:03:05:35.203,2008:07:24:01:31:53.063,167177.86
2008:07:24:10:29:41.359,2008:07:26:14:33:43.518,187442.159
2008:07:26:18:03:25.606,2008:07:28:23:00:48.605,190643
2008:07:29:02:04:15.778,2008:07:31:06:41:35.489,189439.711
2008:07:31:11:57:35.885,2008:08:02:14:08:19.850,180643.965
2008:08:03:19:40:46.690,2008:08:04:21:29:22.610,92915.92
2008:08:07:02:53:39.526,2008:08:07:04:47:32.072,6832.545
2008:08:09:11:50:22.673,2008:08:09:12:02:04.619,701.946
2008:08:14:02:43:56.459,2008:08:14:03:26:00.637,2524.177
2008:08:16:10:01:04.008,2008:08:16:16:55:52.727,24888.72
2008:08:18:17:21:09.868,2008:08:20:17:09:32.276,172102.408
2008:08:21:00:45:58.229,2008:08:23:05:01:37.212,188138.983
2008:08:23:08:21:26.112,2008:08:25:13:19:46.150,190700.038
2008:08:25:16:27:50.688,2008:08:27:20:58:10.428,189019.74
2008:08:28:02:50:53.257,2008:08:30:04:24:01.564,178388.308
2008:08:31:17:40:27.862,2008:09:01:11:44:39.679,65051.818
2008:09:03:17:30:16.681,2008:09:03:19:02:33.574,5536.893
2008:09:06:02:11:40.535,2008:09:06:02:14:36.015,175.48
2008:09:10:16:58:51.160,2008:09:10:17:51:46.418,3175.258
2008:09:13:00:16:19.255,2008:09:13:09:56:02.349,34783.094
2008:09:15:07:36:47.828,2008:09:17:08:27:28.159,175840.33
2008:09:17:15:02:22.361,2008:09:19:19:27:42.154,188719.793
2008:09:19:22:39:46.350,2008:09:22:03:38:18.864,190712.514
2008:09:22:06:52:40.524,2008:09:24:11:14:36.933,188516.409
2008:09:24:17:53:23.619,2008:09:26:18:39:39.655,175576.035
2008:09:28:13:24:08.399,2008:09:29:01:59:54.838,45346.439
2008:10:01:08:02:26.457,2008:10:01:09:17:33.126,4506.669
2008:10:08:07:13:49.244,2008:10:08:08:20:10.579,3981.335
2008:10:10:14:31:36.513,2008:10:11:04:41:07.157,50970.644
2008:10:12:21:52:29.402,2008:10:14:23:31:36.070,178746.668
2008:10:15:05:18:54.594,2008:10:17:09:52:17.627,189203.033
2008:10:17:12:58:29.197,2008:10:19:17:56:29.972,190680.775
2008:10:19:21:19:00.312,2008:10:22:01:30:55.874,187915.562
2008:10:22:09:08:21.934,2008:10:24:08:55:14.424,172012.49
2008:10:26:07:10:12.014,2008:10:26:16:15:08.176,32696.162
2008:10:28:22:31:15.292,2008:10:28:23:32:30.448,3675.156
2008:11:04:21:28:50.152,2008:11:04:22:52:09.323,4999.171
2008:11:07:04:46:55.928,2008:11:08:02:32:34.846,78338.918
2008:11:09:12:08:14.952,2008:11:11:14:25:43.582,181048.631
2008:11:11:19:35:35.870,2008:11:14:00:15:38.693,189602.824
2008:11:14:03:17:38.003,2008:11:16:08:14:22.171,190604.168
2008:11:16:11:47:08.832,2008:11:18:15:47:07.989,187199.156
2008:11:19:00:40:40.129,2008:11:20:23:10:46.114,167405.985
2008:11:22:23:45:12.908,2008:11:23:06:30:19.745,24306.837
2008:11:25:12:57:31.281,2008:11:25:13:47:25.068,2993.787
2008:12:02:11:43:53.550,2008:12:02:13:29:01.587,6308.037
2008:12:04:19:02:17.638,2008:12:06:02:11:59.497,112181.858
2008:12:07:02:24:04.829,2008:12:09:05:12:22.574,182897.745
2008:12:09:09:52:27.209,2008:12:11:14:37:57.140,189929.931
2008:12:11:17:37:16.595,2008:12:13:22:31:57.651,190481.057
2008:12:14:02:17:29.484,2008:12:16:06:03:13.889,186344.404
2008:12:16:16:37:52.873,2008:12:18:13:26:14.936,161302.063
2008:12:20:15:37:10.249,2008:12:20:20:45:29.576,18499.327
2008:12:23:03:21:50.034,2008:12:23:04:02:16.272,2426.238
2008:12:27:18:45:28.208,2008:12:27:18:53:10.426,462.218
2008:12:30:01:58:59.193,2008:12:30:04:12:40.948,8021.755
2009:01:01:09:17:40.761,2009:01:02:23:05:50.369,136089.608
2009:01:03:16:39:58.373,2009:01:05:19:53:17.128,184398.755
2009:01:06:00:09:28.639,2009:01:08:04:59:21.203,190192.563
2009:01:08:07:57:28.219,2009:01:10:12:49:17.163,190308.945
2009:01:10:16:50:30.328,2009:01:12:20:19:13.064,185322.736
2009:01:13:09:12:21.832,2009:01:15:03:41:40.053,152958.221
2009:01:17:07:01:38.336,2009:01:17:11:00:36.685,14338.349
2009:01:19:17:44:37.740,2009:01:19:18:17:01.941,1944.201
2009:01:24:08:59:01.351,2009:01:24:09:14:27.335,925.984
2009:01:26:16:14:05.874,2009:01:26:19:05:54.764,10308.891
2009:01:28:23:33:07.366,2009:01:30:17:27:00.334,150832.968
2009:01:31:06:55:57.885,2009:02:02:10:29:44.644,185626.759
2009:02:02:14:26:43.223,2009:02:04:19:20:00.341,190397.118
2009:02:04:22:18:19.675,2009:02:07:03:06:24.160,190084.486
2009:02:07:07:26:49.869,2009:02:09:10:35:07.908,184098.04
2009:02:10:02:45:22.937,2009:02:11:17:57:03.588,141100.651
2009:02:13:22:07:46.564,2009:02:14:01:15:43.042,11276.478
2009:02:16:08:06:18.273,2009:02:16:08:31:42.104,1523.832
2009:02:20:23:13:22.182,2009:02:20:23:35:52.481,1350.299
2009:02:23:06:29:15.411,2009:02:23:10:13:04.693,13429.282
2009:02:25:13:48:36.510,2009:02:27:10:23:47.680,160511.17
2009:02:27:21:12:02.674,2009:03:02:01:02:40.151,186637.478
2009:03:02:04:44:11.140,2009:03:04:09:39:59.832,190548.693
2009:03:04:12:39:55.612,2009:03:06:17:23:18.949,189803.337
2009:03:06:22:07:14.394,2009:03:09:00:50:57.781,182623.387
2009:03:09:21:52:56.740,2009:03:11:08:12:24.643,123567.904
2009:03:13:13:01:13.542,2009:03:13:15:30:47.593,8974.051
2009:03:15:22:27:10.196,2009:03:15:22:46:11.733,1141.537
2009:03:20:13:27:59.473,2009:03:20:13:58:10.597,1811.124
2009:03:22:20:44:26.704,2009:03:23:01:41:11.644,17804.94
2009:03:25:04:04:08.295,2009:03:27:02:31:58.426,167270.132
2009:03:27:11:28:13.134,2009:03:29:15:32:46.480,187473.345
2009:03:29:19:01:53.821,2009:03:31:23:59:25.153,190651.332
2009:04:01:03:02:23.019,2009:04:03:07:40:02.764,189459.746
2009:04:03:12:52:47.305,2009:04:05:15:06:43.055,180835.75
2009:04:06:19:11:00.469,2009:04:07:22:27:43.332,98202.863
2009:04:10:03:45:40.459,2009:04:10:05:45:50.254,7209.795
2009:04:12:12:47:36.405,2009:04:12:13:00:20.347,763.942
2009:04:17:03:42:45.595,2009:04:17:04:21:49.985,2344.39
2009:04:19:10:59:39.761,2009:04:19:17:42:29.024,24169.263
2009:04:21:18:19:42.922,2009:04:23:18:09:52.044,172209.122
2009:04:24:01:44:29.809,2009:04:26:06:00:36.860,188167.051
2009:04:26:09:19:53.116,2009:04:28:14:18:21.098,190707.982
2009:04:28:17:25:50.772,2009:04:30:21:56:36.805,189046.033
2009:05:01:03:44:56.044,2009:05:03:05:22:24.127,178648.083
2009:05:04:17:16:44.442,2009:05:05:12:42:59.792,69975.35
2009:05:07:18:23:36.522,2009:05:07:20:00:50.899,5834.378
2009:05:10:03:08:44.863,2009:05:10:03:13:09.960,265.097
2009:05:14:17:57:37.436,2009:05:14:18:47:21.734,2984.298
2009:05:17:01:14:54.659,2009:05:17:10:40:06.511,33911.852
2009:05:19:08:35:20.665,2009:05:21:09:27:41.291,175940.625
2009:05:21:16:00:53.397,2009:05:23:20:26:37.103,188743.706
2009:05:23:23:38:11.307,2009:05:26:04:36:51.789,190720.481
2009:05:26:07:50:30.134,2009:05:28:12:13:02.181,188552.048
2009:05:28:18:45:43.845,2009:05:30:19:38:01.397,175937.552
2009:06:01:13:24:38.456,2009:06:02:02:58:14.175,48815.718
2009:06:04:08:56:44.864,2009:06:04:10:15:49.365,4744.501
2009:06:11:08:12:33.425,2009:06:11:09:15:25.785,3772.359
2009:06:13:15:30:11.516,2009:06:14:05:22:01.712,49910.196
2009:06:15:22:51:01.853,2009:06:18:00:31:33.531,178831.678
2009:06:18:06:17:24.713,2009:06:20:10:51:07.168,189222.455
2009:06:20:13:56:51.116,2009:06:22:18:55:00.657,190689.541
2009:06:22:22:16:35.201,2009:06:25:02:29:19.866,187964.665
2009:06:25:09:58:08.001,2009:06:27:09:53:35.242,172527.24
2009:06:29:07:28:29.083,2009:06:29:17:13:26.619,35097.536
2009:07:01:23:26:18.172,2009:07:02:00:30:45.398,3867.227
2009:07:08:22:27:32.677,2009:07:08:23:46:56.551,4763.874
2009:07:11:05:45:30.449,2009:07:12:03:13:30.778,77280.329
2009:07:13:13:06:46.809,2009:07:15:15:25:22.015,181115.206
2009:07:15:20:34:04.643,2009:07:18:01:14:22.513,189617.869
2009:07:18:04:15:55.667,2009:07:20:09:12:50.500,190614.833
2009:07:20:12:44:23.416,2009:07:22:16:45:30.666,187267.25
2009:07:23:01:26:30.589,2009:07:25:00:09:05.971,168155.383
2009:07:27:00:14:48.367,2009:07:27:07:28:37.243,26028.876
2009:07:29:13:53:08.730,2009:07:29:14:45:38.604,3149.874
2009:08:05:12:42:34.614,2009:08:05:14:23:10.693,6036.079
