Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:03:09:02:18.629,2008:07:03:09:14:08.290,709.661
2008:07:03:12:45:24.286,2008:07:03:12:53:33.928,489.642
2008:07:05:16:58:15.395,2008:07:05:17:08:42.665,627.27
2008:07:05:20:27:30.184,2008:07:05:20:34:32.971,422.787
2008:07:08:00:49:30.884,2008:07:08:00:58:44.946,554.062
2008:07:08:04:05:41.371,2008:07:08:04:11:46.275,364.904
2008:07:10:08:36:42.515,2008:07:10:08:44:51.629,489.113
2008:07:10:11:40:32.872,2008:07:10:11:45:47.728,314.856
2008:07:12:16:20:14.268,2008:07:12:16:27:26.066,431.799
2008:07:12:19:12:29.260,2008:07:12:19:17:01.033,271.773
2008:07:15:00:00:24.202,2008:07:15:00:06:45.731,381.529
2008:07:15:02:41:50.032,2008:07:15:02:45:44.927,234.895
2008:07:17:07:37:27.957,2008:07:17:07:43:05.679,337.722
2008:07:17:10:08:52.040,2008:07:17:10:12:15.549,203.508
2008:07:19:15:11:40.054,2008:07:19:15:16:39.841,299.787
2008:07:19:17:33:50.416,2008:07:19:17:36:47.351,176.935
2008:07:21:22:43:14.700,2008:07:21:22:47:41.791,267.092
2008:07:22:00:56:59.143,2008:07:22:00:59:33.676,154.533
2008:07:24:06:12:26.590,2008:07:24:06:16:25.589,238.999
2008:07:24:08:18:31.573,2008:07:24:08:20:47.262,135.69
2008:07:26:13:39:31.538,2008:07:26:13:43:06.381,214.843
2008:07:26:15:38:40.815,2008:07:26:15:40:40.636,119.821
2008:07:28:21:04:46.804,2008:07:28:21:08:00.774,193.969
2008:07:28:22:57:39.906,2008:07:28:22:59:26.286,106.38
2008:07:31:04:28:30.736,2008:07:31:04:31:26.477,175.741
2008:07:31:06:15:41.616,2008:07:31:06:17:16.486,94.87
2008:08:02:11:51:01.107,2008:08:02:11:53:40.715,159.608
2008:08:02:13:32:57.589,2008:08:02:13:34:22.469,84.88
2008:08:04:19:12:32.507,2008:08:04:19:14:57.672,145.165
2008:08:04:20:49:37.093,2008:08:04:20:50:53.199,76.106
2008:08:07:02:33:14.916,2008:08:07:02:35:27.067,132.152
2008:08:07:04:05:46.503,2008:08:07:04:06:54.855,68.352
2008:08:09:09:53:14.413,2008:08:09:09:55:14.838,120.425
2008:08:09:11:21:29.900,2008:08:09:11:22:31.389,61.489
2008:08:11:17:12:34.747,2008:08:11:17:14:24.617,109.869
2008:08:11:18:36:49.992,2008:08:11:18:37:45.416,55.424
2008:08:14:00:31:18.373,2008:08:14:00:32:58.778,100.404
2008:08:14:01:51:48.727,2008:08:14:01:52:38.809,50.083
2008:08:16:07:49:26.970,2008:08:16:07:50:58.930,91.959
2008:08:16:09:06:27.577,2008:08:16:09:07:12.967,45.39
2008:08:17:03:59:24.107,2008:08:17:07:46:22.754,13618.647
2008:08:18:15:07:01.743,2008:08:18:15:08:26.200,84.457
2008:08:18:16:20:47.701,2008:08:18:16:21:29.001,41.3
2008:08:20:22:24:03.832,2008:08:20:22:25:21.659,77.827
2008:08:20:23:34:50.183,2008:08:20:23:35:27.918,37.735
2008:08:23:05:40:34.860,2008:08:23:05:41:46.837,71.977
2008:08:23:06:48:36.260,2008:08:23:06:49:10.900,34.639
2008:08:25:12:56:37.355,2008:08:25:12:57:44.155,66.8
2008:08:25:14:02:07.556,2008:08:25:14:02:39.497,31.941
2008:08:27:20:12:14.827,2008:08:27:20:13:17.007,62.179
2008:08:27:21:15:26.078,2008:08:27:21:15:55.643,29.565
2008:08:30:03:27:31.413,2008:08:30:03:28:29.418,58.005
2008:08:30:04:28:34.048,2008:08:30:04:29:01.497,27.449
2008:09:01:10:42:31.162,2008:09:01:10:43:25.346,54.184
2008:09:01:11:41:33.580,2008:09:01:11:41:59.115,25.536
2008:09:03:17:57:17.318,2008:09:03:17:58:07.975,50.657
2008:09:03:18:54:26.346,2008:09:03:18:54:50.145,23.799
2008:09:06:01:11:52.052,2008:09:06:01:12:39.441,47.389
2008:09:06:02:07:13.480,2008:09:06:02:07:35.689,22.21
2008:09:08:08:26:16.642,2008:09:08:08:27:01.004,44.362
2008:09:08:09:19:55.677,2008:09:08:09:20:16.438,20.761
2008:09:10:15:40:31.773,2008:09:10:15:41:13.338,41.565
2008:09:10:16:32:33.351,2008:09:10:16:32:52.789,19.437
2008:09:12:22:54:37.707,2008:09:12:22:55:16.703,38.995
2008:09:12:23:45:06.707,2008:09:12:23:45:24.949,18.242
2008:09:15:06:08:34.361,2008:09:15:06:09:11.009,36.648
2008:09:15:06:57:35.781,2008:09:15:06:57:52.952,17.171
2008:09:17:13:22:21.400,2008:09:17:13:22:55.920,34.52
2008:09:17:14:10:00.489,2008:09:17:14:10:16.707,16.218
2008:09:19:20:35:58.506,2008:09:19:20:36:31.107,32.601
2008:09:19:21:22:20.746,2008:09:19:21:22:36.123,15.378
2008:09:22:03:49:25.745,2008:09:22:03:49:56.617,30.872
2008:09:22:04:34:36.635,2008:09:22:04:34:51.273,14.638
2008:09:24:11:02:43.764,2008:09:24:11:03:13.068,29.305
2008:09:24:11:46:48.501,2008:09:24:11:47:02.485,13.984
2008:09:26:18:15:53.706,2008:09:26:18:16:21.572,27.866
2008:09:26:18:58:56.923,2008:09:26:18:59:10.323,13.4
2008:09:29:01:28:56.967,2008:09:29:01:29:23.507,26.54
2008:09:29:02:11:02.585,2008:09:29:02:11:15.458,12.873
2008:10:01:08:41:54.900,2008:10:01:08:42:20.188,25.288
2008:10:01:09:23:06.166,2008:10:01:09:23:18.558,12.392
2008:10:03:15:54:48.567,2008:10:03:15:55:12.677,24.11
2008:10:03:16:35:08.214,2008:10:03:16:35:20.165,11.951
2008:10:05:23:07:38.709,2008:10:05:23:08:01.707,22.998
2008:10:05:23:47:09.121,2008:10:05:23:47:20.671,11.549
2008:10:08:06:20:25.760,2008:10:08:06:20:47.704,21.944
2008:10:08:06:59:09.141,2008:10:08:06:59:20.322,11.181
2008:10:10:13:33:09.911,2008:10:10:13:33:30.866,20.956
2008:10:10:14:11:08.410,2008:10:10:14:11:19.260,10.85
2008:10:12:20:45:51.133,2008:10:12:20:46:11.167,20.034
2008:10:12:21:23:06.947,2008:10:12:21:23:17.505,10.558
2008:10:15:03:58:29.152,2008:10:15:03:58:48.338,19.185
2008:10:15:04:35:04.636,2008:10:15:04:35:14.941,10.305
2008:10:17:11:11:03.528,2008:10:17:11:11:21.933,18.405
2008:10:17:11:47:01.250,2008:10:17:11:47:11.341,10.091
2008:10:19:18:23:33.871,2008:10:19:18:23:51.569,17.697
2008:10:19:18:58:56.564,2008:10:19:18:59:06.476,9.912
2008:10:22:01:36:00.099,2008:10:22:01:36:17.154,17.054
2008:10:22:02:10:50.500,2008:10:22:02:11:00.267,9.767
2008:10:24:08:48:22.498,2008:10:24:08:48:38.958,16.46
