Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:13:44:08.415,2008:07:01:13:51:03.652,415.237
2008:07:01:17:07:46.585,2008:07:01:17:18:04.185,617.6
2008:07:03:21:24:20.604,2008:07:03:21:32:20.115,479.511
2008:07:04:01:01:48.830,2008:07:04:01:13:26.145,697.315
2008:07:06:05:09:10.310,2008:07:06:05:18:24.280,553.97
2008:07:06:09:01:37.891,2008:07:06:09:14:45.246,787.355
2008:07:08:12:59:44.734,2008:07:08:13:10:25.439,640.705
2008:07:08:17:08:29.641,2008:07:08:17:23:19.080,889.44
2008:07:10:20:57:16.782,2008:07:10:21:09:38.518,741.736
2008:07:11:01:23:39.886,2008:07:11:01:40:24.767,1004.881
2008:07:13:05:03:01.365,2008:07:13:05:17:20.000,858.635
2008:07:13:09:48:18.904,2008:07:13:10:07:13.043,1134.139
2008:07:15:13:18:11.319,2008:07:15:13:34:43.410,992.09
2008:07:15:18:23:25.677,2008:07:15:18:44:41.970,1276.293
2008:07:17:21:43:49.364,2008:07:17:22:02:50.641,1141.277
2008:07:18:03:09:37.611,2008:07:18:03:33:26.083,1428.471
2008:07:20:06:20:35.822,2008:07:20:06:42:19.005,1303.184
2008:07:20:12:06:56.854,2008:07:20:12:33:22.163,1585.309
2008:07:22:15:08:35.931,2008:07:22:15:33:08.041,1472.11
2008:07:22:21:14:39.079,2008:07:22:21:43:37.976,1738.896
2008:07:25:00:07:13.761,2008:07:25:00:34:33.654,1639.893
2008:07:25:06:31:13.172,2008:07:25:07:02:32.774,1879.602
2008:07:27:09:15:19.822,2008:07:27:09:45:16.793,1796.971
2008:07:27:15:54:37.878,2008:07:27:16:27:55.508,1997.63
2008:07:29:18:31:34.443,2008:07:29:19:03:48.402,1933.959
2008:07:30:01:22:53.428,2008:07:30:01:57:38.180,2084.752
2008:08:01:03:54:54.097,2008:08:01:04:28:56.921,2042.824
2008:08:01:10:54:28.999,2008:08:01:11:30:03.990,2134.99
2008:08:03:13:24:30.821,2008:08:03:13:59:47.579,2116.759
2008:08:03:20:28:14.917,2008:08:03:21:03:59.101,2144.184
2008:08:05:22:59:15.892,2008:08:05:23:35:05.823,2149.931
2008:08:06:06:02:42.503,2008:08:06:06:37:52.423,2109.92
2008:08:08:08:37:07.216,2008:08:08:09:12:45.688,2138.472
2008:08:08:15:35:38.715,2008:08:08:16:09:31.380,2032.665
2008:08:10:18:15:11.069,2008:08:10:18:49:53.290,2082.222
2008:08:11:01:04:17.223,2008:08:11:01:36:14.121,1916.898
2008:08:13:03:50:07.076,2008:08:13:04:23:12.741,1985.665
2008:08:13:10:25:46.337,2008:08:13:10:55:17.390,1771.053
2008:08:15:13:18:36.788,2008:08:15:13:49:34.278,1857.491
2008:08:15:19:37:34.540,2008:08:15:20:04:20.750,1606.209
2008:08:16:22:36:53.185,2008:08:17:02:26:28.997,13775.812
2008:08:17:22:37:48.438,2008:08:17:23:06:17.456,1709.018
2008:08:18:04:37:48.936,2008:08:18:05:01:43.111,1434.175
2008:08:20:07:45:37.894,2008:08:20:08:11:29.809,1551.915
2008:08:20:13:25:28.109,2008:08:20:13:46:33.531,1265.422
2008:08:22:16:41:03.865,2008:08:22:17:04:19.911,1396.046
2008:08:22:22:00:28.085,2008:08:22:22:18:55.599,1107.514
2008:08:25:01:24:10.982,2008:08:25:01:44:59.067,1248.085
2008:08:25:06:23:37.282,2008:08:25:06:39:41.808,964.526
2008:08:27:09:55:57.658,2008:08:27:10:14:29.036,1111.378
2008:08:27:14:36:20.400,2008:08:27:14:50:17.894,837.494
2008:08:29:18:17:53.289,2008:08:29:18:34:20.043,986.755
2008:08:29:22:40:16.949,2008:08:29:22:52:22.517,725.568
