Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:10:00:00.000,2008:07:01:10:52:29.778,3149.778
2008:07:01:12:26:15.836,2008:07:03:18:08:26.412,193330.576
2008:07:03:19:46:48.062,2008:07:06:01:24:55.841,193087.779
2008:07:06:03:08:16.960,2008:07:08:08:42:06.232,192829.272
2008:07:08:10:30:55.968,2008:07:10:16:00:06.331,192550.363
2008:07:10:17:54:58.722,2008:07:12:23:19:05.377,192246.655
2008:07:13:01:20:38.820,2008:07:15:06:39:13.279,191914.46
2008:07:15:08:48:10.043,2008:07:17:14:00:40.579,191550.536
2008:07:17:16:17:46.173,2008:07:19:21:23:38.107,191151.934
2008:07:19:23:49:40.305,2008:07:22:04:48:16.612,190716.307
2008:07:22:07:24:04.214,2008:07:24:12:14:46.840,190242.626
2008:07:24:15:01:08.585,2008:07:26:19:43:20.690,189732.105
2008:07:26:22:41:05.067,2008:07:29:03:14:14.124,189189.057
2008:07:29:06:24:10.937,2008:07:31:10:47:51.935,188620.998
2008:07:31:14:10:56.006,2008:08:02:18:24:51.827,188035.821
2008:08:02:22:02:07.395,2008:08:05:02:06:04.420,187437.025
2008:08:05:05:58:47.009,2008:08:07:09:52:29.877,186822.868
2008:08:07:14:02:04.357,2008:08:09:17:45:15.153,186190.797
2008:08:09:22:13:11.087,2008:08:12:01:45:32.435,185541.348
2008:08:12:06:33:17.427,2008:08:14:09:54:35.658,184878.23
2008:08:14:15:03:26.051,2008:08:16:18:13:32.586,184206.535
2008:08:16:23:44:20.527,2008:08:19:02:43:12.370,183531.843
2008:08:19:08:36:10.194,2008:08:21:11:23:53.779,182863.584
2008:08:21:17:38:19.893,2008:08:23:20:15:22.251,182222.358
2008:08:24:02:49:34.761,2008:08:26:05:17:00.613,181645.851
2008:08:26:12:08:22.101,2008:08:28:14:28:08.308,181186.207
2008:08:28:21:33:18.885,2008:08:30:23:48:13.143,180894.258
2008:08:31:07:03:23.127,2008:09:02:09:16:38.593,180795.466
2008:09:02:16:37:34.234,2008:09:04:18:52:12.950,180878.716
2008:09:05:02:14:19.157,2008:09:07:04:32:48.207,181109.049
2008:09:07:11:51:16.498,2008:09:09:14:15:22.899,181446.401
2008:09:09:21:25:26.749,2008:09:11:23:56:21.241,181854.492
2008:09:12:06:53:35.416,2008:09:14:09:31:57.577,182302.161
2008:09:14:16:12:37.669,2008:09:16:18:58:43.243,182765.574
2008:09:17:01:20:02.754,2008:09:19:04:13:57.903,183235.148
