Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:10:00:00.000,2008:07:01:13:44:08.415,13448.415
2008:07:01:17:18:04.185,2008:07:03:21:24:20.604,187576.418
2008:07:04:01:13:26.145,2008:07:06:05:09:10.310,186944.165
2008:07:06:09:14:45.246,2008:07:08:12:59:44.734,186299.488
2008:07:08:17:23:19.080,2008:07:10:20:57:16.782,185637.701
2008:07:11:01:40:24.767,2008:07:13:05:03:01.365,184956.598
2008:07:13:10:07:13.043,2008:07:15:13:18:11.319,184258.276
2008:07:15:18:44:41.970,2008:07:17:21:43:49.364,183547.394
2008:07:18:03:33:26.083,2008:07:20:06:20:35.822,182829.739
2008:07:20:12:33:22.163,2008:07:22:15:08:35.931,182113.768
2008:07:22:21:43:37.976,2008:07:25:00:07:13.761,181415.786
2008:07:25:07:02:32.774,2008:07:27:09:15:19.822,180767.049
2008:07:27:16:27:55.508,2008:07:29:18:31:34.443,180218.935
2008:07:30:01:57:38.180,2008:08:01:03:54:54.097,179835.917
2008:08:01:11:30:03.990,2008:08:03:13:24:30.821,179666.831
2008:08:03:21:03:59.101,2008:08:05:22:59:15.892,179716.791
2008:08:06:06:37:52.423,2008:08:08:08:37:07.216,179954.793
2008:08:08:16:09:31.380,2008:08:10:18:15:11.069,180339.689
2008:08:11:01:36:14.121,2008:08:13:03:50:07.076,180832.955
2008:08:13:10:55:17.390,2008:08:15:13:18:36.788,181399.397
2008:08:15:20:04:20.750,2008:08:16:22:36:53.185,95552.436
2008:08:17:02:26:28.997,2008:08:17:22:37:48.438,72679.441
2008:08:18:05:01:43.111,2008:08:20:07:45:37.894,182634.782
2008:08:20:13:46:33.531,2008:08:22:16:41:03.865,183270.334
2008:08:22:22:18:55.599,2008:08:25:01:24:10.982,183915.383
2008:08:25:06:39:41.808,2008:08:27:09:55:57.658,184575.85
2008:08:27:14:50:17.894,2008:08:29:18:17:53.289,185255.395
2008:08:29:22:52:22.517,2008:09:01:02:31:32.374,185949.857
2008:09:01:06:47:27.946,2008:09:03:10:38:14.660,186646.715
2008:09:03:14:36:47.975,2008:09:05:18:38:58.813,187330.839
2008:09:05:22:21:16.478,2008:09:08:02:34:26.771,187990.293
2008:09:08:06:01:32.803,2008:09:10:10:25:10.242,188617.439
2008:09:10:13:38:07.454,2008:09:12:18:11:34.729,189207.274
2008:09:12:21:11:25.442,2008:09:15:01:54:01.272,189755.83
2008:09:15:04:41:47.809,2008:09:17:09:32:48.060,190260.251
2008:09:17:12:09:32.978,2008:09:19:17:08:13.206,190720.228
2008:09:19:19:34:58.509,2008:09:22:00:40:37.569,191139.06
2008:09:22:02:58:22.676,2008:09:24:08:10:25.286,191522.611
2008:09:24:10:20:04.468,2008:09:26:15:38:01.788,191877.32
2008:09:26:17:40:22.311,2008:09:28:23:03:50.984,192208.673
2008:09:29:00:59:32.558,2008:10:01:06:28:13.002,192520.444
2008:10:01:08:17:48.485,2008:10:03:13:51:23.197,192814.713
2008:10:03:15:35:20.053,2008:10:05:21:13:32.517,193092.465
2008:10:05:22:52:14.387,2008:10:08:04:34:48.602,193354.215
2008:10:08:06:08:36.587,2008:10:10:11:55:16.765,193600.178
2008:10:10:13:24:30.336,2008:10:12:19:15:00.525,193830.189
2008:10:12:20:39:58.267,2008:10:15:02:34:01.879,194043.613
2008:10:15:03:55:02.158,2008:10:17:09:52:21.941,194239.783
2008:10:17:11:09:43.288,2008:10:19:17:10:02.211,194418.922
2008:10:19:18:24:03.072,2008:10:22:00:27:05.634,194582.562
2008:10:22:01:38:03.540,2008:10:24:07:43:36.536,194732.996
2008:10:24:08:51:47.255,2008:10:26:14:59:39.824,194872.569
2008:10:26:16:05:16.932,2008:10:28:22:15:20.216,195003.284
2008:10:28:23:18:35.082,2008:10:31:05:30:41.757,195126.675
2008:10:31:06:31:43.815,2008:11:02:12:45:47.612,195243.797
2008:11:02:13:44:44.775,2008:11:04:20:00:40.082,195355.307
2008:11:04:20:57:39.170,2008:11:07:03:15:20.745,195461.575
2008:11:07:04:10:27.839,2008:11:09:10:29:50.548,195562.708
2008:11:09:11:23:11.337,2008:11:11:17:44:09.810,195658.473
2008:11:11:18:35:49.904,2008:11:14:00:58:18.232,195748.328
2008:11:14:01:48:23.501,2008:11:16:08:12:15.236,195831.735
2008:11:16:09:00:51.951,2008:11:18:15:26:00.647,195908.697
2008:11:18:16:13:15.248,2008:11:20:22:39:35.051,195979.803
2008:11:20:23:25:33.725,2008:11:23:05:52:59.626,196045.901
2008:11:23:06:37:47.971,2008:11:25:13:06:15.785,196107.814
2008:11:25:13:49:58.676,2008:11:27:20:19:24.929,196166.253
2008:11:27:21:02:06.527,2008:11:30:03:32:28.312,196221.785
2008:11:30:04:14:12.142,2008:12:02:10:45:26.964,196274.822
