"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:03:10:22:20.741,2008:07:03:16:08:38.806,20778.066
2008:07:12:18:31:53.666,2008:07:12:19:35:46.726,3833.060
2008:07:15:01:02:24.801,2008:07:15:19:45:16.236,67371.435
2008:07:17:07:36:51.373,2008:07:19:09:08:20.270,178288.898
2008:07:19:14:16:01.066,2008:07:21:18:21:47.100,187546.033
2008:07:21:21:05:34.925,2008:07:24:01:37:02.077,189087.152
2008:07:24:04:26:54.275,2008:07:26:08:25:12.760,187098.485
2008:07:26:14:31:24.231,2008:07:28:15:03:48.027,174743.796
2008:07:30:14:44:09.899,2008:07:30:21:37:30.368,24800.469
2008:08:09:00:00:59.111,2008:08:09:00:56:09.532,3310.420
2008:08:11:06:31:10.296,2008:08:11:21:35:18.172,54247.876
2008:08:13:13:05:25.860,2008:08:15:14:18:08.231,177162.371
2008:08:15:19:44:16.125,2008:08:17:23:46:37.030,187340.904
2008:08:18:02:33:01.399,2008:08:20:07:04:30.333,189088.934
2008:08:20:09:51:29.846,2008:08:22:13:53:28.924,187319.079
2008:08:22:19:36:48.183,2008:08:24:20:32:24.451,176136.268
2008:08:26:18:48:17.550,2008:08:27:03:06:20.959,29883.409
2008:08:29:09:19:40.844,2008:08:29:09:30:17.583,636.739
2008:09:05:05:30:07.866,2008:09:05:06:17:26.820,2838.955
2008:09:07:11:59:56.376,2008:09:08:00:15:46.629,44150.253
2008:09:09:18:34:01.087,2008:09:11:19:25:45.803,175904.716
2008:09:12:01:12:32.708,2008:09:14:05:11:10.951,187118.243
2008:09:14:08:00:32.043,2008:09:16:12:31:54.622,189082.579
2008:09:16:15:16:22.303,2008:09:18:19:21:43.668,187521.365
2008:09:19:00:44:48.234,2008:09:21:02:01:00.148,177371.915
2008:09:22:22:27:45.598,2008:09:23:08:35:10.647,36445.049
2008:09:25:14:41:09.273,2008:09:25:15:01:35.124,1225.851
2008:10:02:10:59:20.910,2008:10:02:11:39:30.092,2409.182
2008:10:04:17:28:43.082,2008:10:05:03:35:37.797,36414.715
2008:10:07:00:02:37.069,2008:10:09:00:30:54.666,174497.597
2008:10:09:06:40:50.805,2008:10:11:10:35:27.974,186877.169
2008:10:11:13:28:06.728,2008:10:13:17:59:14.905,189068.177
2008:10:13:20:41:30.560,2008:10:16:00:49:57.022,187706.462
2008:10:16:05:55:03.284,2008:10:18:07:29:35.150,178471.865
2008:10:20:01:31:45.678,2008:10:20:14:03:59.503,45133.825
2008:10:22:20:03:11.041,2008:10:22:20:31:43.812,1712.771
2008:10:29:16:28:39.811,2008:10:29:17:02:11.069,2011.258
2008:10:31:22:57:30.455,2008:11:01:07:24:11.384,30400.929
2008:11:03:05:31:13.826,2008:11:05:05:33:11.978,172918.152
2008:11:05:12:09:10.403,2008:11:07:15:59:26.947,186616.543
2008:11:07:18:55:45.299,2008:11:09:23:26:31.070,189045.771
2008:11:10:02:06:53.500,2008:11:12:06:18:08.997,187875.497
2008:11:12:11:07:15.274,2008:11:14:12:58:09.479,179454.205
2008:11:16:03:44:05.307,2008:11:16:19:32:47.585,56922.278
2008:11:19:01:24:57.613,2008:11:19:02:01:27.212,2189.599
2008:11:25:21:58:07.266,2008:11:25:22:25:21.068,1633.802
2008:11:28:04:26:18.545,2008:11:28:11:33:36.622,25638.078
2008:11:30:10:59:51.353,2008:12:02:10:32:07.807,171136.454
2008:12:02:17:37:31.449,2008:12:04:21:23:06.162,186334.713
2008:12:05:00:23:27.524,2008:12:07:04:53:42.827,189015.302
2008:12:07:07:32:29.853,2008:12:09:11:46:19.523,188029.669
2008:12:09:16:21:08.007,2008:12:11:18:26:43.135,180335.128
2008:12:13:04:47:41.456,2008:12:14:01:01:34.949,72833.493
2008:12:16:06:46:11.254,2008:12:16:07:30:56.885,2685.631
2008:12:23:03:27:48.557,2008:12:23:03:48:49.562,1261.005
2008:12:25:09:55:07.364,2008:12:25:15:58:25.384,21798.020
2008:12:27:16:28:29.603,2008:12:29:15:27:02.042,169112.438
2008:12:29:23:05:53.827,2009:01:01:02:46:22.178,186029.351
2009:01:01:05:51:12.066,2009:01:03:10:20:48.665,188976.599
2009:01:03:12:58:17.198,2009:01:05:17:14:27.413,188170.214
2009:01:05:21:36:25.695,2009:01:07:23:55:15.044,181129.348
2009:01:09:04:57:10.434,2009:01:10:06:30:20.614,91990.180
2009:01:12:12:06:37.930,2009:01:12:13:00:16.852,3218.922
2009:01:19:08:57:56.138,2009:01:19:09:12:17.542,861.404
2009:01:21:15:23:55.885,2009:01:21:20:34:48.505,18652.620
2009:01:23:21:57:07.504,2009:01:25:20:17:00.524,166793.021
2009:01:26:04:34:16.372,2009:01:28:08:09:13.882,185697.510
2009:01:28:11:19:00.541,2009:01:30:15:47:49.920,188929.378
2009:01:30:18:24:16.073,2009:02:01:22:42:34.420,188298.347
2009:02:02:02:52:57.492,2009:02:04:05:23:47.072,181849.580
2009:02:05:05:24:51.071,2009:02:06:11:59:06.547,110055.476
2009:02:08:17:26:06.509,2009:02:08:18:29:31.757,3805.248
2009:02:15:14:29:50.792,2009:02:15:14:34:24.338,273.546
2009:02:17:20:52:46.087,2009:02:18:01:20:07.553,16041.467
2009:02:20:03:25:46.944,2009:02:22:01:00:56.036,164109.092
2009:02:22:10:02:40.917,2009:02:24:13:31:36.776,185335.858
2009:02:24:16:46:51.572,2009:02:26:21:14:44.899,188873.327
2009:02:26:23:50:24.227,2009:03:01:04:10:39.297,188415.070
2009:03:01:08:10:32.032,2009:03:03:10:52:18.112,182506.080
2009:03:04:06:57:19.087,2009:03:05:17:27:51.712,124232.625
2009:03:07:22:44:21.376,2009:03:07:23:58:42.129,4460.753
2009:03:17:02:21:36.978,2009:03:17:06:12:26.906,13849.928
2009:03:19:08:54:26.872,2009:03:21:05:37:18.234,160971.362
2009:03:21:15:31:06.351,2009:03:23:18:53:27.276,184940.924
2009:03:23:22:14:44.922,2009:03:26:02:41:33.002,188808.080
2009:03:26:05:16:40.778,2009:03:28:09:38:41.873,188521.095
2009:03:28:13:29:01.644,2009:03:30:16:20:48.087,183106.443
2009:03:31:09:28:10.244,2009:04:01:22:56:36.085,134905.841
