Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:12:44:41.644,2008:07:01:13:28:21.236,2619.592
2008:07:01:16:51:32.808,2008:07:01:17:33:19.605,2506.798
2008:07:01:20:58:22.989,2008:07:01:21:38:16.909,2393.919
2008:07:02:01:05:12.067,2008:07:02:01:43:13.132,2281.065
2008:07:02:05:11:59.934,2008:07:02:05:48:08.252,2168.317
2008:07:02:09:18:46.507,2008:07:02:09:53:02.240,2055.733
2008:07:02:13:25:31.723,2008:07:02:13:57:55.061,1943.339
2008:07:02:17:32:15.546,2008:07:02:18:02:46.654,1831.108
2008:07:02:21:38:57.967,2008:07:02:22:07:36.940,1718.973
2008:07:03:01:45:39.026,2008:07:03:02:12:25.837,1606.811
2008:07:03:05:52:18.794,2008:07:03:06:17:13.196,1494.401
2008:07:03:09:58:57.408,2008:07:03:10:21:58.857,1381.45
2008:07:03:14:05:35.081,2008:07:03:14:26:42.566,1267.485
2008:07:03:18:12:12.147,2008:07:03:18:31:23.983,1151.836
2008:07:03:22:18:49.099,2008:07:03:22:36:02.599,1033.501
2008:07:04:02:25:26.726,2008:07:04:02:40:37.645,910.919
2008:07:04:06:32:06.357,2008:07:04:06:45:07.801,781.444
2008:07:04:10:38:50.478,2008:07:04:10:49:30.628,640.15
2008:07:04:14:45:44.833,2008:07:04:14:53:40.412,475.579
2008:07:04:18:53:12.056,2008:07:04:18:57:14.571,242.515
2008:07:11:22:34:03.336,2008:07:11:22:39:20.348,317.012
2008:07:12:02:38:01.388,2008:07:12:02:46:00.214,478.826
2008:07:12:06:42:17.375,2008:07:12:06:52:23.806,606.431
2008:07:12:10:46:41.900,2008:07:12:10:58:40.587,718.687
2008:07:12:14:51:11.655,2008:07:12:15:04:53.942,822.287
2008:07:12:18:55:45.043,2008:07:12:19:11:05.527,920.484
2008:07:12:23:00:21.154,2008:07:12:23:17:16.314,1015.16
2008:07:13:03:04:59.418,2008:07:13:03:23:26.924,1107.506
2008:07:13:07:09:39.454,2008:07:13:07:29:37.791,1198.337
2008:07:13:11:14:21.004,2008:07:13:11:35:49.222,1288.218
2008:07:13:15:19:03.864,2008:07:13:15:42:01.444,1377.58
2008:07:13:19:23:47.909,2008:07:13:19:48:14.631,1466.722
2008:07:13:23:28:33.021,2008:07:13:23:54:28.913,1555.892
2008:07:14:03:33:19.129,2008:07:14:04:00:44.388,1645.258
2008:07:14:07:38:06.174,2008:07:14:08:07:01.132,1734.958
2008:07:14:11:42:54.097,2008:07:14:12:13:19.184,1825.088
2008:07:14:15:47:42.878,2008:07:14:16:19:38.590,1915.711
2008:07:14:19:52:32.489,2008:07:14:20:25:59.359,2006.871
2008:07:14:23:57:22.908,2008:07:15:00:32:21.493,2098.585
2008:07:15:04:02:14.126,2008:07:15:04:38:44.979,2190.853
2008:07:15:08:07:06.135,2008:07:15:08:45:09.791,2283.655
2008:07:15:12:11:58.930,2008:07:15:12:51:35.893,2376.962
2008:07:15:16:16:52.522,2008:07:15:16:58:03.237,2470.715
2008:07:15:20:21:46.913,2008:07:15:21:04:31.764,2564.851
2008:07:16:00:26:42.105,2008:07:16:01:11:01.415,2659.31
2008:07:16:04:31:38.111,2008:07:16:05:17:32.109,2753.998
2008:07:16:08:36:34.939,2008:07:16:09:24:03.765,2848.826
2008:07:16:12:41:32.613,2008:07:16:13:30:36.295,2943.682
2008:07:16:16:46:31.146,2008:07:16:17:37:09.598,3038.452
2008:07:16:20:51:30.559,2008:07:16:21:43:43.567,3133.008
2008:07:17:00:56:30.864,2008:07:17:01:50:18.106,3227.242
2008:07:17:05:01:32.087,2008:07:17:05:56:53.097,3321.01
2008:07:17:09:06:34.247,2008:07:17:10:03:28.425,3414.179
2008:07:17:13:11:37.377,2008:07:17:14:10:03.973,3506.596
2008:07:17:17:16:41.499,2008:07:17:18:16:39.620,3598.121
2008:07:17:21:21:46.644,2008:07:17:22:23:15.243,3688.599
2008:07:18:01:26:52.833,2008:07:18:02:29:50.726,3777.893
2008:07:18:05:32:00.100,2008:07:18:06:36:25.943,3865.843
2008:07:18:09:37:08.476,2008:07:18:10:43:00.777,3952.301
2008:07:18:13:42:17.989,2008:07:18:14:49:35.100,4037.112
2008:07:18:17:47:28.682,2008:07:18:18:56:08.810,4120.128
2008:07:18:21:52:40.585,2008:07:18:23:02:41.787,4201.202
2008:07:19:01:57:53.739,2008:07:19:03:09:13.922,4280.183
2008:07:19:06:03:08.172,2008:07:19:07:15:45.109,4356.937
2008:07:19:10:08:23.927,2008:07:19:11:22:15.246,4431.319
2008:07:19:14:13:41.042,2008:07:19:15:28:44.240,4503.198
2008:07:19:18:18:59.559,2008:07:19:19:35:11.998,4572.439
2008:07:19:22:24:19.514,2008:07:19:23:41:38.435,4638.921
2008:07:20:02:29:40.959,2008:07:20:03:48:03.469,4702.511
2008:07:20:06:35:03.931,2008:07:20:07:54:27.029,4763.098
2008:07:20:10:40:28.475,2008:07:20:12:00:49.048,4820.573
2008:07:20:14:45:54.639,2008:07:20:16:07:09.459,4874.82
2008:07:20:18:51:22.461,2008:07:20:20:13:28.202,4925.741
2008:07:20:22:56:51.989,2008:07:21:00:19:45.238,4973.248
2008:07:21:03:02:23.271,2008:07:21:04:26:00.516,5017.245
2008:07:21:07:07:56.352,2008:07:21:08:32:13.999,5057.647
2008:07:21:11:13:31.277,2008:07:21:12:38:25.653,5094.376
2008:07:21:15:19:08.099,2008:07:21:16:44:35.451,5127.352
2008:07:21:19:24:46.856,2008:07:21:20:50:43.369,5156.513
2008:07:21:23:30:27.597,2008:07:22:00:56:49.390,5181.793
2008:07:22:03:36:10.367,2008:07:22:05:02:53.501,5203.134
2008:07:22:07:41:55.211,2008:07:22:09:08:55.695,5220.484
2008:07:22:11:47:42.173,2008:07:22:13:14:55.966,5233.793
2008:07:22:15:53:31.293,2008:07:22:17:20:54.314,5243.021
2008:07:22:19:59:22.612,2008:07:22:21:26:50.744,5248.133
2008:07:23:00:05:16.166,2008:07:23:01:32:45.262,5249.096
2008:07:23:04:11:11.992,2008:07:23:05:38:37.879,5245.887
2008:07:23:08:17:10.121,2008:07:23:09:44:28.606,5238.485
2008:07:23:12:23:10.584,2008:07:23:13:50:17.461,5226.877
2008:07:23:16:29:13.405,2008:07:23:17:56:04.461,5211.056
2008:07:23:20:35:18.607,2008:07:23:22:01:49.626,5191.02
2008:07:24:00:41:26.206,2008:07:24:02:07:32.980,5166.774
2008:07:24:04:47:36.215,2008:07:24:06:13:14.546,5138.332
2008:07:24:08:53:48.639,2008:07:24:10:18:54.352,5105.713
2008:07:24:13:00:03.479,2008:07:24:14:24:32.420,5068.941
2008:07:24:17:06:20.729,2008:07:24:18:30:08.780,5028.051
2008:07:24:21:12:40.375,2008:07:24:22:35:43.462,4983.086
2008:07:25:01:19:02.397,2008:07:25:02:41:16.494,4934.097
2008:07:25:05:25:26.763,2008:07:25:06:46:47.907,4881.144
2008:07:25:09:31:53.445,2008:07:25:10:52:17.731,4824.286
2008:07:25:13:38:22.390,2008:07:25:14:57:46.003,4763.612
2008:07:25:17:44:53.545,2008:07:25:19:03:12.742,4699.198
2008:07:25:21:51:26.845,2008:07:25:23:08:37.987,4631.141
2008:07:26:01:58:02.218,2008:07:26:03:14:01.766,4559.548
2008:07:26:06:04:39.576,2008:07:26:07:19:24.108,4484.532
2008:07:26:10:11:18.835,2008:07:26:11:24:45.051,4406.216
2008:07:26:14:17:59.886,2008:07:26:15:30:04.619,4324.733
2008:07:26:18:24:42.618,2008:07:26:19:35:22.845,4240.227
2008:07:26:22:31:26.905,2008:07:26:23:40:39.757,4152.853
