"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:04:16:35:58.338,2008:07:04:19:01:39.624,8741.286
2008:07:11:13:56:34.337,2008:07:11:14:37:18.181,2443.843
2008:07:14:23:21:10.514,2008:07:17:16:44:36.514,235406.000
2008:07:18:08:52:15.015,2008:07:21:15:28:24.719,282969.704
2008:07:21:18:41:30.335,2008:07:25:01:59:26.375,285476.040
2008:07:25:06:13:46.355,2008:07:28:11:40:05.122,278778.767
2008:07:31:17:56:45.500,2008:07:31:21:08:29.213,11503.713
2008:08:07:16:03:39.887,2008:08:07:16:35:57.326,1937.440
2008:08:11:01:27:48.242,2008:08:13:10:33:20.105,205531.863
2008:08:14:10:58:14.653,2008:08:17:17:24:21.420,282366.767
2008:08:17:20:45:12.193,2008:08:21:04:04:05.041,285532.848
2008:08:21:07:59:59.905,2008:08:24:13:46:19.209,279979.305
2008:08:27:18:57:45.170,2008:08:27:23:15:16.582,15451.413
2008:09:03:18:10:51.838,2008:09:03:18:35:52.693,1500.855
2008:09:07:03:34:27.620,2008:09:07:20:13:01.059,59913.439
2008:09:10:13:04:18.697,2008:09:13:19:18:33.827,281655.131
2008:09:13:22:49:12.892,2008:09:17:06:08:30.231,285557.339
2008:09:17:09:49:35.659,2008:09:20:15:52:29.729,280974.071
2008:09:23:19:25:10.768,2008:09:24:01:22:01.883,21411.115
2008:09:30:20:18:14.480,2008:09:30:20:36:41.693,1107.212
2008:10:04:05:41:08.593,2008:10:04:15:44:58.219,36229.626
2008:10:07:15:10:26.817,2008:10:10:21:10:39.874,280813.057
2008:10:11:00:53:30.314,2008:10:14:08:12:40.468,285550.154
2008:10:14:11:41:52.438,2008:10:17:17:58:36.443,281804.005
2008:10:20:18:46:45.606,2008:10:21:03:28:45.201,31319.595
2008:10:27:22:25:59.541,2008:10:27:22:37:58.436,718.895
2008:10:31:07:47:51.150,2008:10:31:14:45:42.919,25071.769
2008:11:03:17:16:38.731,2008:11:06:23:00:10.896,279812.165
2008:11:07:02:58:02.607,2008:11:10:10:16:33.989,285511.382
2008:11:10:13:36:18.996,2008:11:13:20:04:39.114,282500.118
2008:11:16:15:02:19.312,2008:11:17:05:35:26.603,52387.292
2008:11:20:14:46:30.413,2008:11:20:14:57:24.293,653.880
2008:11:24:00:35:33.581,2008:11:24:00:38:05.268,151.688
2008:11:27:09:54:35.282,2008:11:27:15:00:15.007,18339.724
2008:11:30:19:22:54.165,2008:12:04:00:46:28.556,278614.392
2008:12:04:05:02:48.092,2008:12:07:12:20:08.587,285440.495
2008:12:07:15:32:30.999,2008:12:10:22:10:37.388,283086.390
2008:12:11:18:00:27.586,2008:12:14:07:42:06.113,222098.527
2008:12:17:16:46:40.604,2008:12:17:17:05:31.147,1130.543
2008:12:24:12:01:20.938,2008:12:24:15:52:18.802,13857.863
2008:12:27:21:29:12.791,2008:12:31:02:28:40.410,277167.619
2008:12:31:07:07:45.234,2009:01:03:14:23:20.469,285336.234
2009:01:03:17:30:08.214,2009:01:07:00:16:29.789,283581.575
2009:01:07:14:09:28.275,2009:01:10:09:48:42.667,243554.392
2009:01:13:18:46:20.939,2009:01:13:19:13:01.423,1600.484
2009:01:20:14:08:07.055,2009:01:20:17:06:29.290,10702.235
2009:01:23:23:35:33.302,2009:01:27:04:05:32.407,275399.105
2009:01:27:09:12:51.606,2009:01:30:16:26:08.180,285196.575
2009:01:30:19:28:57.409,2009:02:03:02:22:17.727,284000.318
2009:02:03:13:11:30.403,2009:02:06:11:55:18.137,254627.734
2009:02:09:20:44:52.642,2009:02:09:21:20:17.875,2125.233
2009:02:16:16:14:55.598,2009:02:16:18:34:51.132,8395.534
2009:02:20:01:41:57.379,2009:02:23:05:35:22.876,273205.497
2009:02:23:11:18:08.006,2009:02:26:18:28:26.635,285018.628
2009:02:26:21:28:45.633,2009:03:02:04:27:59.522,284353.888
2009:03:02:13:19:24.631,2009:03:05:14:01:51.370,261746.739
2009:03:08:22:41:41.098,2009:03:08:23:27:25.861,2744.763
2009:03:15:18:21:45.578,2009:03:15:20:12:47.544,6661.967
2009:03:19:03:48:23.787,2009:03:22:06:55:39.461,270435.674
2009:03:22:13:23:32.440,2009:03:25:20:30:11.119,284798.679
2009:03:25:23:29:23.619,2009:03:29:06:33:34.523,284650.904
2009:03:29:14:02:22.802,2009:04:01:16:08:22.200,266759.398
2009:04:05:00:36:06.212,2009:04:05:01:34:28.171,3501.959
2009:04:11:20:28:37.129,2009:04:11:21:57:27.169,5330.040
2009:04:15:05:54:52.375,2009:04:18:08:02:31.249,266858.874
2009:04:18:15:29:04.176,2009:04:21:22:31:16.203,284532.027
2009:04:22:01:30:44.168,2009:04:25:08:39:02.057,284897.889
2009:04:25:15:06:55.172,2009:04:28:18:14:50.511,270475.340
2009:05:02:02:27:14.741,2009:05:02:03:41:26.296,4451.555
2009:05:08:22:35:30.491,2009:05:08:23:46:57.809,4287.319
2009:05:12:08:01:23.055,2009:05:15:08:49:42.449,262099.394
2009:05:15:17:34:42.601,2009:05:19:00:31:35.460,284212.859
2009:05:19:03:32:41.517,2009:05:22:10:44:21.448,285099.932
2009:05:22:16:25:52.138,2009:05:25:20:21:16.213,273324.075
2009:05:29:04:13:52.175,2009:05:29:05:48:21.162,5668.987
2009:06:05:00:42:26.012,2009:06:05:01:40:02.929,3456.917
2009:06:08:10:07:55.736,2009:06:11:09:06:01.235,255485.499
2009:06:11:19:40:27.196,2009:06:15:02:31:01.070,283833.874
2009:06:15:05:35:10.856,2009:06:18:12:49:31.902,285261.046
2009:06:18:17:54:57.891,2009:06:21:22:27:39.200,275561.309
2009:06:25:05:54:09.644,2009:06:25:07:55:13.351,7263.707
2009:07:02:02:49:24.169,2009:07:02:03:35:48.450,2784.280
2009:07:05:12:14:30.329,2009:07:08:08:28:13.489,245623.159
2009:07:08:21:46:17.470,2009:07:12:04:29:23.386,283385.917
2009:07:12:07:38:08.052,2009:07:15:14:54:32.458,285384.406
2009:07:15:19:31:28.097,2009:07:19:00:33:59.302,277351.205
2009:07:22:07:25:20.326,2009:07:22:10:02:03.240,9402.914
2009:07:29:04:56:25.688,2009:07:29:05:33:34.855,2229.167
2009:08:01:14:21:06.737,2009:08:04:05:52:14.760,228668.023
2009:08:04:23:52:12.920,2009:08:08:06:26:30.409,282857.489
2009:08:08:09:41:29.527,2009:08:11:16:59:22.010,285472.482
2009:08:11:21:13:31.726,2009:08:15:02:40:16.307,278804.581
2009:08:18:08:42:53.463,2009:08:18:12:08:51.068,12357.605
2009:08:25:07:03:31.808,2009:08:25:07:32:52.225,1760.417
2009:08:28:16:27:44.866,2009:08:30:16:33:10.112,173125.246
2009:09:01:01:58:13.124,2009:09:04:08:22:07.247,282234.123
2009:09:04:11:45:12.248,2009:09:07:19:03:59.292,285527.045
2009:09:07:22:59:51.243,2009:09:11:04:46:29.991,279998.748
2009:09:14:09:38:54.751,2009:09:14:14:15:36.961,16602.210
2009:09:21:09:10:44.914,2009:09:21:09:33:16.567,1351.653
2009:09:24:18:34:24.634,2009:09:25:07:48:08.428,47623.793
2009:09:28:04:04:17.687,2009:10:01:10:15:55.349,281497.662
2009:10:01:13:49:13.685,2009:10:04:21:08:22.919,285549.233
2009:10:05:00:49:31.168,2009:10:08:06:52:40.104,280988.936
2009:10:11:09:57:50.327,2009:10:11:16:22:20.988,23070.661
2009:10:18:11:18:10.274,2009:10:18:11:34:26.133,975.859
2009:10:21:20:41:06.016,2009:10:22:05:15:51.752,30885.737
2009:10:25:06:10:26.310,2009:10:28:12:07:31.203,280624.893
2009:10:28:15:53:31.752,2009:10:31:23:12:31.379,285539.627
2009:11:01:02:41:50.854,2009:11:04:08:58:46.424,281815.570
2009:11:07:09:01:43.797,2009:11:07:18:29:03.219,34039.422
2009:11:11:03:42:02.721,2009:11:11:03:50:46.735,524.014
2009:11:14:13:26:04.139,2009:11:14:13:35:51.958,587.820
2009:11:17:22:47:48.994,2009:11:18:04:52:56.949,21907.956
2009:11:21:08:16:38.710,2009:11:24:13:56:24.172,279585.461
2009:11:24:17:58:04.629,2009:11:28:01:16:22.877,285498.248
2009:11:28:04:36:19.564,2009:12:01:11:04:48.708,282509.144
2009:12:04:04:09:58.327,2009:12:04:20:35:43.695,59145.368
2009:12:08:05:42:39.320,2009:12:08:05:58:59.860,980.540
2009:12:15:00:54:33.532,2009:12:15:05:25:14.857,16241.324
2009:12:18:10:22:54.580,2009:12:21:15:41:53.027,278338.448
2009:12:21:20:02:50.630,2009:12:25:03:19:55.147,285424.517
2009:12:25:06:32:33.253,2009:12:28:13:10:46.592,283093.340
2009:12:29:08:20:06.212,2009:12:31:22:42:22.398,224536.186
2010:01:04:07:43:03.330,2010:01:04:08:06:31.759,1408.429
2010:01:11:03:01:19.585,2010:01:11:06:27:37.258,12377.673
2010:01:14:12:29:13.608,2010:01:17:17:23:01.077,276827.468
2010:01:17:22:07:48.210,2010:01:21:05:23:05.297,285317.088
2010:01:21:08:30:12.739,2010:01:24:15:16:39.601,283586.863
2010:01:25:04:54:37.074,2010:01:28:00:48:59.237,244462.163
2010:01:31:09:42:33.098,2010:01:31:10:13:48.095,1874.996
2010:02:07:05:08:07.109,2010:02:07:07:48:23.230,9616.121
2010:02:10:14:35:35.477,2010:02:13:18:58:28.996,274973.519
2010:02:14:00:12:55.931,2010:02:17:07:25:49.791,285173.860
2010:02:17:10:29:02.794,2010:02:20:17:22:27.103,284004.309
2010:02:21:04:03:33.388,2010:02:24:02:55:34.063,255120.675
2010:02:27:11:40:39.852,2010:02:27:12:20:55.914,2416.062
2010:03:06:07:14:56.090,2010:03:06:09:21:11.753,7575.663
2010:03:09:16:41:59.888,2010:03:12:20:26:23.390,272663.502
2010:03:13:02:18:12.619,2010:03:16:09:28:04.448,284991.829
2010:03:16:12:28:51.546,2010:03:19:19:28:08.433,284356.887
2010:03:20:04:14:30.838,2010:03:23:05:02:06.697,262055.858
2010:03:26:13:36:50.770,2010:03:26:14:27:58.170,3067.400
2010:04:02:09:21:46.582,2010:04:02:11:02:15.403,6028.821
2010:04:05:18:48:26.630,2010:04:08:21:43:56.630,269730.001
