"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:05:00:14:42.537,2008:07:05:02:04:04.337,6561.800
2008:07:12:11:03:12.263,2008:07:12:12:32:23.586,5351.323
2008:07:16:03:32:03.119,2008:07:19:14:32:43.395,298840.276
2008:07:19:20:11:07.249,2008:07:23:10:29:37.842,310710.593
2008:07:23:13:33:21.067,2008:07:27:03:28:20.844,309299.777
2008:07:27:20:57:10.218,2008:07:30:20:02:45.389,255935.171
2008:08:07:05:04:02.454,2008:08:07:05:23:39.240,1176.786
2008:08:10:21:29:34.098,2008:08:13:16:48:18.062,242323.964
2008:08:14:14:02:55.725,2008:08:18:03:48:28.070,308732.346
2008:08:18:06:57:33.745,2008:08:21:21:19:04.172,310890.427
2008:08:22:02:25:56.663,2008:08:25:14:00:01.036,300844.373
2008:08:29:05:23:52.174,2008:08:29:06:29:06.197,3914.022
2008:09:05:15:28:14.060,2008:09:05:17:50:47.905,8553.845
2008:09:09:07:58:02.559,2008:09:12:20:05:59.264,302876.705
2008:09:13:00:39:50.042,2008:09:16:15:02:36.238,310966.197
2008:09:16:18:18:17.523,2008:09:20:07:55:21.961,308224.437
2008:09:23:17:51:58.253,2008:09:24:00:28:15.620,23777.367
2008:10:01:09:28:10.364,2008:10:01:10:02:31.789,2061.425
2008:10:05:01:55:05.356,2008:10:08:07:18:38.276,278612.920
2008:10:08:18:30:01.546,2008:10:12:08:30:29.910,309628.363
2008:10:12:11:31:25.551,2008:10:16:01:47:34.804,310569.252
2008:10:16:08:27:42.493,2008:10:19:18:26:00.002,295097.509
2008:10:23:10:14:57.762,2008:10:23:10:53:53.386,2335.624
2008:10:30:19:53:23.976,2008:10:30:23:54:14.679,14450.703
2008:11:03:12:24:14.986,2008:11:07:01:16:41.786,305546.800
2008:11:07:05:09:23.756,2008:11:10:19:34:03.119,311079.363
2008:11:10:23:10:52.166,2008:11:14:12:22:04.185,306672.019
2008:11:18:01:33:28.520,2008:11:18:04:53:38.120,12009.600
2008:11:25:13:52:48.904,2008:11:25:14:47:12.121,3263.218
2008:11:29:06:20:45.443,2008:12:02:15:20:12.918,291567.475
2008:12:02:22:57:34.153,2008:12:06:13:08:37.595,310263.442
2008:12:06:16:07:51.092,2008:12:10:06:15:31.040,310059.949
2008:12:10:15:51:43.193,2008:12:13:22:51:49.090,284405.897
2008:12:17:14:57:01.410,2008:12:17:15:18:10.804,1269.394
2008:12:25:00:18:41.585,2008:12:25:07:55:10.259,27388.675
2008:12:28:16:50:43.008,2009:01:01:06:13:48.649,307386.641
2009:01:01:09:40:02.352,2009:01:05:00:04:18.220,311055.867
2009:01:05:04:15:30.422,2009:01:08:16:48:29.511,304379.089
2009:01:12:07:25:04.237,2009:01:12:09:18:51.586,6827.348
2009:01:19:18:17:41.625,2009:01:19:19:42:36.880,5095.256
2009:01:23:10:46:34.447,2009:01:26:21:41:19.346,298484.899
2009:01:27:03:25:38.545,2009:01:30:17:43:53.269,310694.723
2009:01:30:20:47:49.647,2009:02:03:10:42:57.627,309307.980
2009:02:04:03:59:49.375,2009:02:07:03:17:28.198,256658.824
2009:02:10:19:36:35.602,2009:02:10:19:39:36.490,180.888
2009:02:14:12:18:30.238,2009:02:14:12:37:08.518,1118.279
2009:02:18:04:44:05.555,2009:02:20:21:51:50.409,234464.854
2009:02:21:21:17:28.058,2009:02:25:11:02:08.377,308680.319
2009:02:25:14:12:06.325,2009:03:01:04:33:37.348,310891.023
2009:03:01:09:40:15.886,2009:03:04:21:14:41.724,300865.837
2009:03:08:12:35:43.774,2009:03:08:13:43:56.484,4092.710
2009:03:15:22:42:44.988,2009:03:16:00:58:11.146,8126.157
2009:03:19:15:12:35.186,2009:03:23:03:17:22.855,302687.669
2009:03:23:07:54:23.424,2009:03:26:22:17:01.156,310957.732
2009:03:27:01:32:51.705,2009:03:30:15:10:00.729,308229.024
2009:04:03:00:52:40.402,2009:04:03:07:42:59.681,24619.279
2009:04:10:16:42:39.967,2009:04:10:17:15:30.829,1970.862
2009:04:14:09:09:37.822,2009:04:17:14:10:15.958,277238.137
2009:04:18:01:44:34.940,2009:04:21:15:44:31.481,309596.541
2009:04:21:18:45:59.933,2009:04:25:09:02:10.494,310570.561
2009:04:25:15:41:43.829,2009:04:29:01:40:41.441,295137.612
2009:05:02:17:27:27.323,2009:05:02:18:08:48.013,2480.690
2009:05:10:03:07:55.873,2009:05:10:06:55:03.368,13627.496
2009:05:13:19:38:48.131,2009:05:17:08:29:18.777,305430.646
2009:05:17:12:23:57.413,2009:05:21:02:48:32.000,311074.587
2009:05:21:06:25:21.827,2009:05:24:19:36:43.450,306681.624
2009:05:28:08:40:37.787,2009:05:28:12:08:22.952,12465.165
2009:06:04:21:07:19.833,2009:06:04:21:59:12.622,3112.790
2009:06:08:13:35:18.201,2009:06:11:22:24:21.223,290943.023
2009:06:12:06:12:07.286,2009:06:15:20:22:48.358,310241.071
2009:06:15:23:22:22.504,2009:06:19:13:30:07.212,310064.708
