Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:10:00:00.000,2008:07:03:22:27:57.915,217677.915
2008:07:03:23:14:15.807,2008:07:06:11:53:36.429,218360.623
2008:07:06:12:38:40.059,2008:07:09:01:19:08.852,218428.793
2008:07:09:02:03:01.903,2008:07:11:14:44:35.973,218494.069
2008:07:11:15:27:21.777,2008:07:14:04:09:57.930,218556.153
2008:07:14:04:51:39.808,2008:07:16:17:35:14.555,218614.747
2008:07:16:18:15:55.988,2008:07:19:07:00:25.537,218669.549
2008:07:19:07:40:10.196,2008:07:21:20:25:30.514,218720.318
2008:07:21:21:04:22.286,2008:07:24:09:50:29.223,218766.937
2008:07:24:10:28:32.121,2008:07:26:23:15:21.693,218809.572
2008:07:26:23:52:39.673,2008:07:29:12:40:08.409,218848.735
2008:07:29:13:16:45.157,2008:08:01:02:04:50.378,218885.22
2008:08:01:02:40:49.045,2008:08:03:15:29:28.863,218919.818
2008:08:03:16:04:52.002,2008:08:06:04:54:04.905,218952.903
2008:08:06:05:28:54.598,2008:08:08:18:18:39.077,218984.479
2008:08:08:18:52:57.192,2008:08:11:07:43:11.555,219014.363
2008:08:11:08:16:59.928,2008:08:13:21:07:42.286,219042.358
2008:08:13:21:41:02.813,2008:08:16:10:32:11.036,219068.223
2008:08:16:11:05:05.730,2008:08:16:20:12:50.632,32864.903
2008:08:17:01:53:04.647,2008:08:18:23:56:37.450,165812.803
2008:08:19:00:29:08.470,2008:08:21:13:21:01.147,219112.677
2008:08:21:13:53:10.744,2008:08:24:02:45:21.862,219131.118
2008:08:24:03:17:12.330,2008:08:26:16:09:39.655,219147.325
2008:08:26:16:41:13.175,2008:08:29:05:33:54.929,219161.753
2008:08:29:06:05:13.495,2008:08:31:18:58:08.358,219174.863
2008:08:31:19:29:13.729,2008:09:03:08:22:20.618,219186.889
2008:09:03:08:53:14.369,2008:09:05:21:46:32.188,219197.818
2008:09:05:22:17:15.815,2008:09:08:11:10:43.307,219207.492
2008:09:08:11:41:18.318,2008:09:11:00:34:54.041,219215.724
2008:09:11:01:05:21.991,2008:09:13:13:59:04.300,219222.308
2008:09:13:14:29:26.814,2008:09:16:03:23:13.836,219227.023
2008:09:16:03:53:32.609,2008:09:18:16:47:22.287,219229.679
2008:09:18:17:17:39.051,2008:09:21:06:11:29.302,219230.251
2008:09:21:06:41:45.773,2008:09:23:19:35:34.757,219228.984
2008:09:23:20:05:52.566,2008:09:26:08:59:38.802,219226.236
2008:09:26:09:29:59.525,2008:09:28:22:23:41.843,219222.318
2008:09:28:22:54:07.013,2008:10:01:11:47:44.357,219217.344
2008:10:01:12:18:15.546,2008:10:04:01:11:46.778,219211.232
2008:10:04:01:42:25.649,2008:10:06:14:35:49.414,219203.764
2008:10:06:15:06:37.761,2008:10:09:03:59:52.444,219194.683
2008:10:09:04:30:52.196,2008:10:11:17:23:55.923,219183.726
2008:10:11:17:55:09.135,2008:10:14:06:47:59.750,219170.614
2008:10:14:07:19:28.553,2008:10:16:20:12:03.639,219155.086
2008:10:16:20:43:50.130,2008:10:19:09:36:07.212,219137.083
2008:10:19:10:08:13.357,2008:10:21:23:00:10.234,219116.877
2008:10:21:23:32:37.845,2008:10:24:12:24:12.725,219094.88
2008:10:24:12:57:03.573,2008:10:27:01:48:14.961,219071.389
2008:10:27:02:21:30.904,2008:10:29:15:12:17.357,219046.454
2008:10:29:15:46:00.476,2008:11:01:04:36:20.373,219019.897
2008:11:01:05:10:33.065,2008:11:03:18:00:24.440,218991.375
2008:11:03:18:35:09.467,2008:11:06:07:24:29.926,218960.459
2008:11:06:07:59:50.424,2008:11:08:20:48:37.118,218926.694
2008:11:08:21:24:36.562,2008:11:11:10:12:46.161,218889.598
2008:11:11:10:49:28.277,2008:11:13:23:36:56.965,218848.688
2008:11:14:00:14:25.488,2008:11:16:13:01:09.204,218803.716
2008:11:16:13:39:27.606,2008:11:19:02:25:22.564,218754.958
2008:11:19:03:04:33.968,2008:11:21:15:49:37.007,218703.038
2008:11:21:16:29:44.415,2008:11:24:05:13:52.815,218648.4
2008:11:24:05:54:59.404,2008:11:26:18:38:10.517,218591.113
2008:11:26:19:20:19.924,2008:11:29:08:02:30.816,218530.892
2008:11:29:08:45:47.354,2008:12:01:21:26:54.537,218467.183
2008:12:01:22:11:23.357,2008:12:04:10:51:22.575,218399.218
2008:12:04:11:37:09.784,2008:12:07:00:15:55.856,218326.072
2008:12:07:01:03:08.537,2008:12:09:13:40:35.240,218246.702
2008:12:09:14:29:21.371,2008:12:12:03:05:21.301,218159.93
2008:12:12:03:55:49.375,2008:12:14:16:30:14.108,218064.732
2008:12:14:17:22:32.502,2008:12:17:05:55:13.445,217960.943
2008:12:17:06:49:30.013,2008:12:19:19:20:19.353,217849.34
2008:12:19:20:16:41.730,2008:12:22:08:45:32.457,217730.727
2008:12:22:09:44:08.699,2008:12:24:22:10:53.956,217605.257
2008:12:24:23:11:53.171,2008:12:27:11:36:25.614,217472.443
2008:12:27:12:39:58.538,2008:12:30:01:02:09.794,217331.256
2008:12:30:02:08:29.380,2009:01:01:14:28:08.507,217180.127
2009:01:01:15:37:30.483,2009:01:04:03:54:27.403,217016.919
2009:01:04:05:07:10.730,2009:01:06:17:21:09.635,216838.905
2009:01:06:18:37:36.697,2009:01:09:06:48:19.380,216642.682
2009:01:09:08:08:55.587,2009:01:11:20:16:00.029,216424.443
2009:01:11:21:41:12.459,2009:01:14:09:44:13.962,216181.503
2009:01:14:11:14:29.908,2009:01:16:23:13:03.779,215913.871
2009:01:17:00:48:50.669,2009:01:19:12:42:33.717,215623.048
2009:01:19:14:24:20.377,2009:01:22:02:12:50.272,215309.896
2009:01:22:04:01:08.503,2009:01:24:15:44:02.669,214974.166
2009:01:24:17:39:28.914,2009:01:27:05:16:23.755,214614.841
2009:01:27:07:19:41.106,2009:01:29:18:50:11.230,214230.124
2009:01:29:21:02:11.845,2009:02:01:08:25:48.798,213816.953
2009:02:01:10:47:36.329,2009:02:03:22:03:46.741,213370.413
2009:02:04:00:36:38.004,2009:02:06:11:44:41.073,212883.07
2009:02:06:14:30:05.647,2009:02:09:01:29:10.291,212344.645
2009:02:09:04:28:46.605,2009:02:09:10:50:12.182,22885.576
2009:02:09:13:09:44.421,2009:02:11:15:17:51.867,180487.446
2009:02:11:18:33:20.658,2009:02:14:05:11:24.092,211083.434
2009:02:14:08:44:23.766,2009:02:16:19:10:32.570,210368.805
2009:02:16:23:02:38.165,2009:02:19:09:16:15.264,209617.099
2009:02:19:13:28:58.456,2009:02:21:23:29:46.125,208847.669
2009:02:22:04:04:34.649,2009:02:24:13:52:40.833,208086.184
2009:02:24:18:50:57.994,2009:02:27:04:27:05.572,207367.578
2009:02:27:09:50:09.406,2009:03:01:19:15:42.777,206733.371
2009:03:02:01:04:40.852,2009:03:04:10:21:42.001,206221.149
2009:03:04:16:37:14.305,2009:03:07:01:48:03.592,205849.288
2009:03:07:08:29:48.093,2009:03:09:17:36:30.742,205602.649
2009:03:10:00:42:17.241,2009:03:12:09:46:14.862,205437.621
2009:03:12:17:11:33.282,2009:03:15:02:13:31.408,205318.126
2009:03:15:09:51:45.847,2009:03:17:18:52:24.449,205238.602
2009:03:18:02:35:50.633,2009:03:20:11:35:58.431,205207.798
2009:03:20:19:16:54.157,2009:03:23:04:17:31.260,205237.103
2009:03:23:11:49:13.726,2009:03:25:20:51:41.254,205347.528
2009:03:26:04:08:56.154,2009:03:28:13:15:04.711,205568.557
2009:03:28:20:14:02.907,2009:03:31:05:25:57.358,205914.45
2009:03:31:12:03:50.352,2009:04:02:21:23:14.099,206363.747
2009:04:03:03:37:53.885,2009:04:05:13:05:47.260,206873.375
