"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:10:00:00.000,2008:07:03:16:03:38.394,194618.394
2008:07:03:16:49:20.576,2008:07:05:23:02:11.604,195171.027
2008:07:05:23:46:48.172,2008:07:08:06:00:40.036,195231.863
2008:07:08:06:44:13.904,2008:07:10:12:59:04.380,195290.476
2008:07:10:13:41:38.132,2008:07:12:19:57:24.839,195346.707
2008:07:12:20:39:01.003,2008:07:15:02:55:41.376,195400.373
2008:07:15:03:36:22.556,2008:07:17:09:53:53.817,195451.261
2008:07:17:10:33:42.754,2008:07:19:16:52:01.924,195499.170
2008:07:19:17:31:01.531,2008:07:21:23:50:05.459,195543.928
2008:07:22:00:28:18.780,2008:07:24:06:48:04.245,195585.465
2008:07:24:07:25:34.430,2008:07:26:13:45:58.306,195623.877
2008:07:26:14:22:48.466,2008:07:28:20:43:47.925,195659.459
2008:07:28:21:20:01.006,2008:07:31:03:41:33.718,195692.712
2008:07:31:04:17:12.324,2008:08:02:10:39:16.524,195724.200
2008:08:02:11:14:22.831,2008:08:04:17:36:57.154,195754.323
2008:08:04:18:11:32.946,2008:08:07:00:34:36.162,195783.216
2008:08:07:01:08:42.985,2008:08:09:07:32:13.818,195810.833
2008:08:09:08:05:53.114,2008:08:11:14:29:50.193,195837.079
2008:08:11:15:03:03.409,2008:08:13:21:27:25.216,195861.808
2008:08:13:22:00:13.858,2008:08:16:04:24:58.729,195884.871
2008:08:16:04:57:24.388,2008:08:16:22:38:37.126,63672.739
2008:08:17:03:35:03.693,2008:08:18:11:22:30.491,114446.799
2008:08:18:11:54:34.858,2008:08:20:18:20:00.239,195925.381
2008:08:20:18:51:45.088,2008:08:23:01:17:27.758,195942.670
2008:08:23:01:48:54.898,2008:08:25:08:14:52.995,195958.098
2008:08:25:08:46:04.206,2008:08:27:15:12:16.115,195971.909
2008:08:27:15:43:13.063,2008:08:29:22:09:37.497,195984.434
2008:08:29:22:40:21.682,2008:09:01:05:06:57.611,195995.929
