"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:10:00:00.000,2008:07:05:16:01:22.594,367282.594
2008:07:05:16:46:50.029,2008:07:09:23:00:16.344,368006.315
2008:07:09:23:43:41.327,2008:07:14:05:58:54.276,368112.949
2008:07:14:06:40:26.905,2008:07:18:12:57:16.322,368209.417
2008:07:18:13:37:07.018,2008:07:22:19:55:21.103,368294.085
2008:07:22:20:33:41.165,2008:07:27:02:53:07.777,368366.612
2008:07:27:03:30:08.887,2008:07:31:09:50:38.218,368429.331
2008:07:31:10:26:30.933,2008:08:04:16:47:57.571,368486.638
2008:08:04:17:22:49.816,2008:08:08:23:45:10.434,368540.618
2008:08:09:00:19:08.058,2008:08:13:06:42:18.240,368590.182
2008:08:13:07:15:26.632,2008:08:17:02:00:11.646,326685.015
2008:08:17:04:59:29.048,2008:08:17:13:39:20.432,31191.384
2008:08:17:14:11:45.358,2008:08:21:20:36:15.448,368670.089
2008:08:21:21:08:03.234,2008:08:26:03:33:02.102,368698.869
2008:08:26:04:04:19.246,2008:08:30:10:29:41.435,368722.189
2008:08:30:11:00:33.749,2008:09:03:17:26:16.410,368742.661
2008:09:03:17:56:48.688,2008:09:08:00:22:49.418,368760.730
2008:09:08:00:53:05.984,2008:09:12:07:19:21.213,368775.230
2008:09:12:07:49:26.503,2008:09:16:14:15:51.268,368784.765
2008:09:16:14:45:50.040,2008:09:20:21:12:18.083,368788.043
2008:09:20:21:42:15.263,2008:09:25:04:08:40.634,368785.371
2008:09:25:04:38:40.935,2008:09:29:11:04:59.851,368778.916
2008:09:29:11:35:07.712,2008:10:03:18:01:17.829,368770.117
2008:10:03:18:31:37.829,2008:10:08:00:57:36.264,368758.435
2008:10:08:01:28:13.509,2008:10:12:07:53:55.868,368742.359
2008:10:12:08:24:56.119,2008:10:16:14:50:16.234,368720.116
2008:10:16:15:21:45.588,2008:10:20:21:46:35.898,368690.310
2008:10:20:22:18:40.064,2008:10:25:04:42:54.125,368654.061
2008:10:25:05:15:38.311,2008:10:29:11:39:12.030,368613.720
2008:10:29:12:12:41.837,2008:11:02:18:35:31.656,368569.819
2008:11:02:19:09:54.057,2008:11:07:01:31:54.948,368520.891
2008:11:07:02:07:18.702,2008:11:11:08:28:23.248,368464.545
2008:11:11:09:04:58.776,2008:11:15:15:24:56.577,368397.801
2008:11:15:16:02:54.798,2008:11:19:22:21:33.631,368318.833
2008:11:19:23:01:04.263,2008:11:24:05:18:14.323,368230.060
2008:11:24:05:59:26.619,2008:11:28:12:15:00.788,368134.169
2008:11:28:12:58:05.853,2008:12:02:19:11:56.641,368030.789
2008:12:02:19:57:09.280,2008:12:07:02:09:06.274,367916.994
2008:12:07:02:56:46.094,2008:12:11:09:06:34.030,367787.936
2008:12:11:09:57:05.333,2008:12:15:16:04:22.053,367636.720
2008:12:15:16:58:10.851,2008:12:19:23:02:30.275,367459.424
2008:12:20:00:00:01.216,2008:12:24:06:01:01.411,367260.195
2008:12:24:07:02:40.890,2008:12:28:13:00:03.033,367042.143
2008:12:28:14:06:24.579,2009:01:01:19:59:47.051,366803.472
2009:01:01:21:11:36.633,2009:01:06:03:00:34.311,366537.678
2009:01:06:04:18:55.295,2009:01:10:10:02:46.928,366231.633
2009:01:10:11:29:01.499,2009:01:14:17:06:45.141,365863.642
2009:01:14:18:42:26.646,2009:01:19:00:12:48.165,365421.519
2009:01:19:01:59:35.903,2009:01:23:07:21:30.889,364914.986
2009:01:23:09:21:21.007,2009:01:27:14:33:56.728,364355.721
2009:01:27:16:49:20.375,2009:01:31:21:51:56.443,363756.068
2009:02:01:00:26:25.451,2009:02:05:05:18:33.585,363128.134
2009:02:05:08:17:10.789,2009:02:09:12:58:14.999,362464.211
2009:02:09:16:27:46.270,2009:02:13:20:56:28.964,361722.694
2009:02:14:01:04:52.158,2009:02:18:05:20:26.288,360934.130
2009:02:18:10:16:25.921,2009:02:22:14:21:18.438,360292.518
2009:02:22:20:14:29.906,2009:02:27:00:17:33.092,360183.186
2009:02:27:07:18:24.429,2009:03:03:11:40:23.633,361319.203
2009:03:03:19:59:33.234,2009:03:08:01:15:17.017,364543.783
2009:03:08:10:57:28.286,2009:03:12:17:37:26.140,369597.853
2009:03:13:04:24:46.383,2009:03:17:12:16:27.775,373901.392
2009:03:17:23:21:03.081,2009:03:22:07:25:05.101,374642.020
2009:03:22:17:56:43.189,2009:03:27:01:14:47.196,371884.007
2009:03:27:10:47:09.781,2009:03:31:17:02:33.640,368123.860
2009:04:01:01:27:25.957,2009:04:05:06:51:17.397,365031.440
2009:04:05:14:06:09.171,2009:04:09:18:53:38.978,362849.807
2009:04:10:01:01:32.562,2009:04:14:05:28:17.371,361604.810
2009:04:14:10:38:11.586,2009:04:18:14:58:21.186,361209.600
2009:04:18:19:21:09.610,2009:04:22:23:44:22.042,361392.432
2009:04:23:03:29:42.167,2009:04:27:08:01:34.130,361911.964
2009:04:27:11:16:44.292,2009:05:01:16:00:12.702,362608.410
2009:05:01:18:50:17.611,2009:05:05:23:45:44.687,363327.077
2009:05:06:02:14:35.538,2009:05:10:07:20:46.430,363970.892
2009:05:10:09:31:51.170,2009:05:14:14:47:13.468,364522.297
2009:05:14:16:43:42.224,2009:05:18:22:06:57.850,364995.626
2009:05:18:23:51:32.547,2009:05:23:05:21:42.092,365409.546
2009:05:23:06:56:30.846,2009:05:27:12:32:57.914,365787.068
2009:05:27:13:59:32.798,2009:05:31:19:41:54.418,366141.621
2009:05:31:21:01:17.756,2009:06:05:02:49:01.348,366463.592
2009:06:05:04:02:03.604,2009:06:09:09:54:27.625,366744.021
2009:06:09:11:01:57.504,2009:06:13:16:58:21.108,366983.604
2009:06:13:18:01:05.463,2009:06:18:00:00:53.543,367188.079
2009:06:18:00:59:34.580,2009:06:22:07:02:20.621,367366.041
2009:06:22:07:57:33.110,2009:06:26:14:03:02.196,367529.086
2009:06:26:14:55:10.734,2009:06:30:21:03:13.736,367683.001
2009:06:30:21:52:34.936,2009:07:05:04:02:59.356,367824.420
2009:07:05:04:49:48.025,2009:07:07:22:14:30.871,235482.846
2009:07:08:01:19:37.016,2009:07:09:11:02:18.299,121361.283
2009:07:09:11:46:50.084,2009:07:13:18:01:09.991,368059.907
2009:07:13:18:43:41.128,2009:07:18:00:59:35.718,368154.591
2009:07:18:01:40:21.850,2009:07:22:07:57:39.848,368237.999
2009:07:22:08:36:54.280,2009:07:26:14:55:29.945,368315.665
2009:07:26:15:33:22.060,2009:07:30:21:53:11.276,368389.216
2009:07:30:22:29:47.944,2009:08:04:04:50:44.404,368456.460
2009:08:04:05:26:12.423,2009:08:08:11:48:08.063,368515.640
2009:08:08:12:22:34.942,2009:08:12:18:45:20.914,368565.971
2009:08:12:19:18:54.673,2009:08:17:01:42:22.666,368607.992
2009:08:17:02:15:11.186,2009:08:21:08:39:15.397,368644.211
2009:08:21:09:11:25.413,2009:08:25:15:36:03.123,368677.711
2009:08:25:16:07:39.774,2009:08:29:22:32:48.189,368708.415
2009:08:29:23:03:55.953,2009:09:03:05:29:30.591,368734.638
2009:09:03:06:00:14.163,2009:09:07:12:26:09.252,368755.089
2009:09:07:12:56:33.723,2009:09:11:19:22:42.845,368769.122
2009:09:11:19:52:53.475,2009:09:16:02:19:10.882,368777.406
2009:09:16:02:49:12.704,2009:09:20:09:15:34.896,368782.192
2009:09:20:09:45:32.467,2009:09:24:16:11:57.501,368785.034
2009:09:24:16:41:55.210,2009:09:28:23:08:20.105,368784.895
2009:09:28:23:38:22.616,2009:10:03:06:04:42.710,368780.094
2009:10:03:06:34:55.080,2009:10:07:13:01:04.408,368769.327
2009:10:07:13:31:31.867,2009:10:11:19:57:23.910,368752.042
2009:10:11:20:28:11.434,2009:10:16:02:53:40.884,368729.450
2009:10:16:03:24:53.105,2009:10:20:09:49:56.837,368703.732
2009:10:20:10:21:38.734,2009:10:24:16:46:13.960,368675.226
2009:10:24:17:18:31.591,2009:10:28:23:42:33.598,368642.007
2009:10:29:00:15:34.215,2009:11:02:06:38:56.113,368601.899
2009:11:02:07:12:47.781,2009:11:06:13:35:20.801,368553.020
2009:11:06:14:10:11.556,2009:11:10:20:31:46.453,368494.897
2009:11:10:21:07:43.445,2009:11:15:03:28:13.212,368429.767
2009:11:15:04:05:23.443,2009:11:19:10:24:43.230,368359.788
2009:11:19:11:03:15.454,2009:11:23:17:21:19.489,368284.035
2009:11:23:18:01:25.419,2009:11:28:00:18:04.647,368199.227
2009:11:28:00:59:58.995,2009:12:02:07:15:00.576,368101.582
2009:12:02:07:59:00.222,2009:12:06:14:12:07.429,367987.207
