Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:10:00:00.000,2008:07:01:15:19:42.875,19182.875
2008:07:01:16:05:52.650,2008:07:01:21:36:24.552,19831.902
2008:07:01:22:22:30.644,2008:07:02:03:53:06.196,19835.551
2008:07:02:04:39:08.617,2008:07:02:10:09:47.806,19839.188
2008:07:02:10:55:46.569,2008:07:02:16:26:29.384,19842.815
2008:07:02:17:12:24.505,2008:07:02:22:43:10.932,19846.427
2008:07:02:23:29:02.424,2008:07:03:04:59:52.451,19850.027
2008:07:03:05:45:40.326,2008:07:03:11:16:33.943,19853.617
2008:07:03:12:02:18.214,2008:07:03:17:33:15.412,19857.198
2008:07:03:18:18:56.088,2008:07:03:23:49:56.856,19860.768
2008:07:04:00:35:33.949,2008:07:04:06:06:38.278,19864.329
2008:07:04:06:52:11.799,2008:07:04:12:23:19.679,19867.88
2008:07:04:13:08:49.634,2008:07:04:18:40:01.061,19871.428
2008:07:04:19:25:27.461,2008:07:05:00:56:42.426,19874.964
2008:07:05:01:42:05.280,2008:07:05:07:13:23.773,19878.494
2008:07:05:07:58:43.090,2008:07:05:13:30:05.106,19882.016
2008:07:05:14:15:20.891,2008:07:05:19:46:46.424,19885.532
2008:07:05:20:31:58.686,2008:07:06:02:03:27.728,19889.042
2008:07:06:02:48:36.471,2008:07:06:08:20:09.020,19892.548
2008:07:06:09:05:14.252,2008:07:06:14:36:50.299,19896.048
2008:07:06:15:21:52.030,2008:07:06:20:53:31.568,19899.538
2008:07:06:21:38:29.799,2008:07:07:03:10:12.828,19903.029
2008:07:07:03:55:07.567,2008:07:07:09:26:54.075,19906.507
2008:07:07:10:11:45.327,2008:07:07:15:43:35.313,19909.986
2008:07:07:16:28:23.085,2008:07:07:22:00:16.543,19913.458
2008:07:07:22:45:00.841,2008:07:08:04:16:57.765,19916.923
2008:07:08:05:01:38.592,2008:07:08:10:33:38.975,19920.383
2008:07:08:11:18:16.337,2008:07:08:16:50:20.179,19923.842
2008:07:08:17:34:54.082,2008:07:08:23:07:01.374,19927.292
2008:07:08:23:51:31.824,2008:07:09:05:23:42.563,19930.738
2008:07:09:06:08:09.564,2008:07:09:11:40:23.739,19934.175
2008:07:09:12:24:47.299,2008:07:09:17:57:04.911,19937.612
2008:07:09:18:41:25.032,2008:07:10:00:13:46.074,19941.043
2008:07:10:00:58:02.764,2008:07:10:06:30:27.227,19944.463
2008:07:10:07:14:40.491,2008:07:10:12:47:08.372,19947.881
2008:07:10:13:31:18.214,2008:07:10:19:03:49.508,19951.295
2008:07:10:19:47:55.935,2008:07:11:01:20:30.637,19954.702
