"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:14:45:18.085,2008:07:01:17:44:31.538,10753.453
2008:07:01:22:48:34.832,2008:07:02:01:47:34.730,10739.897
2008:07:02:06:51:45.283,2008:07:02:09:50:38.839,10733.556
2008:07:02:14:54:51.272,2008:07:02:17:53:46.021,10734.749
2008:07:02:22:57:54.856,2008:07:03:01:56:58.270,10743.415
2008:07:03:07:00:58.220,2008:07:03:10:00:17.337,10759.117
2008:07:03:15:04:03.605,2008:07:03:18:03:44.700,10781.094
2008:07:03:23:07:13.198,2008:07:04:02:07:21.484,10808.286
2008:07:04:07:10:29.067,2008:07:04:10:11:08.518,10839.451
2008:07:04:15:13:53.080,2008:07:04:18:15:06.300,10873.220
2008:07:04:23:17:26.886,2008:07:05:02:19:15.058,10908.171
2008:07:05:07:21:11.858,2008:07:05:10:23:34.790,10942.932
2008:07:05:15:25:09.139,2008:07:05:18:28:05.287,10976.148
2008:07:05:23:29:19.626,2008:07:06:02:32:46.207,11006.582
2008:07:06:07:33:43.997,2008:07:06:10:37:37.097,11033.100
2008:07:06:15:38:22.787,2008:07:06:18:42:37.432,11054.645
2008:07:06:23:43:16.387,2008:07:07:02:47:46.663,11070.276
2008:07:07:07:48:25.111,2008:07:07:10:53:04.200,11079.089
2008:07:07:15:53:49.241,2008:07:07:18:58:29.472,11080.231
2008:07:07:23:59:29.043,2008:07:08:03:04:01.915,11072.872
2008:07:08:08:05:24.847,2008:07:08:11:09:40.993,11056.146
2008:07:08:16:11:37.060,2008:07:08:19:15:26.196,11029.136
2008:07:09:00:18:06.210,2008:07:09:03:21:17.048,10990.838
2008:07:09:08:24:53.013,2008:07:09:11:27:13.110,10940.097
2008:07:09:16:31:58.388,2008:07:09:19:33:13.979,10875.591
2008:07:10:00:39:23.540,2008:07:10:03:39:19.292,10795.751
2008:07:10:08:47:10.023,2008:07:10:11:45:28.720,10698.698
2008:07:10:16:55:19.807,2008:07:10:19:51:41.979,10582.173
2008:07:11:01:03:55.430,2008:07:11:03:57:58.824,10443.394
2008:07:11:09:13:00.076,2008:07:11:12:04:19.055,10278.980
2008:07:11:17:22:37.810,2008:07:11:20:10:42.527,10084.716
2008:07:12:01:32:53.744,2008:07:12:04:17:09.154,9855.410
2008:07:12:09:43:54.384,2008:07:12:12:23:38.935,9584.550
2008:07:12:17:55:47.940,2008:07:12:20:30:11.971,9264.031
2008:07:13:02:08:44.770,2008:07:13:04:36:48.540,8883.770
2008:07:13:10:22:57.810,2008:07:13:12:43:29.158,8431.348
2008:07:13:18:38:42.919,2008:07:13:20:50:14.760,7891.841
2008:07:14:02:56:18.719,2008:07:14:04:57:07.025,7248.306
2008:07:14:11:16:05.156,2008:07:14:13:04:09.080,6483.924
2008:07:14:19:38:19.007,2008:07:14:21:11:27.147,5588.140
2008:07:15:04:03:02.713,2008:07:15:05:19:14.955,4572.242
2008:07:15:12:29:39.190,2008:07:15:13:28:07.162,3507.972
2008:07:15:20:55:55.909,2008:07:15:21:39:41.272,2625.363
2008:07:16:05:17:11.001,2008:07:16:05:57:26.034,2415.034
2008:07:16:13:31:03.840,2008:07:16:14:22:06.293,3062.453
2008:07:16:21:40:50.605,2008:07:16:22:48:59.198,4088.593
2008:07:17:05:49:00.995,2008:07:17:07:14:42.425,5141.430
2008:07:17:13:56:30.062,2008:07:17:15:38:05.302,6095.240
2008:07:17:22:03:38.310,2008:07:17:23:58:56.832,6918.522
2008:07:18:06:10:34.512,2008:07:18:08:17:29.302,7614.790
