Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:10:15:04:39.737,2008:07:25:10:04:33.491,1277993.754
2008:08:09:03:33:12.021,2008:08:16:19:12:24.957,661152.936
2008:08:16:23:06:43.864,2008:08:23:19:43:19.840,592595.976
2008:09:07:16:34:54.410,2008:09:22:06:13:36.177,1258721.767
2008:10:07:06:04:58.493,2008:10:21:18:12:52.127,1253273.635
2008:11:05:19:50:19.127,2008:11:20:07:57:23.928,1253224.801
2008:12:05:09:32:55.994,2008:12:19:23:14:08.893,1258872.899
2009:01:03:22:56:37.465,2009:01:18:15:21:39.701,1268702.235
2009:02:02:11:53:19.121,2009:02:09:13:02:32.706,608953.585
2009:02:09:16:17:16.273,2009:02:17:07:22:32.945,659116.672
2009:03:04:00:24:27.240,2009:03:18:22:22:20.032,1288672.792
2009:04:02:12:37:42.886,2009:04:17:11:46:00.818,1292897.932
2009:05:02:00:42:32.877,2009:05:16:23:25:56.119,1291403.242
2009:05:31:12:47:35.412,2009:06:15:09:40:42.655,1284787.243
2009:06:30:01:00:15.960,2009:07:14:19:08:33.962,1274898.002
2009:07:29:13:26:41.317,2009:08:13:04:38:14.824,1264293.507
2009:08:28:02:10:27.029,2009:09:11:14:58:59.587,1255712.557
2009:09:26:15:10:46.021,2009:10:11:02:49:43.001,1251536.981
2009:10:26:04:21:47.724,2009:11:09:16:28:03.709,1253175.985
2009:11:24:17:34:40.042,2009:12:09:07:42:32.699,1260472.656
2009:12:24:06:41:39.535,2009:12:31:18:35:33.698,647634.163
2009:12:31:20:17:50.384,2010:01:07:23:52:52.270,617701.886
2010:01:22:19:39:30.686,2010:02:06:16:01:08.552,1282897.866
2010:02:21:08:29:13.383,2010:03:08:07:10:28.271,1291274.889
2010:03:22:21:13:01.540,2010:04:06:20:42:44.823,1294183.283
2010:04:21:09:51:51.580,2010:05:06:08:28:13.470,1290981.89
2010:05:20:22:25:29.966,2010:06:04:18:45:02.798,1282772.832
2010:06:19:10:54:22.590,2010:06:26:09:19:07.106,599084.516
2010:06:26:13:50:28.445,2010:06:30:10:00:00.000,331771.555
