"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:18:13:53:45.584,2018:05:18:16:24:44.922,9059.338
2018:05:18:20:46:17.476,2018:05:18:23:17:16.825,9059.349
2018:05:19:03:38:49.383,2018:05:19:06:09:48.734,9059.351
2018:05:19:10:31:21.297,2018:05:19:13:02:20.652,9059.355
2018:05:19:17:23:53.223,2018:05:19:19:54:52.575,9059.351
2018:05:20:00:16:25.148,2018:05:20:02:47:24.509,9059.361
2018:05:20:07:08:57.086,2018:05:20:09:39:56.448,9059.362
2018:05:20:14:01:29.028,2018:05:20:16:32:28.393,9059.365
2018:05:20:20:54:00.976,2018:05:20:23:25:00.342,9059.366
2018:05:21:03:46:32.929,2018:05:21:06:17:32.297,9059.369
2018:05:21:10:39:04.885,2018:05:21:13:10:04.255,9059.369
2018:05:21:17:31:36.845,2018:05:21:20:02:36.216,9059.370
2018:05:22:00:24:08.806,2018:05:22:02:55:08.177,9059.371
2018:05:22:07:16:40.768,2018:05:22:09:47:40.140,9059.371
2018:05:22:14:09:12.731,2018:05:22:16:40:12.101,9059.371
2018:05:22:21:01:44.692,2018:05:22:23:32:44.062,9059.370
2018:05:23:03:54:16.651,2018:05:23:06:25:16.020,9059.369
2018:05:23:10:46:48.607,2018:05:23:13:17:47.975,9059.368
2018:05:23:17:39:20.560,2018:05:23:20:10:19.926,9059.366
2018:05:24:00:31:52.508,2018:05:24:03:02:51.872,9059.364
2018:05:24:07:24:24.450,2018:05:24:09:55:23.813,9059.362
2018:05:24:14:16:56.387,2018:05:24:16:47:55.746,9059.359
2018:05:24:21:09:28.316,2018:05:24:23:40:27.673,9059.357
2018:05:25:04:02:00.239,2018:05:25:06:32:59.592,9059.353
2018:05:25:10:54:32.153,2018:05:25:13:25:31.504,9059.351
2018:05:25:17:47:04.060,2018:05:25:20:18:03.402,9059.342
2018:05:26:00:39:35.956,2018:05:26:03:10:35.301,9059.345
2018:05:26:07:32:07.846,2018:05:26:10:03:07.186,9059.340
2018:05:26:14:24:39.725,2018:05:26:16:55:39.063,9059.338
2018:05:26:21:17:11.598,2018:05:26:23:48:10.925,9059.328
2018:05:27:04:09:43.457,2018:05:27:06:40:42.788,9059.331
2018:05:27:11:02:15.310,2018:05:27:13:33:14.636,9059.327
2018:05:27:17:54:47.153,2018:05:27:20:25:46.477,9059.324
2018:05:28:00:47:18.990,2018:05:28:03:18:18.304,9059.314
2018:05:28:07:39:50.813,2018:05:28:10:10:50.131,9059.318
2018:05:28:14:32:22.632,2018:05:28:17:03:21.946,9059.314
2018:05:28:21:24:54.442,2018:05:28:23:55:53.754,9059.312
2018:05:29:04:17:26.248,2018:05:29:06:48:25.550,9059.302
2018:05:29:11:09:58.040,2018:05:29:13:40:57.347,9059.307
2018:05:29:18:02:29.830,2018:05:29:20:33:29.133,9059.303
2018:05:30:00:55:01.612,2018:05:30:03:26:00.915,9059.302
2018:05:30:07:47:33.394,2018:05:30:10:18:32.687,9059.293
