"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:00:00.000,2018:06:28:07:04:08.252,3618248.252
2018:06:28:09:02:56.535,2018:07:27:16:21:33.631,2531917.096
2018:07:27:21:24:53.862,2018:08:19:14:54:17.219,1963763.358
2018:08:19:15:02:49.851,2018:08:20:23:08:08.640,115518.789
2018:08:20:23:23:46.761,2018:08:22:07:23:07.709,115160.948
2018:08:22:07:43:38.065,2018:08:23:15:38:34.549,114896.484
2018:08:23:16:03:04.111,2018:08:24:23:54:18.719,114674.608
2018:08:25:00:22:15.846,2018:08:26:08:10:15.865,114480.020
2018:08:26:08:41:18.128,2018:08:27:16:26:23.836,114305.708
2018:08:27:17:00:13.600,2018:08:29:00:42:41.471,114147.871
2018:08:29:01:19:03.880,2018:08:30:08:59:08.100,114004.220
2018:08:30:09:37:50.047,2018:08:31:17:15:43.311,113873.264
2018:08:31:17:56:32.862,2018:09:02:01:32:26.800,113753.938
2018:09:02:02:15:12.881,2018:09:03:09:49:18.301,113645.421
2018:09:03:10:33:50.530,2018:09:04:18:06:17.544,113547.014
2018:09:04:18:52:26.139,2018:09:06:02:23:24.219,113458.081
2018:09:06:03:10:59.975,2018:09:07:10:40:37.983,113378.009
2018:09:07:11:29:32.252,2018:09:08:18:57:58.484,113306.232
2018:09:08:19:48:03.135,2018:09:10:03:15:25.406,113242.271
2018:09:10:04:06:32.762,2018:09:11:11:32:58.517,113185.755
2018:09:11:12:25:01.235,2018:09:12:19:50:37.713,113136.478
2018:09:12:20:43:28.628,2018:09:14:04:08:23.008,113094.380
2018:09:14:05:01:54.991,2018:09:15:12:26:14.516,113059.525
2018:09:15:13:20:20.361,2018:09:16:20:44:12.425,113032.064
2018:09:16:21:38:44.755,2018:09:18:05:02:16.958,113012.203
2018:09:18:05:57:08.181,2018:09:19:13:20:28.352,113000.171
2018:09:19:14:15:30.646,2018:09:20:21:38:46.839,112996.193
2018:09:20:22:33:52.141,2018:09:22:05:57:12.628,113000.486
2018:09:22:06:52:12.653,2018:09:23:14:15:45.889,113013.236
2018:09:23:15:10:32.164,2018:09:24:22:34:26.738,113034.574
2018:09:24:23:28:50.655,2018:09:26:06:53:15.226,113064.570
2018:09:26:07:47:08.100,2018:09:27:15:12:11.325,113103.225
2018:09:27:16:05:24.466,2018:09:28:23:31:14.930,113150.464
2018:09:29:00:23:39.717,2018:09:30:07:50:25.872,113206.155
2018:09:30:08:41:53.804,2018:10:01:16:09:43.935,113270.131
2018:10:01:17:00:06.661,2018:10:03:00:29:08.897,113342.235
2018:10:03:01:18:18.207,2018:10:04:08:48:40.576,113422.368
2018:10:04:09:36:28.324,2018:10:05:17:08:18.883,113510.559
2018:10:05:17:54:36.847,2018:10:07:01:28:03.872,113607.024
2018:10:07:02:12:43.561,2018:10:08:09:47:55.780,113712.220
2018:10:08:10:30:48.165,2018:10:09:18:07:55.045,113826.880
2018:10:09:18:48:50.265,2018:10:11:02:28:02.302,113952.037
2018:10:11:03:06:49.335,2018:10:12:10:48:18.400,114089.065
2018:10:12:11:24:44.663,2018:10:13:19:08:44.443,114239.780
2018:10:13:19:42:35.272,2018:10:15:03:29:21.937,114406.665
2018:10:15:04:00:19.738,2018:10:16:11:50:13.124,114593.386
2018:10:16:12:17:55.841,2018:10:17:20:11:21.741,114805.900
