"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:11:03:39.877,2018:05:17:20:11:39.559,32879.682
2018:05:17:22:19:16.171,2018:05:18:07:27:15.866,32879.695
2018:05:18:09:34:52.482,2018:05:18:18:42:52.199,32879.717
2018:05:18:20:50:28.819,2018:05:19:05:58:28.553,32879.734
2018:05:19:08:06:05.172,2018:05:19:17:14:04.931,32879.759
2018:05:19:19:21:41.551,2018:05:20:04:29:41.326,32879.774
2018:05:20:06:37:17.951,2018:05:20:15:45:17.733,32879.782
2018:05:20:17:52:54.362,2018:05:21:03:00:54.159,32879.796
2018:05:21:05:08:30.789,2018:05:21:14:16:30.592,32879.803
2018:05:21:16:24:07.218,2018:05:22:01:32:07.035,32879.816
2018:05:22:03:39:43.659,2018:05:22:12:47:43.476,32879.818
2018:05:22:14:55:20.103,2018:05:23:00:03:19.913,32879.810
2018:05:23:02:10:56.539,2018:05:23:11:18:56.347,32879.808
2018:05:23:13:26:32.971,2018:05:23:22:34:32.770,32879.798
2018:05:24:00:42:09.388,2018:05:24:09:50:09.183,32879.796
2018:05:24:11:57:45.796,2018:05:24:21:05:45.578,32879.783
2018:05:24:23:13:22.189,2018:05:25:08:21:21.950,32879.761
2018:05:25:10:28:58.559,2018:05:25:19:36:58.306,32879.747
2018:05:25:21:44:34.911,2018:05:26:06:52:34.637,32879.727
2018:05:26:09:00:11.235,2018:05:26:18:08:10.950,32879.716
2018:05:26:20:15:47.541,2018:05:27:05:23:47.238,32879.697
2018:05:27:07:31:23.826,2018:05:27:16:39:23.497,32879.671
2018:05:27:18:47:00.084,2018:05:28:03:54:59.740,32879.656
2018:05:28:06:02:36.322,2018:05:28:15:10:35.958,32879.636
2018:05:28:17:18:12.534,2018:05:29:02:26:12.162,32879.627
2018:05:29:04:33:48.732,2018:05:29:13:41:48.344,32879.613
2018:05:29:15:49:24.914,2018:05:30:00:57:24.506,32879.592
2018:05:30:03:05:01.076,2018:05:30:12:13:00.658,32879.583
2018:05:30:14:20:37.226,2018:05:30:23:28:36.796,32879.570
2018:05:31:01:36:13.360,2018:05:31:10:44:12.929,32879.569
2018:05:31:12:51:49.488,2018:05:31:21:59:49.050,32879.563
2018:06:01:00:07:25.611,2018:06:01:09:15:25.161,32879.550
2018:06:01:11:23:01.724,2018:06:01:20:31:01.272,32879.548
2018:06:01:22:38:37.835,2018:06:02:07:46:37.378,32879.543
2018:06:02:09:54:13.938,2018:06:02:19:02:13.486,32879.548
2018:06:02:21:09:50.044,2018:06:03:06:17:49.592,32879.548
2018:06:03:08:25:26.152,2018:06:03:17:33:25.693,32879.540
2018:06:03:19:41:02.256,2018:06:04:04:49:01.799,32879.543
2018:06:04:06:56:38.364,2018:06:04:16:04:37.905,32879.542
2018:06:04:18:12:14.468,2018:06:05:03:20:14.017,32879.550
2018:06:05:05:27:50.577,2018:06:05:14:35:50.129,32879.551
2018:06:05:16:43:26.692,2018:06:06:01:51:26.237,32879.545
2018:06:06:03:59:02.804,2018:06:06:13:07:02.353,32879.549
2018:06:06:15:14:38.921,2018:06:07:00:22:38.469,32879.548
2018:06:07:02:30:15.035,2018:06:07:11:38:14.591,32879.556
2018:06:07:13:45:51.155,2018:06:07:22:53:50.713,32879.558
2018:06:08:01:01:27.280,2018:06:08:10:09:26.833,32879.553
2018:06:08:12:17:03.404,2018:06:08:21:25:02.962,32879.558
2018:06:08:23:32:39.533,2018:06:09:08:40:39.092,32879.559
2018:06:09:10:48:15.662,2018:06:09:19:56:15.232,32879.569
2018:06:09:22:03:51.801,2018:06:10:07:11:51.376,32879.575
