"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:14:32:47.967,2018:05:17:17:38:20.480,11132.513
2018:05:17:22:40:27.613,2018:05:18:01:46:00.131,11132.518
2018:05:18:06:48:07.272,2018:05:18:09:53:39.797,11132.525
2018:05:18:14:55:46.947,2018:05:18:18:01:19.475,11132.529
2018:05:18:23:03:26.636,2018:05:19:02:08:59.171,11132.536
2018:05:19:07:11:06.342,2018:05:19:10:16:38.880,11132.538
2018:05:19:15:18:46.056,2018:05:19:18:24:18.597,11132.542
2018:05:19:23:26:25.785,2018:05:20:02:31:58.336,11132.551
2018:05:20:07:34:05.526,2018:05:20:10:39:38.080,11132.555
2018:05:20:15:41:45.281,2018:05:20:18:47:17.835,11132.554
2018:05:20:23:49:25.036,2018:05:21:02:54:57.595,11132.559
2018:05:21:07:57:04.803,2018:05:21:11:02:37.367,11132.564
2018:05:21:16:04:44.577,2018:05:21:19:10:17.140,11132.563
2018:05:22:00:12:24.350,2018:05:22:03:17:56.916,11132.566
2018:05:22:08:20:04.127,2018:05:22:11:25:36.693,11132.566
2018:05:22:16:27:43.904,2018:05:22:19:33:16.469,11132.565
2018:05:23:00:35:23.682,2018:05:23:03:40:56.243,11132.560
2018:05:23:08:43:03.449,2018:05:23:11:48:36.007,11132.558
2018:05:23:16:50:43.213,2018:05:23:19:56:15.773,11132.559
2018:05:24:00:58:22.970,2018:05:24:04:03:55.526,11132.556
2018:05:24:09:06:02.718,2018:05:24:12:11:35.271,11132.553
2018:05:24:17:13:42.456,2018:05:24:20:19:15.002,11132.546
2018:05:25:01:21:22.182,2018:05:25:04:26:54.725,11132.544
2018:05:25:09:29:01.898,2018:05:25:12:34:34.433,11132.535
2018:05:25:17:36:41.595,2018:05:25:20:42:14.123,11132.528
2018:05:26:01:44:21.281,2018:05:26:04:49:53.808,11132.527
2018:05:26:09:52:00.952,2018:05:26:12:57:33.473,11132.521
2018:05:26:17:59:40.612,2018:05:26:21:05:13.124,11132.511
2018:05:27:02:07:20.249,2018:05:27:05:12:52.756,11132.507
2018:05:27:10:14:59.875,2018:05:27:13:20:32.379,11132.504
2018:05:27:18:22:39.488,2018:05:27:21:28:11.984,11132.497
2018:05:28:02:30:19.083,2018:05:28:05:35:51.576,11132.493
2018:05:28:10:37:58.666,2018:05:28:13:43:31.153,11132.487
2018:05:28:18:45:38.235,2018:05:28:21:51:10.718,11132.482
2018:05:29:02:53:17.796,2018:05:29:05:58:50.270,11132.474
2018:05:29:11:00:57.338,2018:05:29:14:06:29.807,11132.469
2018:05:29:19:08:36.873,2018:05:29:22:14:09.342,11132.469
2018:05:30:03:16:16.397,2018:05:30:06:21:48.863,11132.466
2018:05:30:11:23:55.917,2018:05:30:14:29:28.375,11132.458
2018:05:30:19:31:35.420,2018:05:30:22:37:07.878,11132.457
2018:05:31:03:39:14.921,2018:05:31:06:44:47.378,11132.457
2018:05:31:11:46:54.417,2018:05:31:14:52:26.870,11132.453
2018:05:31:19:54:33.904,2018:05:31:23:00:06.353,11132.449
2018:06:01:04:02:13.390,2018:06:01:07:07:45.841,11132.452
2018:06:01:12:09:52.871,2018:06:01:15:15:25.321,11132.450
2018:06:01:20:17:32.354,2018:06:01:23:23:04.799,11132.446
2018:06:02:04:25:11.827,2018:06:02:07:30:44.272,11132.446
2018:06:02:12:32:51.302,2018:06:02:15:38:23.751,11132.449
2018:06:02:20:40:30.777,2018:06:02:23:46:03.225,11132.448
2018:06:03:04:48:10.251,2018:06:03:07:53:42.699,11132.449
2018:06:03:12:55:49.725,2018:06:03:16:01:22.172,11132.447
2018:06:03:21:03:29.200,2018:06:04:00:09:01.648,11132.449
2018:06:04:05:11:08.678,2018:06:04:08:16:41.124,11132.446
2018:06:04:13:18:48.151,2018:06:04:16:24:20.597,11132.445
2018:06:04:21:26:27.629,2018:06:05:00:32:00.079,11132.450
2018:06:05:05:34:07.107,2018:06:05:08:39:39.558,11132.450
2018:06:05:13:41:46.592,2018:06:05:16:47:19.038,11132.447
2018:06:05:21:49:26.068,2018:06:06:00:54:58.517,11132.449
2018:06:06:05:57:05.550,2018:06:06:09:02:38.003,11132.452
2018:06:06:14:04:45.036,2018:06:06:17:10:17.487,11132.451
2018:06:06:22:12:24.519,2018:06:07:01:17:56.973,11132.454
2018:06:07:06:20:04.006,2018:06:07:09:25:36.460,11132.454
2018:06:07:14:27:43.494,2018:06:07:17:33:15.948,11132.455
2018:06:07:22:35:22.987,2018:06:08:01:40:55.439,11132.452
2018:06:08:06:43:02.475,2018:06:08:09:48:34.927,11132.452
2018:06:08:14:50:41.968,2018:06:08:17:56:14.425,11132.457
2018:06:08:22:58:21.464,2018:06:09:02:03:53.922,11132.458
2018:06:09:07:06:00.962,2018:06:09:10:11:33.422,11132.460
2018:06:09:15:13:40.464,2018:06:09:18:19:12.923,11132.459
2018:06:09:23:21:19.969,2018:06:10:02:26:52.432,11132.463
2018:06:10:07:28:59.481,2018:06:10:10:34:31.943,11132.462
2018:06:10:15:36:38.993,2018:06:10:18:42:11.456,11132.462
2018:06:10:23:44:18.514,2018:06:11:02:49:50.984,11132.470
2018:06:11:07:51:58.042,2018:06:11:10:57:30.514,11132.473
2018:06:11:15:59:37.582,2018:06:11:19:05:10.053,11132.472
2018:06:12:00:07:17.122,2018:06:12:03:12:49.599,11132.477
2018:06:12:08:14:56.677,2018:06:12:11:20:29.161,11132.484
2018:06:12:16:22:36.243,2018:06:12:19:28:08.731,11132.488
2018:06:13:00:30:15.820,2018:06:13:03:35:48.314,11132.494
2018:06:13:08:37:55.411,2018:06:13:11:43:27.909,11132.498
2018:06:13:16:45:35.016,2018:06:13:19:51:07.520,11132.505
2018:06:14:00:53:14.639,2018:06:14:03:58:47.146,11132.507
2018:06:14:09:00:54.270,2018:06:14:12:06:26.782,11132.512
2018:06:14:17:08:33.920,2018:06:14:20:14:06.442,11132.522
2018:06:15:01:16:13.585,2018:06:15:04:21:46.113,11132.528
2018:06:15:09:23:53.270,2018:06:15:12:29:25.800,11132.530
2018:06:15:17:31:32.961,2018:06:15:20:37:05.498,11132.537
2018:06:16:01:39:12.670,2018:06:16:04:44:45.216,11132.545
2018:06:16:09:46:52.396,2018:06:16:12:52:24.943,11132.548
2018:06:16:17:54:32.129,2018:06:16:21:00:04.678,11132.550
2018:06:17:02:02:11.875,2018:06:17:05:07:44.433,11132.558
2018:06:17:10:09:51.630,2018:06:17:13:15:24.190,11132.561
2018:06:17:18:17:31.396,2018:06:17:21:23:03.956,11132.559
