"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:00:00.000,2018:07:27:17:24:02.527,6161042.527
2018:07:27:23:42:38.296,2018:08:28:22:58:47.696,2762169.400
2018:08:28:23:02:35.779,2018:08:29:07:02:44.051,28808.272
2018:08:29:07:13:57.361,2018:08:29:15:08:19.559,28462.198
2018:08:29:15:23:39.804,2018:08:29:23:14:23.562,28243.758
2018:08:29:23:32:53.771,2018:08:30:07:20:43.128,28069.357
2018:08:30:07:41:52.195,2018:08:30:15:27:12.965,27920.769
2018:08:30:15:50:40.366,2018:08:30:23:33:50.277,27789.911
2018:08:30:23:59:21.083,2018:08:31:07:40:33.375,27672.292
2018:08:31:08:07:56.034,2018:08:31:15:47:21.138,27565.104
2018:08:31:16:16:26.338,2018:08:31:23:54:12.781,27466.443
2018:09:01:00:24:52.782,2018:09:01:08:01:07.725,27374.943
2018:09:01:08:33:15.943,2018:09:01:16:08:05.530,27289.587
2018:09:01:16:41:36.263,2018:09:02:00:15:05.853,27209.590
2018:09:02:00:49:54.088,2018:09:02:08:22:08.412,27134.324
2018:09:02:08:58:09.693,2018:09:02:16:29:12.980,27063.288
2018:09:02:17:06:23.306,2018:09:03:00:36:19.375,26996.069
2018:09:03:01:14:35.112,2018:09:03:08:43:27.429,26932.317
2018:09:03:09:22:45.278,2018:09:03:16:50:37.011,26871.733
2018:09:03:17:30:53.930,2018:09:04:00:57:48.004,26814.073
2018:09:04:01:39:01.189,2018:09:04:09:05:00.303,26759.113
2018:09:04:09:47:07.157,2018:09:04:17:12:13.820,26706.663
2018:09:04:17:55:11.922,2018:09:05:01:19:28.474,26656.552
2018:09:05:02:03:15.559,2018:09:05:09:26:44.194,26608.636
2018:09:05:10:11:18.146,2018:09:05:17:34:00.918,26562.771
2018:09:05:18:19:19.737,2018:09:06:01:41:18.586,26518.849
2018:09:06:02:27:20.395,2018:09:06:09:48:37.147,26476.752
2018:09:06:10:35:20.169,2018:09:06:17:55:56.553,26436.384
2018:09:06:18:43:19.103,2018:09:07:02:03:16.761,26397.657
2018:09:07:02:51:17.241,2018:09:07:10:10:37.731,26360.490
2018:09:07:10:59:14.619,2018:09:07:18:17:59.426,26324.806
2018:09:07:19:07:11.274,2018:09:08:02:25:21.814,26290.539
2018:09:08:03:15:07.238,2018:09:08:10:32:44.864,26257.627
2018:09:08:11:23:02.538,2018:09:08:18:40:08.546,26226.008
2018:09:08:19:30:57.203,2018:09:09:02:47:32.834,26195.630
2018:09:09:03:38:51.257,2018:09:09:10:54:57.705,26166.448
2018:09:09:11:46:44.721,2018:09:09:19:02:23.139,26138.418
2018:09:09:19:54:37.617,2018:09:10:03:09:49.114,26111.496
2018:09:10:04:02:29.964,2018:09:10:11:17:15.615,26085.651
2018:09:10:12:10:21.778,2018:09:10:19:24:42.620,26060.842
2018:09:10:20:18:13.076,2018:09:11:03:32:10.115,26037.039
2018:09:11:04:26:03.870,2018:09:11:11:39:38.092,26014.222
2018:09:11:12:33:54.175,2018:09:11:19:47:06.530,25992.355
2018:09:11:20:41:44.002,2018:09:12:03:54:35.428,25971.427
2018:09:12:04:49:33.361,2018:09:12:12:02:04.769,25951.408
2018:09:12:12:57:22.261,2018:09:12:20:09:34.544,25932.284
2018:09:12:21:05:10.709,2018:09:13:04:17:04.750,25914.040
2018:09:13:05:12:58.718,2018:09:13:12:24:35.376,25896.658
