"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:18:10:00:00.000,2018:07:27:18:12:52.012,6077572.012
2018:07:27:22:04:37.125,2018:07:27:23:23:41.418,4744.293
2018:07:27:23:43:10.545,2018:08:29:00:36:34.734,2768004.189
2018:08:29:00:42:40.898,2018:08:29:08:41:11.470,28710.572
2018:08:29:08:53:22.097,2018:08:29:16:46:54.687,28412.590
2018:08:29:17:02:56.837,2018:08:30:00:53:02.501,28205.664
2018:08:30:01:12:06.998,2018:08:30:08:59:24.464,28037.467
2018:08:30:09:21:03.027,2018:08:30:17:05:55.996,27892.969
2018:08:30:17:29:49.507,2018:08:31:01:12:34.596,27765.089
2018:08:31:01:38:28.941,2018:08:31:09:19:18.717,27649.776
2018:08:31:09:47:02.874,2018:08:31:17:26:07.321,27544.447
2018:08:31:17:55:32.340,2018:09:01:01:32:59.675,27447.336
2018:09:01:02:03:58.074,2018:09:01:09:39:55.233,27357.159
2018:09:01:10:12:20.628,2018:09:01:17:46:53.575,27272.946
2018:09:01:18:20:40.417,2018:09:02:01:53:54.370,27193.954
2018:09:02:02:28:57.768,2018:09:02:10:00:57.358,27119.590
2018:09:02:10:37:12.954,2018:09:02:18:08:02.310,27049.356
2018:09:02:18:45:26.187,2018:09:03:02:15:09.051,26982.863
2018:09:03:02:53:37.648,2018:09:03:10:22:17.426,26919.778
2018:09:03:11:01:47.495,2018:09:03:18:29:27.303,26859.809
2018:09:03:19:09:55.857,2018:09:04:02:36:38.569,26802.711
2018:09:04:03:18:02.847,2018:09:04:10:43:51.122,26748.275
2018:09:04:11:26:08.563,2018:09:04:18:51:04.875,26696.312
2018:09:04:19:34:13.093,2018:09:05:02:58:19.752,26646.659
2018:09:05:03:42:16.513,2018:09:05:11:05:35.681,26599.167
2018:09:05:11:50:18.891,2018:09:05:19:12:52.600,26553.709
2018:09:05:19:58:20.292,2018:09:06:03:20:10.453,26510.161
2018:09:06:04:06:20.767,2018:09:06:11:27:29.189,26468.423
2018:09:06:12:14:20.363,2018:09:06:19:34:48.761,26428.398
2018:09:06:20:22:19.134,2018:09:07:03:42:09.127,26389.993
2018:09:07:04:30:17.114,2018:09:07:11:49:30.247,26353.133
2018:09:07:12:38:14.343,2018:09:07:19:56:52.088,26317.744
2018:09:07:20:46:10.856,2018:09:08:04:04:14.613,26283.757
2018:09:08:04:54:06.682,2018:09:08:12:11:37.789,26251.107
2018:09:08:13:02:01.852,2018:09:08:20:19:01.598,26219.746
2018:09:08:21:09:56.391,2018:09:09:04:26:26.006,26189.615
2018:09:09:05:17:50.323,2018:09:09:12:33:50.993,26160.670
2018:09:09:13:25:43.671,2018:09:09:20:41:16.539,26132.868
2018:09:09:21:33:36.454,2018:09:10:04:48:42.621,26106.167
2018:09:10:05:41:28.691,2018:09:10:12:56:09.226,26080.535
2018:09:10:13:49:20.399,2018:09:10:21:03:36.330,26055.930
2018:09:10:21:57:11.594,2018:09:11:05:11:03.925,26032.331
2018:09:11:06:05:02.288,2018:09:11:13:18:31.995,26009.707
2018:09:11:14:12:52.495,2018:09:11:21:26:00.529,25988.034
2018:09:11:22:20:42.225,2018:09:12:05:33:29.518,25967.292
2018:09:12:06:28:31.491,2018:09:12:13:40:58.947,25947.456
2018:09:12:14:36:20.299,2018:09:12:21:48:28.810,25928.511
2018:09:12:22:44:08.660,2018:09:13:05:55:59.102,25910.442
2018:09:13:06:51:56.577,2018:09:13:14:03:29.813,25893.236
2018:09:13:14:59:44.063,2018:09:13:22:11:00.939,25876.876
2018:09:13:23:07:31.123,2018:09:14:06:18:32.474,25861.351
2018:09:14:07:15:17.755,2018:09:14:14:26:04.415,25846.659
2018:09:14:15:23:03.972,2018:09:14:22:33:36.756,25832.785
2018:09:14:23:30:49.774,2018:09:15:06:41:09.496,25819.722
2018:09:15:07:38:35.166,2018:09:15:14:48:42.631,25807.465
2018:09:15:15:46:20.150,2018:09:15:22:56:16.160,25796.011
2018:09:15:23:54:04.728,2018:09:16:07:03:50.081,25785.353
2018:09:16:08:01:48.903,2018:09:16:15:11:24.392,25775.488
2018:09:16:16:09:32.678,2018:09:16:23:18:59.094,25766.417
2018:09:17:00:17:16.052,2018:09:17:07:26:34.182,25758.130
2018:09:17:08:24:59.028,2018:09:17:15:34:09.664,25750.636
2018:09:17:16:32:41.606,2018:09:17:23:41:45.533,25743.927
2018:09:18:00:40:23.786,2018:09:18:07:49:21.790,25738.004
2018:09:18:08:48:05.569,2018:09:18:15:56:58.442,25732.873
2018:09:18:16:55:46.955,2018:09:19:00:04:35.482,25728.527
2018:09:19:01:03:27.943,2018:09:19:08:12:12.917,25724.974
2018:09:19:09:11:08.533,2018:09:19:16:19:50.747,25722.215
2018:09:19:17:18:48.724,2018:09:20:00:27:28.974,25720.250
2018:09:20:01:26:28.513,2018:09:20:08:35:07.600,25719.086
2018:09:20:09:34:07.902,2018:09:20:16:42:46.628,25718.726
2018:09:20:17:41:46.885,2018:09:21:00:50:26.060,25719.175
2018:09:21:01:49:25.466,2018:09:21:08:58:05.893,25720.427
2018:09:21:09:57:03.640,2018:09:21:17:05:46.139,25722.500
2018:09:21:18:04:41.409,2018:09:22:01:13:26.798,25725.389
2018:09:22:02:12:18.763,2018:09:22:09:21:07.872,25729.109
2018:09:22:10:19:55.704,2018:09:22:17:28:49.366,25733.662
2018:09:22:18:27:32.229,2018:09:23:01:36:31.282,25739.054
2018:09:23:02:35:08.334,2018:09:23:09:44:13.625,25745.291
2018:09:23:10:42:44.017,2018:09:23:17:51:56.400,25752.383
2018:09:23:18:50:19.275,2018:09:24:01:59:39.610,25760.335
2018:09:24:02:57:54.103,2018:09:24:10:07:23.259,25769.156
2018:09:24:11:05:28.499,2018:09:24:18:15:07.353,25778.853
2018:09:24:19:13:02.459,2018:09:25:02:22:51.895,25789.436
2018:09:25:03:20:35.977,2018:09:25:10:30:36.891,25800.914
2018:09:25:11:28:09.051,2018:09:25:18:38:22.347,25813.296
2018:09:25:19:35:41.675,2018:09:26:02:46:08.266,25826.592
2018:09:26:03:43:13.843,2018:09:26:10:53:54.656,25840.813
2018:09:26:11:50:45.554,2018:09:26:19:01:41.522,25855.969
2018:09:26:19:58:16.799,2018:09:27:03:09:28.870,25872.071
2018:09:27:04:05:47.574,2018:09:27:11:17:16.707,25889.133
2018:09:27:12:13:17.872,2018:09:27:19:25:05.038,25907.166
2018:09:27:20:20:47.687,2018:09:28:03:32:53.873,25926.187
2018:09:28:04:28:17.015,2018:09:28:11:40:43.217,25946.202
2018:09:28:12:35:45.842,2018:09:28:19:48:33.076,25967.233
2018:09:28:20:43:14.164,2018:09:29:03:56:23.465,25989.301
2018:09:29:04:50:41.973,2018:09:29:12:04:14.386,26012.413
2018:09:29:12:58:09.259,2018:09:29:20:12:05.853,26036.594
2018:09:29:21:05:36.012,2018:09:30:04:19:57.876,26061.864
2018:09:30:05:13:02.221,2018:09:30:12:27:50.467,26088.246
2018:09:30:13:20:27.875,2018:09:30:20:35:43.633,26115.758
2018:09:30:21:27:52.961,2018:10:01:04:43:37.395,26144.434
2018:10:01:05:35:17.465,2018:10:01:12:51:31.760,26174.294
2018:10:01:13:42:41.372,2018:10:01:20:59:26.748,26205.376
2018:10:01:21:50:04.666,2018:10:02:05:07:22.377,26237.711
2018:10:02:05:57:27.327,2018:10:02:13:15:18.664,26271.337
2018:10:02:14:04:49.336,2018:10:02:21:23:15.631,26306.295
2018:10:02:22:12:10.671,2018:10:03:05:31:13.301,26342.630
2018:10:03:06:19:31.307,2018:10:03:13:39:11.701,26380.394
2018:10:03:14:26:51.217,2018:10:03:21:47:10.860,26419.643
2018:10:03:22:34:10.371,2018:10:04:05:55:10.809,26460.438
2018:10:04:06:41:28.733,2018:10:04:14:03:11.585,26502.851
2018:10:04:14:48:46.272,2018:10:04:22:11:13.228,26546.956
2018:10:04:22:56:02.936,2018:10:05:06:19:15.784,26592.848
2018:10:05:07:03:18.688,2018:10:05:14:27:19.306,26640.617
2018:10:05:15:10:33.469,2018:10:05:22:35:23.850,26690.382
2018:10:05:23:17:47.219,2018:10:06:06:43:29.484,26742.265
2018:10:06:07:24:59.872,2018:10:06:14:51:36.284,26796.412
2018:10:06:15:32:11.351,2018:10:06:22:59:44.338,26852.987
2018:10:06:23:39:21.566,2018:10:07:07:07:53.746,26912.181
2018:10:07:07:46:30.415,2018:10:07:15:16:04.623,26974.207
2018:10:07:15:53:37.779,2018:10:07:23:24:17.111,27039.332
2018:10:08:00:00:43.520,2018:10:08:07:32:31.372,27107.852
2018:10:08:08:07:47.473,2018:10:08:15:40:47.602,27180.129
2018:10:08:16:14:49.442,2018:10:08:23:49:06.034,27256.592
2018:10:09:00:21:49.190,2018:10:09:07:57:26.963,27337.773
2018:10:09:08:28:46.424,2018:10:09:16:05:50.753,27424.329
2018:10:09:16:35:40.776,2018:10:10:00:14:17.883,27517.107
2018:10:10:00:42:31.773,2018:10:10:08:22:48.969,27617.196
2018:10:10:08:49:18.791,2018:10:10:16:31:24.879,27726.089
2018:10:10:16:56:00.966,2018:10:11:00:40:06.854,27845.887
2018:10:11:01:02:37.057,2018:10:11:08:48:56.816,27979.759
2018:10:11:09:09:05.141,2018:10:11:16:57:58.049,28132.908
