"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:07:27:19:10:20.332,2018:07:27:20:36:33.728,5173.396
2018:08:29:17:13:12.866,2018:08:29:17:22:35.994,563.128
2018:08:30:01:18:34.582,2018:08:30:01:32:32.255,837.673
2018:08:30:09:24:33.158,2018:08:30:09:41:51.670,1038.512
2018:08:30:17:30:49.840,2018:08:30:17:50:53.003,1203.163
2018:08:31:01:37:17.940,2018:08:31:01:59:42.935,1344.995
2018:08:31:09:43:54.141,2018:08:31:10:08:24.787,1470.645
2018:08:31:17:50:36.509,2018:08:31:18:17:00.491,1583.983
2018:09:01:01:57:23.794,2018:09:01:02:25:31.299,1687.506
2018:09:01:10:04:15.128,2018:09:01:10:33:58.074,1782.946
2018:09:01:18:11:09.891,2018:09:01:18:42:21.442,1871.551
2018:09:02:02:18:07.607,2018:09:02:02:50:41.876,1954.269
2018:09:02:10:25:07.907,2018:09:02:10:58:59.745,2031.838
2018:09:02:18:32:10.499,2018:09:02:19:07:15.340,2104.841
2018:09:03:02:39:15.146,2018:09:03:03:15:28.901,2173.754
2018:09:03:10:46:21.646,2018:09:03:11:23:40.624,2238.977
2018:09:03:18:53:29.835,2018:09:03:19:31:50.672,2300.836
2018:09:04:03:00:39.571,2018:09:04:03:39:59.191,2359.620
2018:09:04:11:07:50.734,2018:09:04:11:48:06.299,2415.564
2018:09:04:19:15:03.217,2018:09:04:19:56:12.100,2468.882
2018:09:05:03:22:16.928,2018:09:05:04:04:16.686,2519.758
2018:09:05:11:29:31.785,2018:09:05:12:12:20.136,2568.351
2018:09:05:19:36:47.713,2018:09:05:20:20:22.529,2614.815
2018:09:06:03:44:04.649,2018:09:06:04:28:23.921,2659.272
2018:09:06:11:51:22.533,2018:09:06:12:36:24.370,2701.837
2018:09:06:19:58:41.312,2018:09:06:20:44:23.932,2742.620
2018:09:07:04:06:00.938,2018:09:07:04:52:22.654,2781.716
2018:09:07:12:13:21.366,2018:09:07:13:00:20.574,2819.208
2018:09:07:20:20:42.558,2018:09:07:21:08:17.734,2855.176
2018:09:08:04:28:04.475,2018:09:08:05:16:14.168,2889.693
2018:09:08:12:35:27.084,2018:09:08:13:24:09.907,2922.823
2018:09:08:20:42:50.355,2018:09:08:21:32:04.982,2954.627
2018:09:09:04:50:14.259,2018:09:09:05:39:59.419,2985.160
2018:09:09:12:57:38.771,2018:09:09:13:47:53.242,3014.471
2018:09:09:21:05:03.868,2018:09:09:21:55:46.474,3042.606
2018:09:10:05:12:29.529,2018:09:10:06:03:39.134,3069.606
2018:09:10:13:19:55.730,2018:09:10:14:11:31.242,3095.512
2018:09:10:21:27:22.460,2018:09:10:22:19:22.813,3120.354
2018:09:11:05:34:49.698,2018:09:11:06:27:13.864,3144.166
2018:09:11:13:42:17.429,2018:09:11:14:35:04.407,3166.979
