"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:00:00.000,2018:07:27:19:40:25.925,6169225.925
2018:07:27:19:51:45.574,2018:09:09:22:03:36.840,3809511.266
2018:09:09:22:24:29.493,2018:09:10:21:50:58.169,84388.676
2018:09:10:22:31:05.910,2018:09:11:21:42:10.407,83464.498
2018:09:11:22:33:51.146,2018:09:12:21:34:54.702,82863.557
2018:09:12:22:35:04.000,2018:09:13:21:28:35.475,82411.475
2018:09:13:22:35:20.029,2018:09:14:21:22:57.186,82057.157
2018:09:14:22:34:54.767,2018:09:15:21:17:51.586,81776.819
2018:09:15:22:33:56.482,2018:09:16:21:13:13.855,81557.372
2018:09:16:22:32:30.028,2018:09:17:21:09:01.073,81391.044
2018:09:17:22:30:38.373,2018:09:18:21:05:11.500,81273.127
2018:09:18:22:28:23.299,2018:09:19:21:01:44.227,81200.928
2018:09:19:22:25:45.776,2018:09:20:20:58:38.992,81173.216
2018:09:20:22:22:46.126,2018:09:21:20:55:56.097,81189.971
2018:09:21:22:19:24.107,2018:09:22:20:53:36.422,81252.315
2018:09:22:22:15:38.899,2018:09:23:20:51:41.510,81362.611
2018:09:23:22:11:29.032,2018:09:24:20:50:13.773,81524.742
2018:09:24:22:06:52.141,2018:09:25:20:49:16.897,81744.756
2018:09:25:22:01:44.609,2018:09:26:20:48:56.670,82032.061
2018:09:26:21:56:00.687,2018:09:27:20:49:22.813,82402.126
2018:09:27:21:49:30.701,2018:09:28:20:50:53.800,82883.099
2018:09:28:21:41:56.186,2018:09:29:20:54:14.325,83538.138
2018:09:29:21:32:32.461,2018:09:30:21:03:14.127,84641.666
2018:09:30:21:17:29.766,2018:12:22:19:38:17.638,7165247.873
2018:12:22:20:55:35.637,2019:01:21:01:45:43.582,2523007.944
2019:01:21:05:27:26.927,2019:03:08:01:14:08.318,3959201.391
2019:03:08:01:33:57.396,2019:03:09:01:00:56.997,84419.601
2019:03:09:01:41:05.463,2019:03:10:00:51:58.613,83453.150
2019:03:10:01:44:00.334,2019:03:11:00:44:37.377,82837.044
2019:03:11:01:45:17.771,2019:03:12:00:38:15.296,82377.525
2019:03:12:01:45:35.751,2019:03:13:00:32:35.968,82020.217
2019:03:13:01:45:10.677,2019:03:14:00:27:30.724,81740.047
2019:03:14:01:44:11.244,2019:03:15:00:22:54.547,81523.303
2019:03:15:01:42:42.504,2019:03:16:00:18:44.441,81361.937
2019:03:16:01:40:47.508,2019:03:17:00:14:58.685,81251.177
2019:03:17:01:38:28.047,2019:03:18:00:11:36.443,81188.396
2019:03:18:01:35:45.060,2019:03:19:00:08:37.552,81172.493
2019:03:19:01:32:38.791,2019:03:20:00:06:02.430,81203.639
2019:03:20:01:29:08.923,2019:03:21:00:03:52.053,81283.130
2019:03:21:01:25:14.568,2019:03:22:00:02:08.090,81413.522
2019:03:22:01:20:54.132,2019:03:23:00:00:53.145,81599.013
2019:03:23:01:16:05.040,2019:03:24:00:00:11.307,81846.268
2019:03:24:01:10:43.207,2019:03:25:00:00:09.313,82166.106
2019:03:25:01:04:41.897,2019:03:26:00:00:59.147,82577.250
2019:03:26:00:57:49.072,2019:03:27:00:03:05.649,83116.576
2019:03:27:00:49:39.833,2019:03:28:00:07:40.461,83880.627
