"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:12:46:26.896,2018:05:17:15:17:44.868,9077.972
2018:05:17:21:00:14.835,2018:05:17:23:31:31.775,9076.940
2018:05:18:05:14:02.798,2018:05:18:07:45:18.787,9075.990
2018:05:18:13:27:50.768,2018:05:18:15:59:05.898,9075.129
2018:05:18:21:41:38.739,2018:05:19:00:12:53.096,9074.357
2018:05:19:05:55:26.701,2018:05:19:08:26:40.389,9073.688
2018:05:19:14:09:14.655,2018:05:19:16:40:27.771,9073.116
2018:05:19:22:23:02.587,2018:05:20:00:54:15.230,9072.643
2018:05:20:06:36:50.488,2018:05:20:09:08:02.770,9072.282
2018:05:20:14:50:38.361,2018:05:20:17:21:50.383,9072.022
2018:05:20:23:04:26.193,2018:05:21:01:35:38.064,9071.870
2018:05:21:07:18:13.974,2018:05:21:09:49:25.798,9071.824
2018:05:21:15:32:01.709,2018:05:21:18:03:13.591,9071.882
2018:05:21:23:45:49.387,2018:05:22:02:17:01.433,9072.047
2018:05:22:07:59:37.000,2018:05:22:10:30:49.309,9072.309
2018:05:22:16:13:24.543,2018:05:22:18:44:37.222,9072.679
2018:05:23:00:27:12.021,2018:05:23:02:58:25.163,9073.142
2018:05:23:08:40:59.422,2018:05:23:11:12:13.116,9073.695
2018:05:23:16:54:46.740,2018:05:23:19:26:01.084,9074.344
2018:05:24:01:08:33.984,2018:05:24:03:39:49.057,9075.073
2018:05:24:09:22:21.143,2018:05:24:11:53:37.026,9075.883
2018:05:24:17:36:08.213,2018:05:24:20:07:24.978,9076.765
2018:05:25:01:49:55.203,2018:05:25:04:21:12.917,9077.713
2018:05:25:10:03:42.108,2018:05:25:12:35:00.832,9078.724
2018:05:25:18:17:28.924,2018:05:25:20:48:48.708,9079.785
2018:05:26:02:31:15.650,2018:05:26:05:02:36.551,9080.901
2018:05:26:10:45:02.299,2018:05:26:13:16:24.351,9082.052
2018:05:26:18:58:48.861,2018:05:26:21:30:12.096,9083.234
2018:05:27:03:12:35.338,2018:05:27:05:43:59.787,9084.450
2018:05:27:11:26:21.742,2018:05:27:13:57:47.420,9085.677
2018:05:27:19:40:08.071,2018:05:27:22:11:34.987,9086.917
2018:05:28:03:53:54.325,2018:05:28:06:25:22.478,9088.153
2018:05:28:12:07:40.508,2018:05:28:14:39:09.901,9089.393
2018:05:28:20:21:26.631,2018:05:28:22:52:57.249,9090.617
2018:05:29:04:35:12.693,2018:05:29:07:06:44.511,9091.817
2018:05:29:12:48:58.696,2018:05:29:15:20:31.695,9092.999
