"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:12:31:32.572,4407.312065
2018:05:17:12:41:32.000,4212.432064
2018:05:17:12:51:32.000,4023.418657
2018:05:17:13:01:32.000,3844.628291
2018:05:17:13:11:32.000,3680.643536
2018:05:17:13:21:32.000,3536.348605
2018:05:17:13:31:32.000,3416.705824
2018:05:17:13:41:32.000,3326.400336
2018:05:17:13:51:32.000,3269.371301
2018:05:17:14:01:32.000,3248.308607
2018:05:17:14:11:32.000,3264.248554
2018:05:17:14:21:32.000,3316.404520
2018:05:17:14:31:32.000,3402.296191
2018:05:17:14:41:32.000,3518.128497
2018:05:17:14:51:32.000,3659.289940
2018:05:17:15:01:32.000,3820.832422
2018:05:17:15:11:32.000,3997.844606
2018:05:17:15:21:32.000,4185.693124
2018:05:17:15:31:32.000,4380.148318
2018:05:17:15:32:54.883,4407.311889
2018:05:17:20:45:19.715,4407.311777
2018:05:17:20:55:19.000,4212.493240
2018:05:17:21:05:19.000,4023.494708
2018:05:17:21:15:19.000,3844.719083
2018:05:17:21:25:19.000,3680.748470
2018:05:17:21:35:19.000,3536.466490
2018:05:17:21:45:19.000,3416.834760
2018:05:17:21:55:19.000,3326.537669
2018:05:17:22:05:19.000,3269.513683
2018:05:17:22:15:19.000,3248.452199
2018:05:17:22:25:19.000,3264.389362
2018:05:17:22:35:19.000,3316.538773
2018:05:17:22:45:19.000,3402.420668
2018:05:17:22:55:19.000,3518.240722
2018:05:17:23:05:19.000,3659.388232
2018:05:17:23:15:19.000,3820.915828
2018:05:17:23:25:19.000,3997.912774
2018:05:17:23:35:19.000,4185.746159
2018:05:17:23:45:19.000,4380.186655
2018:05:17:23:46:41.772,4407.312074
2018:05:18:04:59:06.872,4407.310773
2018:05:18:05:09:06.000,4212.557069
2018:05:18:05:19:06.000,4023.571912
2018:05:18:05:29:06.000,3844.809362
2018:05:18:05:39:06.000,3680.851082
2018:05:18:05:49:06.000,3536.580136
2018:05:18:05:59:06.000,3416.957498
2018:05:18:06:09:06.000,3326.666881
2018:05:18:06:19:06.000,3269.646151
2018:05:18:06:29:06.000,3248.584318
2018:05:18:06:39:06.000,3264.517454
2018:05:18:06:49:06.000,3316.659439
2018:05:18:06:59:06.000,3402.531075
2018:05:18:07:09:06.000,3518.338767
2018:05:18:07:19:06.000,3659.472566
2018:05:18:07:29:06.000,3820.985775
