"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:22:08:11:12.368,2018:06:06:10:07:34.658,1302982.290
2018:06:20:21:04:58.426,2018:07:05:18:43:11.072,1287492.645
2018:07:20:10:42:01.428,2018:07:27:17:45:31.321,630209.893
2018:07:27:22:52:19.397,2018:08:04:02:43:02.608,618643.210
2018:08:19:00:47:26.735,2018:09:02:11:18:08.572,1247441.837
2018:09:17:14:59:25.881,2018:10:01:21:34:18.213,1233292.333
2018:10:17:04:52:27.723,2018:10:31:10:16:11.238,1229023.514
2018:11:15:18:04:08.956,2018:11:30:01:31:08.766,1236419.810
2018:12:15:06:24:39.526,2018:12:29:18:40:43.687,1253764.161
2019:01:13:18:02:45.876,2019:01:21:03:05:41.241,637375.365
2019:01:21:07:26:55.926,2019:01:28:12:29:00.745,622924.818
2019:02:12:05:23:03.176,2019:02:27:05:27:45.360,1296282.184
2019:03:13:16:55:01.719,2019:03:28:20:26:25.245,1308683.526
2019:04:12:05:00:54.801,2019:04:27:08:52:43.959,1309909.158
2019:05:11:17:48:53.985,2019:05:17:10:00:00.000,490266.015

