"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:11:08:52.836,2018:05:18:07:37:53.311,73740.475
2018:05:18:10:07:57.279,2018:05:19:06:29:46.034,73308.755
2018:05:19:09:16:01.769,2018:05:20:05:18:47.188,72165.420
2018:05:20:08:39:45.218,2018:05:21:04:05:52.734,69967.515
2018:05:21:08:32:03.485,2018:05:22:02:51:37.651,65974.166
2018:05:22:09:17:38.259,2018:05:23:01:36:24.574,58726.315
2018:05:23:11:31:54.755,2018:05:24:00:20:28.483,46113.728
2018:05:24:15:01:24.367,2018:05:24:23:03:59.347,28954.980
2018:05:25:17:39:32.092,2018:05:25:21:47:03.481,14851.389
2018:05:26:18:30:46.615,2018:05:26:20:29:43.710,7137.095
2018:05:27:18:15:27.952,2018:05:27:19:11:57.386,3389.434
2018:05:28:17:29:19.355,2018:05:28:17:53:23.281,1443.926
2018:06:02:11:34:31.958,2018:06:02:11:47:54.344,802.386
2018:06:03:10:15:03.779,2018:06:03:10:54:48.109,2384.330
2018:06:04:08:57:01.293,2018:06:04:10:22:15.116,5113.822
2018:06:05:07:39:30.240,2018:06:05:10:37:13.431,10663.192
2018:06:06:06:22:23.127,2018:06:06:12:23:39.398,21676.271
2018:06:07:05:05:40.810,2018:06:07:15:45:37.631,38396.820
2018:06:08:03:49:28.073,2018:06:08:18:43:33.052,53644.980
2018:06:09:02:33:53.056,2018:06:09:20:05:56.878,63123.822
2018:06:10:01:19:08.146,2018:06:10:20:18:58.296,68390.149
2018:06:11:00:05:31.933,2018:06:11:19:53:50.403,71298.470
2018:06:11:22:53:32.782,2018:06:12:19:08:07.449,72874.667
2018:06:12:21:43:55.324,2018:06:13:18:10:50.305,73614.980
2018:06:13:20:37:52.476,2018:06:14:17:06:42.284,73729.808
2018:06:14:19:37:28.682,2018:06:15:15:58:18.751,73250.069
2018:06:15:18:46:26.724,2018:06:16:14:47:09.108,72042.384
2018:06:16:18:11:45.263,2018:06:17:13:34:07.233,69741.970
2018:06:17:18:06:59.613,2018:06:18:12:19:46.877,65567.264
2018:06:18:18:57:55.394,2018:06:19:11:04:29.926,57994.532
2018:06:19:21:19:35.326,2018:06:20:09:48:30.894,44935.568
2018:06:21:00:50:10.865,2018:06:21:08:31:59.438,27708.573
2018:06:22:03:20:17.598,2018:06:22:07:15:01.592,14083.994
2018:06:23:04:04:59.410,2018:06:23:05:57:39.855,6760.445
2018:06:24:03:46:27.775,2018:06:24:04:39:50.890,3203.115
2018:06:25:02:58:57.578,2018:06:25:03:21:09.996,1332.418
2018:06:29:21:02:14.278,2018:06:29:21:17:19.174,904.895
2018:06:30:19:42:57.927,2018:06:30:20:25:08.797,2530.871
2018:07:01:18:24:58.126,2018:07:01:19:55:04.619,5406.493
2018:07:02:17:07:28.808,2018:07:02:20:15:25.799,11276.991
2018:07:03:15:50:23.385,2018:07:03:22:10:37.529,22814.144
2018:07:04:14:33:43.065,2018:07:05:01:36:12.252,39749.187
2018:07:05:13:17:32.840,2018:07:06:04:27:23.549,54590.709
2018:07:06:12:02:01.128,2018:07:07:05:43:00.487,63659.359
2018:07:07:10:47:20.714,2018:07:08:05:52:06.539,68685.825
2018:07:08:09:33:50.751,2018:07:09:05:24:52.454,71461.703
2018:07:09:08:22:00.563,2018:07:10:04:37:59.889,72959.326
