"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:00:00.000,2018:05:17:11:55:49.620,6949.620
2018:05:17:14:03:47.695,2018:05:18:02:13:10.471,43762.776
2018:05:18:04:22:16.515,2018:05:18:16:30:34.938,43698.424
2018:05:18:18:40:49.247,2018:05:19:06:48:03.171,43633.924
2018:05:19:08:59:26.042,2018:05:19:21:05:35.317,43569.275
2018:05:19:23:18:07.046,2018:05:20:11:23:11.516,43504.469
2018:05:20:13:36:52.386,2018:05:21:01:40:51.896,43439.510
2018:05:21:03:55:42.164,2018:05:21:15:58:36.566,43374.401
2018:05:21:18:14:36.461,2018:05:22:06:16:25.622,43309.161
2018:05:22:08:33:35.340,2018:05:22:20:34:19.154,43243.813
2018:05:22:22:52:38.828,2018:05:23:10:52:17.221,43178.393
2018:05:23:13:11:46.939,2018:05:24:01:10:19.878,43112.939
2018:05:24:03:30:59.652,2018:05:24:15:28:27.154,43047.502
2018:05:24:17:50:16.930,2018:05:25:05:46:39.066,42982.135
2018:05:25:08:09:38.712,2018:05:25:20:04:55.615,42916.902
2018:05:25:22:29:04.914,2018:05:26:10:23:16.788,42851.874
2018:05:26:12:48:35.433,2018:05:27:00:41:42.549,42787.116
2018:05:27:03:08:10.143,2018:05:27:15:00:12.863,42722.720
2018:05:27:17:27:48.905,2018:05:28:05:18:47.662,42658.757
2018:05:28:07:47:31.569,2018:05:28:19:37:26.886,42595.317
2018:05:28:22:07:17.961,2018:05:29:09:56:10.448,42532.487
2018:05:29:12:27:07.896,2018:05:30:00:14:58.251,42470.355
2018:05:30:02:47:01.191,2018:05:30:14:33:50.204,42409.013
2018:05:30:17:06:57.639,2018:05:31:04:52:46.191,42348.552
2018:05:31:07:26:57.035,2018:05:31:19:11:46.096,42289.062
2018:05:31:21:46:59.166,2018:06:01:09:30:49.798,42230.632
2018:06:01:12:07:03.820,2018:06:01:23:49:57.160,42173.340
2018:06:02:02:27:10.773,2018:06:02:14:09:08.059,42117.286
2018:06:02:16:47:19.809,2018:06:03:04:28:22.347,42062.537
2018:06:03:07:07:30.707,2018:06:03:18:47:39.896,42009.189
2018:06:03:21:27:43.257,2018:06:04:09:07:00.555,41957.297
2018:06:04:11:47:57.235,2018:06:04:23:26:24.188,41906.953
2018:06:05:02:08:12.438,2018:06:05:13:45:50.654,41858.216
2018:06:05:16:28:28.659,2018:06:06:04:05:19.807,41811.148
2018:06:06:06:48:45.700,2018:06:06:18:24:51.519,41765.819
2018:06:06:21:09:03.373,2018:06:07:08:44:25.652,41722.279
2018:06:07:11:29:21.500,2018:06:07:23:04:02.095,41680.595
2018:06:08:01:49:39.918,2018:06:08:13:23:40.728,41640.810
2018:06:08:16:09:58.480,2018:06:09:03:43:21.453,41602.973
2018:06:09:06:30:17.062,2018:06:09:18:03:04.196,41567.135
2018:06:09:20:50:35.553,2018:06:10:08:22:48.896,41533.343
2018:06:10:11:10:53.877,2018:06:10:22:42:35.515,41501.638
2018:06:11:01:31:11.990,2018:06:11:13:02:24.043,41472.053
2018:06:11:15:51:29.862,2018:06:12:03:22:14.498,41444.635
2018:06:12:06:11:47.515,2018:06:12:17:42:06.916,41419.401
2018:06:12:20:32:04.984,2018:06:13:08:02:01.376,41396.392
2018:06:13:10:52:22.328,2018:06:13:22:21:57.959,41375.632
2018:06:14:01:12:39.633,2018:06:14:12:41:56.764,41357.132
2018:06:14:15:32:56.991,2018:06:15:03:01:57.896,41340.904
2018:06:15:05:53:14.495,2018:06:15:17:22:01.467,41326.972
2018:06:15:20:13:32.240,2018:06:16:07:42:07.554,41315.314
2018:06:16:10:33:50.284,2018:06:16:22:02:16.238,41305.955
2018:06:17:00:54:08.669,2018:06:17:12:22:27.551,41298.882
2018:06:17:15:14:27.413,2018:06:18:02:42:41.499,41294.086
2018:06:18:05:34:46.490,2018:06:18:17:02:58.066,41291.576
2018:06:18:19:55:05.826,2018:06:19:07:23:17.170,41291.344
2018:06:19:10:15:25.331,2018:06:19:21:43:38.724,41293.393
2018:06:20:00:35:44.869,2018:06:20:12:04:02.588,41297.718
2018:06:20:14:56:04.276,2018:06:21:02:24:28.600,41304.324
2018:06:21:05:16:23.353,2018:06:21:16:44:56.559,41313.206
2018:06:21:19:36:41.887,2018:06:22:07:05:26.245,41324.358
2018:06:22:09:56:59.642,2018:06:22:21:25:57.427,41337.785
2018:06:23:00:17:16.374,2018:06:23:11:46:29.844,41353.470
2018:06:23:14:37:31.821,2018:06:24:02:07:03.227,41371.406
2018:06:24:04:57:45.716,2018:06:24:16:27:37.286,41391.570
2018:06:24:19:17:57.791,2018:06:25:06:48:11.728,41413.937
2018:06:25:09:38:07.771,2018:06:25:21:08:46.264,41438.493
2018:06:25:23:58:15.390,2018:06:26:11:29:20.582,41465.192
2018:06:26:14:18:20.383,2018:06:27:01:49:54.389,41494.006
2018:06:27:04:38:22.495,2018:06:27:16:10:27.376,41524.880
2018:06:27:18:58:21.475,2018:06:28:06:30:59.251,41557.776
2018:06:28:09:18:17.096,2018:06:28:20:51:29.728,41592.632
2018:06:28:23:38:09.125,2018:06:29:11:11:58.512,41629.387
2018:06:29:13:57:57.356,2018:06:30:01:32:25.342,41667.986
2018:06:30:04:17:41.593,2018:06:30:15:52:49.953,41708.361
2018:06:30:18:37:21.664,2018:07:01:06:13:12.096,41750.432
2018:07:01:08:56:57.409,2018:07:01:20:33:31.535,41794.126
2018:07:01:23:16:28.676,2018:07:02:10:53:48.054,41839.378
2018:07:02:13:35:55.349,2018:07:03:01:14:01.448,41886.099
2018:07:03:03:55:17.316,2018:07:03:15:34:11.531,41934.214
2018:07:03:18:14:34.494,2018:07:04:05:54:18.134,41983.640
2018:07:04:08:33:46.800,2018:07:04:20:14:21.110,42034.311
2018:07:04:22:52:54.191,2018:07:05:10:34:20.322,42086.131
2018:07:05:13:11:56.628,2018:07:06:00:54:15.661,42139.032
2018:07:06:03:30:54.096,2018:07:06:15:14:07.038,42192.942
2018:07:06:17:49:46.596,2018:07:07:05:33:54.384,42247.788
2018:07:07:08:08:34.145,2018:07:07:19:53:37.666,42303.521
2018:07:07:22:27:16.793,2018:07:08:10:13:16.858,42360.065
2018:07:08:12:45:54.590,2018:07:09:00:32:51.973,42417.384
2018:07:09:03:04:27.623,2018:07:09:14:52:23.051,42475.428
2018:07:09:17:22:55.994,2018:07:10:05:11:50.157,42534.164
2018:07:10:07:41:19.814,2018:07:10:19:31:13.387,42593.573
2018:07:10:21:59:39.232,2018:07:11:09:50:32.857,42653.624
2018:07:11:12:17:54.403,2018:07:12:00:09:48.715,42714.311
2018:07:12:02:36:05.486,2018:07:12:14:29:01.116,42775.630
2018:07:12:16:54:12.658,2018:07:13:04:48:10.231,42837.573
2018:07:13:07:12:16.104,2018:07:13:19:07:16.222,42900.118
2018:07:13:21:30:15.989,2018:07:14:09:26:19.259,42963.270
2018:07:14:11:48:12.474,2018:07:14:23:45:19.486,43027.012
2018:07:15:02:06:05.719,2018:07:15:14:04:17.043,43091.324
2018:07:15:16:23:55.855,2018:07:16:04:23:12.025,43156.170
2018:07:16:06:41:42.980,2018:07:16:18:42:04.521,43221.541
2018:07:16:20:59:27.199,2018:07:17:09:00:54.578,43287.379
2018:07:17:11:17:08.568,2018:07:17:23:19:42.234,43353.666
2018:07:18:01:34:47.144,2018:07:18:13:38:27.480,43420.336
2018:07:18:15:52:22.958,2018:07:19:03:57:10.308,43487.351
2018:07:19:06:09:56.028,2018:07:19:18:15:50.694,43554.666
2018:07:19:20:27:26.362,2018:07:20:08:34:28.581,43622.219
2018:07:20:10:44:53.960,2018:07:20:22:53:03.926,43689.966
