"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:11:08:52.836,4866.404141
2018:05:17:11:18:52.000,5223.628711
2018:05:17:11:28:52.000,5587.595831
2018:05:17:11:38:52.000,5952.277904
2018:05:17:11:48:52.000,6314.039348
2018:05:17:11:58:52.000,6670.515964
2018:05:17:12:08:52.000,7020.189954
2018:05:17:12:18:52.000,7362.108139
2018:05:17:12:28:52.000,7695.695630
2018:05:17:12:38:52.000,8020.632072
2018:05:17:12:48:52.000,8336.768814
2018:05:17:12:58:52.000,8644.072982
2018:05:17:13:08:52.000,8942.589385
2018:05:17:13:18:52.000,9232.414366
2018:05:17:13:28:52.000,9513.677717
2018:05:17:13:38:52.000,9786.530119
2018:05:17:13:48:52.000,10051.134383
2018:05:17:13:58:52.000,10307.659342
2018:05:17:14:08:52.000,10556.275599
2018:05:17:14:18:52.000,10797.152582
2018:05:17:14:28:52.000,11030.456537
2018:05:17:14:38:52.000,11256.349170
2018:05:17:14:48:52.000,11474.986780
2018:05:17:14:58:52.000,11686.519714
2018:05:17:15:08:52.000,11891.092072
2018:05:17:15:18:52.000,12088.841580
2018:05:17:15:28:52.000,12279.899590
2018:05:17:15:38:52.000,12464.391151
2018:05:17:15:48:52.000,12642.435154
2018:05:17:15:58:52.000,12814.144502
2018:05:17:16:08:52.000,12979.626306
2018:05:17:16:18:52.000,13138.982102
2018:05:17:16:28:52.000,13292.308064
2018:05:17:16:38:52.000,13439.695224
2018:05:17:16:48:52.000,13581.229686
2018:05:17:16:58:52.000,13716.992834
2018:05:17:17:08:52.000,13847.061536
2018:05:17:17:18:52.000,13971.508331
2018:05:17:17:28:52.000,14090.401618
2018:05:17:17:38:52.000,14203.805826
2018:05:17:17:48:52.000,14311.781577
2018:05:17:17:58:52.000,14414.385841
2018:05:17:18:08:52.000,14511.672075
2018:05:17:18:18:52.000,14603.690363
2018:05:17:18:28:52.000,14690.487536
2018:05:17:18:38:52.000,14772.107288
2018:05:17:18:48:52.000,14848.590288
2018:05:17:18:58:52.000,14919.974271
2018:05:17:19:08:52.000,14986.294135
2018:05:17:19:18:52.000,15047.582026
2018:05:17:19:28:52.000,15103.867407
2018:05:17:19:38:52.000,15155.177136
2018:05:17:19:48:52.000,15201.535522
2018:05:17:19:58:52.000,15242.964386
2018:05:17:20:08:52.000,15279.483110
2018:05:17:20:18:52.000,15311.108682
2018:05:17:20:28:52.000,15337.855733
2018:05:17:20:38:52.000,15359.736574
2018:05:17:20:48:52.000,15376.761218
2018:05:17:20:58:52.000,15388.937408
2018:05:17:21:08:52.000,15396.270632
2018:05:17:21:18:52.000,15398.764135
2018:05:17:21:28:52.000,15396.418927
2018:05:17:21:38:52.000,15389.233782
2018:05:17:21:48:52.000,15377.205241
2018:05:17:21:58:52.000,15360.327596
2018:05:17:22:08:52.000,15338.592885
2018:05:17:22:18:52.000,15311.990867
2018:05:17:22:28:52.000,15280.509000
2018:05:17:22:38:52.000,15244.132415
2018:05:17:22:48:52.000,15202.843878
2018:05:17:22:58:52.000,15156.623752
2018:05:17:23:08:52.000,15105.449948
2018:05:17:23:18:52.000,15049.297879
2018:05:17:23:28:52.000,14988.140392
2018:05:17:23:38:52.000,14921.947715
2018:05:17:23:48:52.000,14850.687375
2018:05:17:23:58:52.000,14774.324124
2018:05:18:00:08:52.000,14692.819856
2018:05:18:00:18:52.000,14606.133504
2018:05:18:00:28:52.000,14514.220948
2018:05:18:00:38:52.000,14417.034896
2018:05:18:00:48:52.000,14314.524771
2018:05:18:00:58:52.000,14206.636575
2018:05:18:01:08:52.000,14093.312758
2018:05:18:01:18:52.000,13974.492061
2018:05:18:01:28:52.000,13850.109363
2018:05:18:01:38:52.000,13720.095505
2018:05:18:01:48:52.000,13584.377111
2018:05:18:01:58:52.000,13442.876397
2018:05:18:02:08:52.000,13295.510961
2018:05:18:02:18:52.000,13142.193576
2018:05:18:02:28:52.000,12982.831960
2018:05:18:02:38:52.000,12817.328546
2018:05:18:02:48:52.000,12645.580242
2018:05:18:02:58:52.000,12467.478186
2018:05:18:03:08:52.000,12282.907512
2018:05:18:03:18:52.000,12091.747109
2018:05:18:03:28:52.000,11893.869408
2018:05:18:03:38:52.000,11689.140196
2018:05:18:03:48:52.000,11477.418475
2018:05:18:03:58:52.000,11258.556392
2018:05:18:04:08:52.000,11032.399276
2018:05:18:04:18:52.000,10798.785828
2018:05:18:04:28:52.000,10557.548519
2018:05:18:04:38:52.000,10308.514304
2018:05:18:04:48:52.000,10051.505761
2018:05:18:04:58:52.000,9786.342843
2018:05:18:05:08:52.000,9512.845487
2018:05:18:05:18:52.000,9230.837449
2018:05:18:05:28:52.000,8940.151876
2018:05:18:05:38:52.000,8640.639374
2018:05:18:05:48:52.000,8332.179673
2018:05:18:05:58:52.000,8014.698554
2018:05:18:06:08:52.000,7688.192495
2018:05:18:06:18:52.000,7352.764819
2018:05:18:06:28:52.000,7008.679125
2018:05:18:06:38:52.000,6656.439004
2018:05:18:06:48:52.000,6296.908135
2018:05:18:06:58:52.000,5931.492855
2018:05:18:07:08:52.000,5562.421620
2018:05:18:07:18:52.000,5193.173277
2018:05:18:07:28:52.000,4829.126339
2018:05:18:07:37:53.311,4511.903864
2018:05:18:10:07:57.279,5828.591038
2018:05:18:10:17:57.000,6186.661706
2018:05:18:10:27:57.000,6541.623316
2018:05:18:10:37:57.000,6891.247638
2018:05:18:10:47:57.000,7234.187540
2018:05:18:10:57:57.000,7569.582160
2018:05:18:11:07:57.000,7896.902487
2018:05:18:11:17:57.000,8215.846604
2018:05:18:11:27:57.000,8526.268257
2018:05:18:11:37:57.000,8828.127793
2018:05:18:11:47:57.000,9121.458231
2018:05:18:11:57:57.000,9406.341626
2018:05:18:12:07:57.000,9682.892499
2018:05:18:12:17:57.000,9951.246184
2018:05:18:12:27:57.000,10211.550583
2018:05:18:12:37:57.000,10463.960348
2018:05:18:12:47:57.000,10708.632765
2018:05:18:12:57:57.000,10945.724863
2018:05:18:13:07:57.000,11175.391404
2018:05:18:13:17:57.000,11397.783496
2018:05:18:13:27:57.000,11613.047669
2018:05:18:13:37:57.000,11821.325281
2018:05:18:13:47:57.000,12022.752157
2018:05:18:13:57:57.000,12217.458405
2018:05:18:14:07:57.000,12405.568354
2018:05:18:14:17:57.000,12587.200581
