"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:22:11:40:57.223,2018:06:06:07:08:21.065,1279643.841
2018:06:20:23:14:17.152,2018:07:05:17:30:49.289,1275392.138
2018:07:20:10:47:14.146,2018:07:27:17:46:35.205,629961.059
2018:07:27:22:55:19.446,2018:08:04:03:44:06.089,622126.643
2018:08:18:22:36:42.040,2018:09:02:14:25:51.534,1266549.494
2018:09:17:10:56:21.141,2018:10:02:02:08:17.726,1264316.585
2018:10:16:23:52:29.169,2018:10:31:15:09:36.178,1264627.009
2018:11:15:13:21:39.144,2018:11:30:05:27:24.885,1267545.741
2018:12:15:03:11:38.593,2018:12:29:20:37:31.381,1272352.787
2019:01:13:17:05:36.139,2019:01:21:03:06:13.005,640836.865
2019:01:21:07:23:45.649,2019:01:28:12:00:10.425,621384.776
2019:02:12:06:47:07.848,2019:02:27:02:52:15.553,1281907.705
2019:03:13:20:03:51.801,2019:03:28:16:40:16.593,1283784.791
2019:04:12:08:49:10.930,2019:04:27:05:09:06.546,1282795.615
2019:05:11:21:03:02.362,2019:05:17:10:00:00.000,478617.638

