"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:00:00.000,2018:05:17:12:54:36.362,10476.362
2018:05:17:13:45:51.784,2018:05:17:17:56:10.550,15018.767
2018:05:17:18:47:25.977,2018:05:17:22:57:44.744,15018.767
2018:05:17:23:49:00.176,2018:05:18:03:59:18.949,15018.774
2018:05:18:04:50:34.388,2018:05:18:09:00:53.162,15018.773
2018:05:18:09:52:08.602,2018:05:18:14:02:27.384,15018.781
2018:05:18:14:53:42.829,2018:05:18:19:04:01.614,15018.785
2018:05:18:19:55:17.069,2018:05:19:00:05:35.859,15018.790
2018:05:19:00:56:51.315,2018:05:19:05:07:10.112,15018.797
2018:05:19:05:58:25.574,2018:05:19:10:08:44.378,15018.804
2018:05:19:10:59:59.846,2018:05:19:15:10:18.657,15018.811
2018:05:19:16:01:34.130,2018:05:19:20:11:52.949,15018.819
2018:05:19:21:03:08.426,2018:05:20:01:13:27.253,15018.827
2018:05:20:02:04:42.736,2018:05:20:06:15:01.572,15018.835
2018:05:20:07:06:17.060,2018:05:20:11:16:35.904,15018.844
2018:05:20:12:07:51.397,2018:05:20:16:18:10.250,15018.852
2018:05:20:17:09:25.750,2018:05:20:21:19:44.610,15018.860
2018:05:20:22:11:00.117,2018:05:21:02:21:18.985,15018.868
2018:05:21:03:12:34.494,2018:05:21:07:22:53.374,15018.880
2018:05:21:08:14:08.892,2018:05:21:12:24:27.778,15018.886
2018:05:21:13:15:43.302,2018:05:21:17:26:02.196,15018.895
2018:05:21:18:17:17.725,2018:05:21:22:27:36.630,15018.905
2018:05:21:23:18:52.165,2018:05:22:03:29:11.078,15018.912
2018:05:22:04:20:26.616,2018:05:22:08:30:45.540,15018.924
2018:05:22:09:22:01.088,2018:05:22:13:32:20.017,15018.929
2018:05:22:14:23:35.569,2018:05:22:18:33:54.509,15018.940
2018:05:22:19:25:10.067,2018:05:22:23:35:29.014,15018.947
2018:05:23:00:26:44.579,2018:05:23:04:37:03.534,15018.955
2018:05:23:05:28:19.106,2018:05:23:09:38:38.067,15018.962
2018:05:23:10:29:53.646,2018:05:23:14:40:12.614,15018.968
2018:05:23:15:31:28.200,2018:05:23:19:41:47.174,15018.974
2018:05:23:20:33:02.769,2018:05:24:00:43:21.747,15018.979
2018:05:24:01:34:37.350,2018:05:24:05:44:56.333,15018.983
2018:05:24:06:36:11.943,2018:05:24:10:46:30.931,15018.988
2018:05:24:11:37:46.549,2018:05:24:15:48:05.541,15018.991
2018:05:24:16:39:21.164,2018:05:24:20:49:40.162,15018.998
2018:05:24:21:40:55.793,2018:05:25:01:51:14.794,15019.001
2018:05:25:02:42:30.433,2018:05:25:06:52:49.438,15019.004
2018:05:25:07:44:05.085,2018:05:25:11:54:24.088,15019.003
2018:05:25:12:45:39.746,2018:05:25:16:55:58.753,15019.007
2018:05:25:17:47:14.417,2018:05:25:21:57:33.422,15019.005
2018:05:25:22:48:49.098,2018:05:26:02:59:08.105,15019.007
2018:05:26:03:50:23.790,2018:05:26:08:00:42.794,15019.004
2018:05:26:08:51:58.485,2018:05:26:13:02:17.488,15019.003
2018:05:26:13:53:33.191,2018:05:26:18:03:52.191,15019.000
2018:05:26:18:55:07.904,2018:05:26:23:05:26.901,15018.997
2018:05:26:23:56:42.623,2018:05:27:04:07:01.617,15018.993
2018:05:27:04:58:17.349,2018:05:27:09:08:36.338,15018.989
2018:05:27:09:59:52.081,2018:05:27:14:10:11.064,15018.983
2018:05:27:15:01:26.818,2018:05:27:19:11:45.795,15018.977
2018:05:27:20:03:01.560,2018:05:28:00:13:20.529,15018.969
2018:05:28:01:04:36.307,2018:05:28:05:14:55.267,15018.960
2018:05:28:06:06:11.054,2018:05:28:10:16:30.006,15018.952
2018:05:28:11:07:45.804,2018:05:28:15:18:04.751,15018.947
2018:05:28:16:09:20.558,2018:05:28:20:19:39.495,15018.937
2018:05:28:21:10:55.314,2018:05:29:01:21:14.238,15018.925
2018:05:29:02:12:30.070,2018:05:29:06:22:48.984,15018.913
2018:05:29:07:14:04.828,2018:05:29:11:24:23.729,15018.901
2018:05:29:12:15:39.585,2018:05:29:16:25:58.472,15018.887
2018:05:29:17:17:14.341,2018:05:29:21:27:33.216,15018.875
2018:05:29:22:18:49.097,2018:05:30:02:29:07.958,15018.861
2018:05:30:03:20:23.851,2018:05:30:07:30:42.697,15018.846
2018:05:30:08:21:58.606,2018:05:30:12:32:17.434,15018.828
2018:05:30:13:23:33.358,2018:05:30:17:33:52.167,15018.809
2018:05:30:18:25:08.104,2018:05:30:22:35:26.897,15018.793
2018:05:30:23:26:42.842,2018:05:31:03:37:01.627,15018.785
2018:05:31:04:28:17.581,2018:05:31:08:38:36.343,15018.762
2018:05:31:09:29:52.315,2018:05:31:13:40:11.062,15018.747
2018:05:31:14:31:27.048,2018:05:31:18:41:45.768,15018.719
2018:05:31:19:33:01.767,2018:05:31:23:43:20.471,15018.705
2018:06:01:00:34:36.484,2018:06:01:04:44:55.168,15018.685
2018:06:01:05:36:11.194,2018:06:01:09:46:29.860,15018.666
2018:06:01:10:37:45.898,2018:06:01:14:48:04.542,15018.645
2018:06:01:15:39:20.598,2018:06:01:19:49:39.217,15018.619
2018:06:01:20:40:55.287,2018:06:02:00:51:13.883,15018.596
2018:06:02:01:42:29.962,2018:06:02:05:52:48.540,15018.578
2018:06:02:06:44:04.634,2018:06:02:10:54:23.186,15018.552
2018:06:02:11:45:39.296,2018:06:02:15:55:57.825,15018.528
2018:06:02:16:47:13.949,2018:06:02:20:57:32.453,15018.504
2018:06:02:21:48:48.592,2018:06:03:01:59:07.072,15018.480
