"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:13:50:33.580,2018:05:17:15:43:42.679,6789.099
2018:05:17:20:17:59.887,2018:05:17:22:11:09.576,6789.689
2018:05:18:02:45:26.194,2018:05:18:04:38:36.423,6790.229
2018:05:18:09:12:52.492,2018:05:18:11:06:03.233,6790.741
2018:05:18:15:40:18.797,2018:05:18:17:33:30.005,6791.208
2018:05:18:22:07:45.099,2018:05:19:00:00:56.734,6791.635
2018:05:19:04:35:11.412,2018:05:19:06:28:23.430,6792.019
2018:05:19:11:02:37.727,2018:05:19:12:55:50.084,6792.357
2018:05:19:17:30:04.051,2018:05:19:19:23:16.709,6792.658
2018:05:19:23:57:30.395,2018:05:20:01:50:43.293,6792.898
2018:05:20:06:24:56.745,2018:05:20:08:18:09.848,6793.104
2018:05:20:12:52:23.119,2018:05:20:14:45:36.376,6793.258
2018:05:20:19:19:49.505,2018:05:20:21:13:02.871,6793.367
2018:05:21:01:47:15.918,2018:05:21:03:40:29.346,6793.428
2018:05:21:08:14:42.347,2018:05:21:10:07:55.789,6793.442
2018:05:21:14:42:08.802,2018:05:21:16:35:22.218,6793.417
2018:05:21:21:09:35.289,2018:05:21:23:02:48.619,6793.330
2018:05:22:03:37:01.796,2018:05:22:05:30:15.005,6793.210
2018:05:22:10:04:28.339,2018:05:22:11:57:41.379,6793.040
2018:05:22:16:31:54.907,2018:05:22:18:25:07.735,6792.828
2018:05:22:22:59:21.512,2018:05:23:00:52:34.085,6792.573
2018:05:23:05:26:48.146,2018:05:23:07:20:00.421,6792.275
2018:05:23:11:54:14.813,2018:05:23:13:47:26.758,6791.944
2018:05:23:18:21:41.523,2018:05:23:20:14:53.082,6791.560
2018:05:24:00:49:08.260,2018:05:24:02:42:19.409,6791.150
2018:05:24:07:16:35.041,2018:05:24:09:09:45.741,6790.700
2018:05:24:13:44:01.852,2018:05:24:15:37:12.070,6790.218
2018:05:24:20:11:28.707,2018:05:24:22:04:38.411,6789.704
2018:05:25:02:38:55.594,2018:05:25:04:32:04.754,6789.159
2018:05:25:09:06:22.519,2018:05:25:10:59:31.114,6788.595
2018:05:25:15:33:49.487,2018:05:25:17:26:57.478,6787.991
2018:05:25:22:01:16.486,2018:05:25:23:54:23.860,6787.374
2018:05:26:04:28:43.529,2018:05:26:06:21:50.263,6786.734
2018:05:26:10:56:10.602,2018:05:26:12:49:16.679,6786.076
2018:05:26:17:23:37.717,2018:05:26:19:16:43.121,6785.404
2018:05:26:23:51:04.864,2018:05:27:01:44:09.579,6784.715
2018:05:27:06:18:32.042,2018:05:27:08:11:36.070,6784.027
2018:05:27:12:45:59.262,2018:05:27:14:39:02.579,6783.317
2018:05:27:19:13:26.507,2018:05:27:21:06:29.116,6782.609
2018:05:28:01:40:53.790,2018:05:28:03:33:55.687,6781.897
2018:05:28:08:08:21.097,2018:05:28:10:01:22.283,6781.186
2018:05:28:14:35:48.437,2018:05:28:16:28:48.916,6780.479
2018:05:28:21:03:15.801,2018:05:28:22:56:15.575,6779.774
2018:05:29:03:30:43.188,2018:05:29:05:23:42.276,6779.088
2018:05:29:09:58:10.606,2018:05:29:11:51:09.004,6778.398
2018:05:29:16:25:38.038,2018:05:29:18:18:35.768,6777.729
2018:05:29:22:53:05.497,2018:05:30:00:46:02.572,6777.075
