Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,01/03/16 13:56,29:07.3,5538.77
2,01/03/16 19:04,33:11.7,5301.705
3,02/03/16 00:12,37:14.3,5062.281
4,20:53.8,41:15.1,4821.288
5,28:54.7,45:14.3,4579.546
6,36:53.9,49:11.8,4337.85
7,44:50.6,53:07.6,4096.916
8,52:44.2,57:01.7,3857.453
9,00:34.0,00:54.1,3620.082
10,08:19.4,04:44.8,3385.317
11,16:00.0,08:33.6,3153.6
12,23:35.4,12:20.6,2925.225
13,31:05.2,16:05.6,2700.34
14,38:29.4,19:48.4,2478.913
15,45:48.0,23:28.7,2260.694
16,53:01.1,27:06.2,2045.138
17,00:09.1,30:40.4,1831.302
18,07:12.9,34:10.5,1617.647
19,14:13.6,37:35.3,1401.67
20,21:13.6,40:52.6,1179.026
21,28:17.2,43:58.4,941.243
22,35:34.9,46:42.3,667.358
23,44:01.2,48:10.0,248.787
24,17:52.3,25:50.2,477.91
25,20:10.9,33:29.4,798.522
26,23:06.7,40:38.9,1052.162
27,26:18.5,47:40.4,1281.905
28,29:39.6,54:40.7,1501.123
29,33:07.0,01:43.0,1715.945
30,36:39.1,08:48.9,1929.741
31,40:15.0,15:59.5,2144.516
32,43:53.9,23:15.4,2361.493
33,47:35.4,30:36.8,2581.418
34,51:19.3,38:04.0,2804.701
35,55:05.2,45:36.7,3031.477
36,58:53.2,53:14.9,3261.69
37,02:43.0,00:58.1,3495.119
38,06:34.5,08:45.9,3731.401
39,10:27.8,16:37.9,3970.051
40,14:22.8,24:33.3,4210.509
41,18:19.5,32:31.6,4452.099
42,22:17.8,40:31.9,4694.106
43,26:17.9,48:33.7,4935.777
44,30:19.6,56:35.9,5176.299
45,34:23.2,04:38.0,5414.861
46,38:28.5,12:39.2,5650.661
47,42:35.6,20:38.5,5882.881
48,46:44.7,28:35.4,6110.743
49,50:55.7,36:29.2,6333.51
50,55:08.7,44:19.2,6550.47
51,59:23.8,52:04.8,6760.964
52,03:41.1,59:45.5,6964.383
53,08:00.7,07:20.9,7160.192
54,12:22.6,14:50.5,7347.888
55,16:46.9,22:14.0,7527.032
56,21:13.8,29:31.1,7697.255
57,25:43.4,36:41.6,7858.227
58,30:15.7,43:45.4,8009.674
59,34:51.0,50:42.3,8151.346
60,39:29.2,57:32.3,8283.077
61,44:10.7,04:15.4,8404.711
62,48:55.4,10:51.5,8516.119
63,53:43.6,17:20.8,8617.214
64,58:35.4,23:43.3,8707.923
65,03:30.9,29:59.1,8788.206
66,08:30.4,36:08.5,8858.027
67,13:34.0,42:11.4,8917.362
68,18:41.9,48:08.1,8966.202
69,23:54.2,53:58.7,9004.536
70,29:11.2,59:43.5,9032.361
71,34:33.0,05:22.7,9049.674
72,39:59.8,10:56.3,9056.489
73,45:31.9,16:24.7,9052.794
74,51:09.4,21:48.0,9038.592
75,56:52.4,27:06.3,9013.885
76,02:41.3,32:20.0,8978.673
77,08:36.2,37:29.2,8932.965
78,14:37.2,42:34.0,8876.762
79,20:44.6,47:34.6,8810.076
80,26:58.4,52:31.3,8732.931
81,33:18.8,57:24.2,8645.359
82,39:46.0,02:13.4,8547.392
83,46:20.0,06:59.1,8439.11
84,53:00.9,11:41.5,8320.592
85,59:48.7,16:20.7,8191.956
86,06:43.5,20:56.8,8053.333
87,13:45.1,25:30.0,7904.907
88,20:53.4,30:00.3,7746.904
89,28:08.4,34:28.0,7579.58
90,35:29.8,38:53.1,7403.253
91,42:57.4,43:15.7,7218.278
92,50:30.8,47:35.9,7025.089
93,58:09.7,51:53.8,6824.145
94,05:53.6,56:09.6,6615.987
95,13:42.0,00:23.2,6401.203
96,21:34.4,04:34.8,6180.44
97,29:30.1,08:44.5,5954.373
98,37:28.4,12:52.2,5723.742
99,45:28.7,16:58.1,5489.332
100,53:30.2,21:02.1,5251.915
101,01:32.1,25:04.4,5012.311
102,09:33.7,29:05.0,4771.349
103,17:34.1,33:03.9,4529.804
104,25:32.7,37:01.1,4288.463
105,33:28.6,40:56.7,4048.076
106,41:21.2,44:50.5,3809.292
107,49:09.9,48:42.7,3572.726
108,56:54.2,52:33.1,3338.905
109,04:33.5,56:21.7,3108.206
110,12:07.4,00:08.3,2880.91
111,19:35.9,03:53.0,2657.145
112,26:58.6,07:35.4,2436.834
113,34:15.7,11:15.4,2219.686
114,41:27.3,14:52.4,2005.092
115,48:34.1,18:26.1,1792.038
116,55:36.7,21:55.5,1578.869
117,02:36.5,25:19.4,1362.855
118,09:36.1,28:35.4,1139.242
119,16:40.3,31:38.8,898.476
120,24:01.8,34:17.2,615.457
121,33:26.8,34:44.6,77.826
122,05:14.5,14:25.6,551.059
123,07:44.5,21:54.5,849.999
124,10:44.6,29:01.2,1096.626
125,13:58.6,36:01.8,1323.119
126,17:21.3,43:01.9,1540.675
127,20:49.8,50:04.5,1754.692
128,24:22.8,57:11.0,1968.186
129,27:59.4,04:22.3,2182.956
130,31:38.9,11:39.0,2400.143
131,35:20.9,19:01.3,2620.398
132,39:05.3,26:29.4,2844.08
133,42:51.7,34:03.0,3071.271
134,46:40.1,41:42.0,3301.895
135,50:30.2,49:26.0,3535.709
136,54:22.2,57:14.5,3772.304
137,58:15.9,05:07.1,4011.193
138,02:11.2,13:03.0,4251.797
139,06:08.3,21:01.7,4493.42
140,10:07.0,29:02.4,4735.345
141,14:07.4,37:04.2,4976.809
142,18:09.6,45:06.6,5216.989
143,22:13.5,53:08.6,5455.077
144,26:19.2,01:09.5,5690.27
145,30:26.8,09:08.6,5921.749
146,34:36.3,17:05.0,6148.743
147,38:47.7,24:58.2,6370.523
148,43:01.2,32:47.6,6586.375
149,47:16.8,40:32.4,6795.644
150,51:34.6,48:12.3,6997.751
151,55:54.6,55:46.8,7192.152
152,00:17.1,03:15.4,7378.352
153,04:41.9,10:37.9,7555.929
154,09:09.4,17:53.9,7724.521
155,13:39.6,25:03.4,7883.802
156,18:12.5,32:06.0,8033.498
157,22:48.4,39:01.8,8173.394
158,27:27.4,45:50.7,8303.301
159,32:09.5,52:32.6,8423.081
160,36:55.0,59:07.6,8532.608
161,41:43.9,05:35.7,8631.796
162,46:36.5,11:57.1,8720.588
163,51:32.9,18:11.8,8798.934
164,56:33.2,24:20.0,8866.804
165,01:37.7,30:21.9,8924.176
166,06:46.5,36:17.6,8971.038
167,11:59.8,42:07.2,9007.38
168,17:17.8,47:51.0,9033.21
169,22:40.7,53:29.2,9048.524
170,28:08.6,59:02.0,9053.323
171,33:41.8,04:29.4,9047.604
172,39:20.5,09:51.9,9031.375
173,45:04.8,15:09.4,9004.635
174,50:54.9,20:22.3,8967.384
175,56:51.1,25:30.7,8919.63
176,02:53.4,30:34.8,8861.383
177,09:02.1,35:34.8,8792.65
178,15:17.3,40:30.8,8713.454
179,21:39.2,45:23.0,8623.836
180,28:07.8,50:11.6,8523.849
181,34:43.2,54:56.7,8413.551
182,41:25.5,59:38.6,8293.045
183,48:14.7,04:17.2,8162.436
184,55:10.9,08:52.8,8021.889
185,02:13.9,13:25.4,7871.587
186,09:23.6,17:55.3,7711.759
187,16:39.9,22:22.5,7542.685
188,24:02.5,26:47.2,7364.677
189,31:31.3,31:09.4,7178.12
190,39:05.8,35:29.2,6983.444
191,46:45.6,39:46.8,6781.141
192,54:30.4,44:02.2,6571.747
193,02:19.6,48:15.4,6355.871
194,10:12.5,52:26.7,6134.162
195,18:08.7,56:36.0,5907.307
196,26:07.3,00:43.4,5676.071
197,34:07.8,04:49.0,5441.221
198,42:09.2,08:52.7,5203.544
199,50:10.9,12:54.8,4963.871
200,58:12.1,16:55.1,4723.008
201,06:12.0,20:53.7,4481.739
202,14:09.8,24:50.7,4240.848
203,22:04.9,28:45.9,4001.053
204,29:56.5,32:39.5,3763.016
205,37:44.1,36:31.4,3527.324
206,45:27.1,40:21.5,3294.469
207,53:05.0,44:09.9,3064.829
208,00:37.6,47:56.3,2838.651
209,08:04.6,51:40.6,2616.021
210,15:25.9,55:22.7,2396.842
211,22:41.5,59:02.3,2180.769
212,29:51.8,02:38.9,1967.14
213,36:57.2,06:12.0,1754.869
214,43:58.6,09:40.8,1542.163
215,50:57.6,13:03.7,1326.102
216,57:56.9,16:18.3,1101.453
217,05:01.8,19:19.3,857.48
218,12:27.7,21:51.7,564.007
219,52:23.8,53:20.6,56.784
220,52:42.1,02:55.0,612.89
221,55:20.4,10:17.0,896.618
222,58:23.8,17:21.6,1137.781
223,01:39.9,24:21.6,1361.722
224,05:03.8,31:21.9,1578.03
225,08:33.4,38:24.9,1791.511
226,12:07.1,45:32.0,2004.886
227,15:44.3,52:44.2,2219.827
228,19:24.4,00:01.7,2437.335
229,23:07.0,07:25.0,2658.025
230,26:51.8,14:54.0,2882.187
231,30:38.6,22:28.5,3109.885
232,34:27.4,30:08.4,3340.997
233,38:18.0,37:53.2,3575.246
234,42:10.3,45:42.5,3812.226
235,46:04.3,53:35.7,4051.417
236,50:00.0,01:32.3,4292.212
237,53:57.5,09:31.4,4533.928
