"Access","Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
1,2017:03:01:12:49:28.996,2017:03:01:17:27:42.642,16693.646
2,2017:03:01:20:20:27.035,2017:03:02:00:54:24.772,16437.737
3,2017:03:02:03:51:58.934,2017:03:02:08:20:56.980,16138.047
4,2017:03:02:11:24:05.379,2017:03:02:15:47:21.048,15795.669
5,2017:03:02:18:56:49.525,2017:03:02:23:13:34.703,15405.178
6,2017:03:03:02:30:12.946,2017:03:03:06:39:42.205,14969.259
7,2017:03:03:10:04:16.544,2017:03:03:14:05:41.807,14485.263
8,2017:03:03:17:39:00.080,2017:03:03:21:31:33.658,13953.578
9,2017:03:04:01:14:22.596,2017:03:04:04:57:21.006,13378.409
10,2017:03:04:08:50:23.845,2017:03:04:12:23:02.051,12758.206
11,2017:03:04:16:27:00.966,2017:03:04:19:48:37.134,12096.168
12,2017:03:05:00:04:07.574,2017:03:05:03:14:07.408,11399.834
13,2017:03:05:07:41:38.723,2017:03:05:10:39:34.100,10675.377
14,2017:03:05:15:19:27.920,2017:03:05:18:04:55.919,9927.998
15,2017:03:05:22:57:26.011,2017:03:06:01:30:12.631,9166.620
16,2017:03:06:06:35:24.985,2017:03:06:08:55:26.272,8401.287
17,2017:03:06:14:13:13.505,2017:03:06:16:20:36.203,7642.698
18,2017:03:06:21:50:43.246,2017:03:06:23:45:42.915,6899.669
19,2017:03:07:05:27:46.107,2017:03:07:07:10:45.737,6179.630
20,2017:03:07:13:04:14.943,2017:03:07:14:35:44.950,5490.006
21,2017:03:07:20:40:04.146,2017:03:07:22:00:39.330,4835.184
22,2017:03:08:04:15:11.164,2017:03:08:05:25:30.915,4219.750
23,2017:03:08:11:49:31.778,2017:03:08:12:50:18.272,3646.494
24,2017:03:08:19:23:08.602,2017:03:08:20:15:00.826,3112.224
25,2017:03:09:02:56:02.676,2017:03:09:03:39:36.922,2614.245
26,2017:03:09:10:28:16.955,2017:03:09:11:04:05.885,2148.930
27,2017:03:09:17:59:58.301,2017:03:09:18:28:23.803,1705.502
28,2017:03:10:01:31:17.868,2017:03:10:01:52:24.788,1266.920
29,2017:03:10:09:02:40.092,2017:03:10:09:15:46.101,786.009
30,2017:03:16:13:51:57.701,2017:03:16:13:59:24.422,446.721
31,2017:03:16:21:14:22.206,2017:03:16:21:31:25.755,1023.550
32,2017:03:17:04:38:06.601,2017:03:17:05:02:41.486,1474.885
33,2017:03:17:12:02:15.890,2017:03:17:12:34:09.933,1914.043
34,2017:03:17:19:26:40.189,2017:03:17:20:06:07.352,2367.164
35,2017:03:18:02:51:12.716,2017:03:18:03:38:40.470,2847.753
36,2017:03:18:10:15:52.184,2017:03:18:11:11:54.915,3362.731
37,2017:03:18:17:40:36.955,2017:03:18:18:45:52.707,3915.753
38,2017:03:19:01:05:26.364,2017:03:19:02:20:36.846,4510.482
39,2017:03:19:08:30:19.792,2017:03:19:09:56:04.349,5144.557
40,2017:03:19:15:55:16.166,2017:03:19:17:32:13.813,5817.647
41,2017:03:19:23:20:16.864,2017:03:20:01:09:00.524,6523.660
42,2017:03:20:06:45:21.399,2017:03:20:08:46:17.963,7256.564
43,2017:03:20:14:10:29.906,2017:03:20:16:23:58.344,8008.438
44,2017:03:20:21:35:41.604,2017:03:21:00:01:54.053,8772.449
45,2017:03:21:05:00:56.895,2017:03:21:07:39:53.642,9536.748
46,2017:03:21:12:26:15.718,2017:03:21:15:17:48.833,10293.116
47,2017:03:21:19:51:39.575,2017:03:21:22:55:30.972,11031.397
48,2017:03:22:03:17:08.450,2017:03:22:06:32:51.199,11742.749
49,2017:03:22:10:42:41.026,2017:03:22:14:09:43.783,12422.757
50,2017:03:22:18:08:18.594,2017:03:22:21:46:04.048,13065.454
51,2017:03:23:01:34:02.300,2017:03:23:05:21:47.174,13664.874
52,2017:03:23:08:59:52.518,2017:03:23:12:56:51.381,14218.863
53,2017:03:23:16:25:47.474,2017:03:23:20:31:15.896,14728.421
54,2017:03:23:23:51:50.443,2017:03:24:04:04:59.594,15189.151
55,2017:03:24:07:18:01.551,2017:03:24:11:38:02.758,15601.207
56,2017:03:24:14:44:19.211,2017:03:24:19:10:29.496,15970.285
57,2017:03:24:22:10:47.573,2017:03:25:02:42:18.828,16291.255
58,2017:03:25:05:37:24.188,2017:03:25:10:13:33.204,16569.016
59,2017:03:25:13:04:11.764,2017:03:25:17:44:15.392,16803.628
60,2017:03:25:20:31:11.392,2017:03:26:01:14:27.680,16996.289
61,2017:03:26:03:58:24.090,2017:03:26:08:44:12.482,17148.392
62,2017:03:26:11:25:49.157,2017:03:26:16:13:31.859,17262.702
63,2017:03:26:18:53:31.273,2017:03:26:23:42:27.892,17336.619
64,2017:03:27:02:21:28.299,2017:03:27:07:11:01.745,17373.447
65,2017:03:27:09:49:44.333,2017:03:27:14:39:15.037,17370.704
66,2017:03:27:17:18:20.864,2017:03:27:22:07:11.744,17330.880
67,2017:03:28:00:47:18.967,2017:03:28:05:34:51.530,17252.562
68,2017:03:28:08:16:40.574,2017:03:28:13:02:15.502,17134.928
69,2017:03:28:15:46:27.944,2017:03:28:20:29:26.795,16978.851
70,2017:03:28:23:16:43.318,2017:03:29:03:56:24.277,16780.959
71,2017:03:29:06:47:28.883,2017:03:29:11:23:11.578,16542.696
