Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:03:09:47:03.146,2008:07:03:16:53:36.674,25593.528
2008:07:05:23:30:51.545,2008:07:06:00:10:26.834,2375.29
2008:07:10:14:53:31.357,2008:07:10:15:05:12.847,701.49
2008:07:12:22:07:40.074,2008:07:13:00:06:15.383,7115.308
2008:07:15:05:25:42.024,2008:07:16:08:03:06.989,95844.965
2008:07:17:12:46:35.817,2008:07:19:14:56:29.189,180593.372
2008:07:19:20:13:02.828,2008:07:22:00:49:49.043,189406.215
2008:07:22:03:53:04.890,2008:07:24:08:50:59.810,190674.92
2008:07:24:12:17:28.586,2008:07:26:16:24:55.262,187646.676
2008:07:27:01:00:23.757,2008:07:28:23:49:06.190,168522.433
2008:07:31:01:57:06.078,2008:07:31:07:08:49.521,18703.443
2008:08:02:13:54:47.994,2008:08:02:14:25:11.226,1823.232
2008:08:07:05:07:30.780,2008:08:07:05:25:45.253,1094.473
2008:08:09:12:22:41.717,2008:08:09:14:50:08.273,8846.556
2008:08:11:19:40:59.726,2008:08:13:05:26:27.728,121528.002
2008:08:14:03:02:19.545,2008:08:16:05:42:27.165,182407.619
2008:08:16:10:29:43.495,2008:08:18:15:12:20.255,189756.76
2008:08:18:18:12:21.559,2008:08:20:23:08:43.385,190581.826
2008:08:21:02:46:57.516,2008:08:23:06:41:05.916,186848.4
2008:08:23:17:00:30.826,2008:08:25:14:04:37.917,162247.091
2008:08:27:17:30:18.096,2008:08:27:21:24:00.505,14022.409
2008:08:30:04:17:19.273,2008:08:30:04:39:45.863,1346.59
2008:09:03:19:21:55.914,2008:09:03:19:46:37.247,1481.333
2008:09:06:02:37:45.215,2008:09:06:05:42:40.005,11094.79
2008:09:08:09:56:19.644,2008:09:10:00:41:56.417,139536.773
2008:09:10:17:18:07.602,2008:09:12:20:23:11.196,183903.593
2008:09:13:00:46:34.530,2008:09:15:05:33:59.225,190044.696
2008:09:15:08:32:10.541,2008:09:17:13:26:11.956,190441.415
2008:09:17:17:19:05.124,2008:09:19:20:57:10.785,185885.661
2008:09:20:09:44:02.640,2008:09:22:04:20:06.915,153364.275
2008:09:24:08:40:37.807,2008:09:24:11:39:09.635,10711.828
2008:09:26:18:38:56.810,2008:09:26:18:54:01.708,904.898
2008:10:01:09:36:33.176,2008:10:01:10:08:14.712,1901.536
2008:10:03:16:52:50.532,2008:10:03:20:47:21.582,14071.05
2008:10:06:00:11:41.966,2008:10:07:18:20:49.500,151747.533
2008:10:08:07:34:00.451,2008:10:10:10:59:48.055,185147.604
2008:10:10:15:03:37.285,2008:10:12:19:54:53.670,190276.385
2008:10:12:22:52:37.358,2008:10:15:03:43:27.267,190249.909
2008:10:15:07:54:32.344,2008:10:17:11:13:10.431,184718.087
2008:10:18:03:41:58.609,2008:10:19:18:35:33.400,140014.791
2008:10:21:23:35:58.312,2008:10:22:01:54:16.876,8298.565
2008:10:24:09:00:37.984,2008:10:24:09:07:18.169,400.185
2008:10:28:23:51:17.775,2008:10:29:00:30:58.142,2380.367
2008:10:31:07:07:57.689,2008:10:31:12:09:38.369,18100.68
2008:11:02:14:27:06.915,2008:11:04:10:59:36.641,160349.727
2008:11:04:21:49:58.618,2008:11:07:01:33:07.181,186188.563
2008:11:07:05:20:53.335,2008:11:09:10:15:09.812,190456.477
2008:11:09:13:13:48.714,2008:11:11:18:00:30.759,190002.045
2008:11:11:22:34:14.017,2008:11:14:01:29:05.326,183291.309
2008:11:14:23:56:50.846,2008:11:16:08:50:57.548,118446.702
2008:11:18:14:21:05.623,2008:11:18:16:09:22.133,6496.51
2008:11:25:14:06:07.429,2008:11:25:14:55:10.044,2942.615
2008:11:27:21:23:06.723,2008:11:28:03:58:13.906,23707.183
2008:11:30:04:42:34.707,2008:12:02:03:00:06.639,166651.931
2008:12:02:12:06:02.654,2008:12:04:16:03:45.655,187063.001
2008:12:04:19:38:24.415,2008:12:07:00:34:52.618,190588.203
2008:12:07:03:35:52.587,2008:12:09:08:17:23.587,189691
2008:12:09:13:19:24.214,2008:12:11:15:44:55.836,181531.621
2008:12:12:23:22:39.185,2008:12:13:23:06:19.486,85420.3
2008:12:16:04:59:01.827,2008:12:16:06:24:25.235,5123.408
2008:12:23:04:21:00.844,2008:12:23:05:21:18.052,3617.208
2008:12:25:11:38:17.634,2008:12:25:20:27:55.295,31777.66
2008:12:27:18:58:05.525,2008:12:29:18:34:58.777,171413.252
2008:12:30:02:22:13.096,2009:01:01:06:32:10.761,187798.665
2009:01:01:09:56:11.384,2009:01:03:14:54:05.062,190673.678
2009:01:03:17:58:57.394,2009:01:05:22:34:05.657,189308.263
2009:01:06:04:11:43.526,2009:01:08:06:00:41.234,179337.708
2009:01:09:22:03:05.452,2009:01:10:13:21:38.289,55112.837
2009:01:12:19:31:46.601,2009:01:12:20:39:24.885,4058.284
2009:01:19:18:35:56.191,2009:01:19:19:49:56.687,4440.496
2009:01:22:01:53:29.408,2009:01:22:14:04:57.537,43888.129
2009:01:24:09:13:38.517,2009:01:26:09:51:54.837,175096.32
2009:01:26:16:38:29.463,2009:01:28:20:58:46.673,188417.211
2009:01:29:00:14:18.260,2009:01:31:05:12:52.492,190714.232
2009:01:31:08:23:16.353,2009:02:02:12:50:39.743,188843.39
2009:02:02:19:13:37.133,2009:02:04:20:16:23.725,176566.591
2009:02:06:17:20:51.534,2009:02:07:03:36:55.986,36964.452
2009:02:09:10:00:44.897,2009:02:09:10:54:22.615,3217.717
2009:02:16:08:50:54.921,2009:02:16:10:21:54.917,5459.996
2009:02:18:16:08:44.022,2009:02:19:09:33:33.436,62689.414
2009:02:20:23:29:15.820,2009:02:23:00:55:54.874,177999.054
2009:02:23:06:54:54.313,2009:02:25:11:23:50.312,188935.999
2009:02:25:14:32:46.355,2009:02:27:19:31:16.832,190710.477
2009:02:27:22:49:02.259,2009:03:02:03:07:05.564,188283.305
2009:03:02:10:28:34.213,2009:03:04:10:32:02.518,173008.305
2009:03:06:10:36:59.138,2009:03:06:17:52:11.604,26112.466
2009:03:09:00:26:54.838,2009:03:09:01:09:16.689,2541.851
2009:03:13:15:51:39.659,2009:03:13:16:02:37.603,657.944
2009:03:15:23:05:55.684,2009:03:16:00:58:15.509,6739.825
2009:03:18:06:24:00.514,2009:03:19:07:19:58.388,89757.874
2009:03:20:13:44:56.638,2009:03:22:15:50:19.020,180322.382
2009:03:22:21:11:27.334,2009:03:25:01:47:36.508,189369.175
2009:03:25:04:51:38.466,2009:03:27:09:49:20.792,190662.326
2009:03:27:13:16:32.672,2009:03:29:17:23:23.856,187611.184
2009:03:30:02:01:59.482,2009:04:01:00:47:37.857,168338.375
2009:04:03:02:48:25.864,2009:04:03:08:07:25.183,19139.318
2009:04:05:14:51:00.084,2009:04:05:15:24:05.891,1985.807
2009:04:10:06:05:41.175,2009:04:10:06:22:58.302,1037.127
2009:04:12:13:20:58.283,2009:04:12:15:40:27.541,8369.258
2009:04:14:20:39:18.977,2009:04:16:05:12:13.685,117174.708
2009:04:17:04:00:41.269,2009:04:19:06:37:27.728,182206.459
2009:04:19:11:28:09.422,2009:04:21:16:10:17.593,189728.171
2009:04:21:19:10:58.131,2009:04:24:00:07:06.830,190568.699
2009:04:24:03:46:10.571,2009:04:26:07:39:35.359,186804.788
2009:04:26:18:02:45.663,2009:04:28:15:03:10.024,162024.361
2009:04:30:18:22:35.875,2009:04:30:22:22:36.796,14400.921
2009:05:03:05:13:34.206,2009:05:03:05:38:47.969,1513.763
2009:05:07:20:20:08.315,2009:05:07:20:43:35.145,1406.83
2009:05:10:03:36:02.634,2009:05:10:06:30:39.219,10476.584
2009:05:12:10:54:39.574,2009:05:14:00:55:24.931,136845.358
2009:05:14:18:16:30.108,2009:05:16:21:19:01.382,183751.274
2009:05:17:01:45:01.698,2009:05:19:06:32:03.716,190022.018
2009:05:19:09:30:49.779,2009:05:21:14:24:37.121,190427.342
2009:05:21:18:18:26.257,2009:05:23:21:55:40.770,185834.513
2009:05:24:10:46:31.158,2009:05:26:05:18:39.296,153128.138
2009:05:28:09:33:39.264,2009:05:28:12:37:46.506,11047.241
2009:05:30:19:35:05.316,2009:05:30:19:53:18.115,1092.799
2009:06:04:10:34:47.276,2009:06:04:11:04:53.183,1805.908
2009:06:06:17:51:08.706,2009:06:06:21:32:00.608,13251.903
2009:06:09:01:10:02.480,2009:06:10:18:50:24.425,150021.945
2009:06:11:08:32:23.613,2009:06:13:11:56:12.947,185029.335
2009:06:13:16:02:05.485,2009:06:15:20:53:03.140,190257.655
2009:06:15:23:51:18.785,2009:06:18:04:41:53.508,190234.723
2009:06:18:08:53:59.726,2009:06:20:12:11:40.694,184660.969
2009:06:21:04:43:10.168,2009:06:22:19:34:05.925,139855.757
2009:06:25:00:29:35.025,2009:06:25:02:52:54.348,8599.323
2009:06:27:09:56:04.912,2009:06:27:10:07:22.244,677.332
2009:07:02:00:49:33.232,2009:07:02:01:27:11.706,2258.474
2009:07:04:08:06:16.482,2009:07:04:12:49:23.175,16986.693
2009:07:06:15:25:27.889,2009:07:08:11:38:23.911,159176.022
2009:07:08:22:48:22.267,2009:07:11:02:29:56.319,186094.052
2009:07:11:06:19:22.262,2009:07:13:11:13:22.552,190440.289
2009:07:13:14:12:31.593,2009:07:15:18:58:57.544,189985.951
2009:07:15:23:33:44.102,2009:07:18:02:27:35.640,183231.538
2009:07:19:00:51:24.042,2009:07:20:09:49:30.114,118686.072
2009:07:22:15:15:11.891,2009:07:22:17:08:00.293,6768.403
2009:07:29:15:04:23.904,2009:07:29:15:50:51.767,2787.863
2009:07:31:22:21:25.975,2009:08:01:04:30:33.367,22147.391
2009:08:03:05:40:55.990,2009:08:05:03:44:28.982,165812.993
2009:08:05:13:04:26.584,2009:08:07:17:00:52.080,186985.496
2009:08:07:20:36:53.699,2009:08:10:01:33:07.445,190573.746
2009:08:10:04:34:35.928,2009:08:12:09:15:50.525,189674.597
2009:08:12:14:18:51.082,2009:08:14:16:43:26.017,181474.936
2009:08:16:00:00:29.869,2009:08:17:00:04:52.016,86662.147
2009:08:19:05:53:33.397,2009:08:19:07:23:04.241,5370.845
2009:08:26:05:19:18.066,2009:08:26:06:16:19.230,3421.164
2009:08:28:12:36:37.212,2009:08:28:20:48:38.887,29521.674
2009:08:30:19:56:26.990,2009:09:01:19:22:59.896,170792.906
2009:09:02:03:20:37.147,2009:09:04:07:29:31.424,187734.277
2009:09:04:10:54:41.712,2009:09:06:15:52:22.415,190660.703
2009:09:06:18:57:41.216,2009:09:08:23:32:33.588,189292.372
2009:09:09:05:11:00.014,2009:09:11:06:59:12.207,179292.193
2009:09:12:22:35:44.406,2009:09:13:14:20:11.756,56667.35
2009:09:15:20:26:41.447,2009:09:15:21:38:05.989,4284.541
2009:09:22:19:34:15.013,2009:09:22:20:44:07.564,4192.552
2009:09:25:02:51:50.265,2009:09:25:14:07:08.278,40518.013
2009:09:27:10:12:01.138,2009:09:29:10:42:31.504,174630.366
2009:09:29:17:36:54.631,2009:10:01:21:56:18.756,188364.125
2009:10:02:01:12:48.614,2009:10:04:06:11:11.367,190702.753
2009:10:04:09:21:59.261,2009:10:06:13:49:07.766,188828.505
2009:10:06:20:12:33.287,2009:10:08:21:14:54.565,176541.278
2009:10:10:17:57:58.103,2009:10:11:04:35:29.464,38251.36
2009:10:13:10:55:59.998,2009:10:13:11:53:05.224,3425.226
2009:10:20:09:49:14.339,2009:10:20:11:15:01.534,5147.195
2009:10:22:17:07:05.250,2009:10:23:09:07:58.177,57652.927
2009:10:25:00:27:38.752,2009:10:27:01:48:28.610,177649.858
2009:10:27:07:53:19.848,2009:10:29:12:21:33.340,188893.492
2009:10:29:15:31:17.200,2009:10:31:20:29:37.654,190700.454
