"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:10:00:00.000,2008:07:03:16:15:35.938,195335.938
2008:07:03:17:02:00.929,2008:07:05:23:28:53.177,196012.248
2008:07:06:00:14:11.511,2008:07:08:06:42:05.371,196073.860
2008:07:08:07:26:20.066,2008:07:10:13:55:13.248,196133.182
2008:07:10:14:38:26.981,2008:07:12:21:08:17.025,196190.044
2008:07:12:21:50:32.409,2008:07:15:04:21:16.647,196244.237
2008:07:15:05:02:36.375,2008:07:17:11:34:11.936,196295.561
2008:07:17:12:14:38.824,2008:07:19:18:47:02.628,196343.804
2008:07:19:19:26:39.664,2008:07:22:01:59:48.459,196388.794
2008:07:22:02:38:38.774,2008:07:24:09:12:29.260,196430.486
2008:07:24:09:50:36.057,2008:07:26:16:25:05.045,196468.988
2008:07:26:17:02:31.502,2008:07:28:23:37:36.140,196504.637
2008:07:29:00:14:25.236,2008:07:31:06:50:03.222,196537.986
2008:07:31:07:26:17.586,2008:08:02:14:02:27.191,196569.605
2008:08:02:14:38:09.012,2008:08:04:21:14:48.906,196599.894
2008:08:04:21:49:59.982,2008:08:07:04:27:08.941,196628.960
2008:08:07:05:01:50.827,2008:08:09:11:39:27.576,196656.749
2008:08:09:12:13:41.738,2008:08:11:18:51:44.866,196683.128
2008:08:11:19:25:32.778,2008:08:14:02:04:00.728,196707.950
2008:08:14:02:37:23.931,2008:08:16:09:16:14.991,196731.059
2008:08:16:09:49:15.100,2008:08:16:20:52:25.722,39790.622
2008:08:17:02:23:02.537,2008:08:18:16:28:27.383,137124.846
2008:08:18:17:01:06.130,2008:08:20:23:40:37.620,196771.491
2008:08:21:00:12:56.812,2008:08:23:06:52:45.483,196788.671
2008:08:23:07:24:46.963,2008:08:25:14:04:50.936,196803.973
2008:08:25:14:36:36.500,2008:08:27:21:16:54.184,196817.684
2008:08:27:21:48:25.504,2008:08:30:04:28:55.640,196830.135
2008:08:30:05:00:14.230,2008:09:01:11:40:55.830,196841.600
2008:09:01:12:12:03.036,2008:09:03:18:52:55.204,196852.168
2008:09:03:19:23:52.271,2008:09:06:02:04:54.079,196861.808
2008:09:06:02:35:42.204,2008:09:08:09:16:52.604,196870.400
2008:09:08:09:47:32.994,2008:09:10:16:28:50.824,196877.830
