Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:03:14:34:12.266,2008:07:03:14:36:39.471,147.205
2008:07:03:16:11:57.214,2008:07:03:16:13:14.608,77.394
2008:07:05:21:54:51.528,2008:07:05:21:57:05.713,134.185
2008:07:05:23:28:07.014,2008:07:05:23:29:16.606,69.592
2008:07:08:05:14:46.986,2008:07:08:05:16:49.420,122.434
2008:07:08:06:43:50.037,2008:07:08:06:44:52.722,62.685
2008:07:10:12:34:04.513,2008:07:10:12:35:56.331,111.818
2008:07:10:13:59:10.122,2008:07:10:14:00:06.677,56.555
2008:07:12:19:52:47.332,2008:07:12:19:54:29.575,102.242
2008:07:12:21:14:09.614,2008:07:12:21:15:00.740,51.126
2008:07:15:03:10:57.373,2008:07:15:03:12:31.013,93.64
2008:07:15:04:28:50.125,2008:07:15:04:29:36.455,46.33
2008:07:17:10:28:35.983,2008:07:17:10:30:01.930,85.947
2008:07:17:11:43:12.901,2008:07:17:11:43:55.020,42.119
2008:07:19:17:45:44.242,2008:07:19:17:47:03.341,79.098
2008:07:19:18:57:19.000,2008:07:19:18:57:57.423,38.423
2008:07:22:01:02:23.213,2008:07:22:01:03:36.239,73.026
2008:07:22:02:11:09.392,2008:07:22:02:11:44.591,35.198
2008:07:24:08:18:34.241,2008:07:24:08:19:41.894,67.652
2008:07:24:09:24:45.143,2008:07:24:09:25:17.529,32.387
2008:07:26:15:34:19.245,2008:07:26:15:35:22.135,62.89
2008:07:26:16:38:07.508,2008:07:26:16:38:37.436,29.928
2008:07:28:22:49:40.933,2008:07:28:22:50:39.578,58.645
2008:07:28:23:51:18.069,2008:07:28:23:51:45.839,27.77
2008:07:31:06:04:42.810,2008:07:31:06:05:37.621,54.811
2008:07:31:07:04:18.712,2008:07:31:07:04:44.557,25.845
2008:08:02:13:19:28.733,2008:08:02:13:20:20.041,51.308
2008:08:02:14:17:11.429,2008:08:02:14:17:35.542,24.113
2008:08:04:20:34:02.051,2008:08:04:20:34:50.114,48.063
2008:08:04:21:29:57.922,2008:08:04:21:30:20.452,22.531
2008:08:07:03:48:25.014,2008:08:07:03:49:10.065,45.051
2008:08:07:04:42:39.345,2008:08:07:04:43:00.428,21.083
2008:08:09:11:02:38.838,2008:08:09:11:03:21.092,42.254
2008:08:09:11:55:16.365,2008:08:09:11:55:36.115,19.75
2008:08:11:18:16:44.076,2008:08:11:18:17:23.740,39.664
2008:08:11:19:07:49.314,2008:08:11:19:08:07.860,18.546
2008:08:14:01:30:40.899,2008:08:14:01:31:18.178,37.279
2008:08:14:02:20:18.362,2008:08:14:02:20:35.808,17.447
2008:08:16:08:44:29.231,2008:08:16:08:45:04.327,35.096
2008:08:16:09:32:43.544,2008:08:16:09:33:00.005,16.461
2008:08:17:03:19:30.211,2008:08:17:07:35:18.051,15347.84
2008:08:18:15:58:08.831,2008:08:18:15:58:41.944,33.113
2008:08:18:16:45:04.820,2008:08:18:16:45:20.399,15.578
2008:08:20:23:11:39.440,2008:08:20:23:12:10.754,31.314
2008:08:20:23:57:22.115,2008:08:20:23:57:36.918,14.803
2008:08:23:06:25:01.014,2008:08:23:06:25:30.706,29.692
2008:08:23:07:09:35.455,2008:08:23:07:09:49.578,14.123
2008:08:25:13:38:13.922,2008:08:25:13:38:42.145,28.223
2008:08:25:14:21:45.058,2008:08:25:14:21:58.574,13.516
2008:08:27:20:51:19.050,2008:08:27:20:51:45.931,26.881
2008:08:27:21:33:51.352,2008:08:27:21:34:04.333,12.982
2008:08:30:04:04:17.671,2008:08:30:04:04:43.305,25.634
2008:08:30:04:45:54.973,2008:08:30:04:46:07.470,12.497
2008:09:01:11:17:11.156,2008:09:01:11:17:35.621,24.465
2008:09:01:11:57:56.602,2008:09:01:11:58:08.656,12.055
2008:09:03:18:30:00.657,2008:09:03:18:30:24.019,23.362
2008:09:03:19:09:56.825,2008:09:03:19:10:08.474,11.648
2008:09:06:01:42:46.928,2008:09:06:01:43:09.240,22.312
2008:09:06:02:21:56.038,2008:09:06:02:22:07.314,11.276
2008:09:08:08:55:30.364,2008:09:08:08:55:51.683,21.319
2008:09:08:09:33:54.485,2008:09:08:09:34:05.421,10.937
2008:09:10:16:08:11.115,2008:09:10:16:08:31.507,20.392
2008:09:10:16:45:52.275,2008:09:10:16:46:02.906,10.632
2008:09:12:23:20:49.147,2008:09:12:23:21:08.665,19.519
2008:09:12:23:57:49.421,2008:09:12:23:57:59.782,10.361
2008:09:15:06:33:24.234,2008:09:15:06:33:42.946,18.712
2008:09:15:07:09:45.836,2008:09:15:07:09:55.961,10.125
2008:09:17:13:45:56.020,2008:09:17:13:46:13.992,17.972
2008:09:17:14:21:41.331,2008:09:17:14:21:51.259,9.928
2008:09:19:20:58:24.142,2008:09:19:20:58:41.439,17.297
2008:09:19:21:33:35.700,2008:09:19:21:33:45.464,9.763
2008:09:22:04:10:48.421,2008:09:22:04:11:05.102,16.682
2008:09:22:04:45:28.815,2008:09:22:04:45:38.444,9.629
2008:09:24:11:23:08.989,2008:09:24:11:23:25.106,16.117
2008:09:24:11:57:20.703,2008:09:24:11:57:30.221,9.518
2008:09:26:18:35:26.295,2008:09:26:18:35:41.888,15.593
2008:09:26:19:09:11.583,2008:09:26:19:09:21.010,9.427
2008:09:29:01:47:40.956,2008:09:29:01:47:56.053,15.098
