Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:10:14:28.741,2008:07:03:16:55:58.353,196889.611
2008:07:03:17:26:20.007,2008:07:06:00:07:49.775,196889.768
2008:07:06:00:38:11.953,2008:07:08:07:19:41.091,196889.138
2008:07:08:07:50:04.982,2008:07:10:14:31:32.483,196887.501
2008:07:10:15:01:59.331,2008:07:12:21:43:23.987,196884.655
2008:07:12:22:13:55.097,2008:07:15:04:55:15.542,196880.445
2008:07:15:05:25:52.277,2008:07:17:12:07:07.025,196874.748
2008:07:17:12:37:50.784,2008:07:19:19:18:58.279,196867.495
2008:07:19:19:49:50.457,2008:07:22:02:30:49.099,196858.642
2008:07:22:03:01:51.060,2008:07:24:09:42:39.315,196848.255
2008:07:24:10:13:52.352,2008:07:26:16:54:28.800,196836.448
2008:07:26:17:25:54.141,2008:07:29:00:06:17.579,196823.439
2008:07:29:00:37:56.397,2008:07:31:07:18:05.858,196809.461
2008:07:31:07:49:59.339,2008:08:02:14:29:53.984,196794.645
2008:08:02:15:02:03.458,2008:08:04:21:41:42.363,196778.905
2008:08:04:22:14:09.339,2008:08:07:04:53:31.288,196761.949
2008:08:07:05:26:17.483,2008:08:09:12:05:20.948,196743.465
2008:08:09:12:38:28.237,2008:08:11:19:17:11.409,196723.171
2008:08:11:19:50:41.819,2008:08:14:02:29:02.681,196700.863
2008:08:14:03:02:58.311,2008:08:16:09:40:54.692,196676.381
2008:08:16:10:15:17.670,2008:08:16:14:39:30.887,15853.218
2008:08:16:18:03:38.989,2008:08:18:16:52:47.298,168548.31
2008:08:18:17:27:39.706,2008:08:21:00:04:40.304,196620.598
2008:08:21:00:40:04.084,2008:08:23:07:16:33.526,196589.441
2008:08:23:07:52:30.455,2008:08:25:14:28:26.885,196556.43
2008:08:25:15:04:58.619,2008:08:27:21:40:20.474,196521.856
2008:08:27:22:17:28.695,2008:08:30:04:52:14.613,196485.918
2008:08:30:05:30:01.223,2008:09:01:12:04:09.756,196448.533
2008:09:01:12:42:37.051,2008:09:03:19:16:06.398,196409.347
2008:09:03:19:55:17.145,2008:09:06:02:28:04.958,196367.814
2008:09:06:03:08:02.383,2008:09:08:09:40:05.800,196323.417
2008:09:08:10:20:53.515,2008:09:10:16:52:09.198,196275.682
2008:09:10:17:33:51.131,2008:09:13:00:04:15.348,196224.217
2008:09:13:00:46:55.653,2008:09:15:07:16:24.333,196168.68
2008:09:15:08:00:07.238,2008:09:17:14:28:36.079,196108.84
2008:09:17:15:13:25.671,2008:09:19:21:40:50.405,196044.734
2008:09:19:22:26:50.479,2008:09:22:04:53:07.169,195976.69
2008:09:22:05:40:21.234,2008:09:24:12:05:26.445,195905.211
2008:09:24:12:53:57.955,2008:09:26:19:17:48.623,195830.668
2008:09:26:20:07:41.358,2008:09:29:02:30:14.440,195753.082
2008:09:29:03:21:32.891,2008:10:01:09:42:44.865,195671.974
2008:10:01:10:35:34.531,2008:10:03:16:55:21.004,195586.473
2008:10:03:17:49:48.526,2008:10:06:00:08:04.017,195495.491
2008:10:06:01:04:17.189,2008:10:08:07:20:55.076,195397.887
2008:10:08:08:19:02.830,2008:10:10:14:33:55.357,195292.526
2008:10:10:15:34:07.682,2008:10:12:21:47:05.944,195178.262
2008:10:12:22:49:33.702,2008:10:15:05:00:27.661,195053.959
2008:10:15:06:05:22.159,2008:10:17:12:14:00.917,194918.758
2008:10:17:13:21:33.367,2008:10:19:19:27:45.903,194772.536
2008:10:19:20:38:07.118,2008:10:22:02:41:43.081,194615.963
2008:10:22:03:55:03.755,2008:10:24:09:55:53.655,194449.9
2008:10:24:11:12:25.113,2008:10:26:17:10:19.768,194274.656
2008:10:26:18:30:14.875,2008:10:29:00:25:04.571,194089.696
2008:10:29:01:48:38.569,2008:10:31:07:40:12.201,193893.631
2008:10:31:09:07:43.404,2008:11:02:14:55:47.729,193684.325
2008:11:02:16:27:38.021,2008:11:04:22:11:57.193,193459.172
2008:11:04:23:48:32.377,2008:11:07:05:28:47.643,193215.267
2008:11:07:07:10:37.682,2008:11:09:12:46:27.132,192949.45
2008:11:09:14:34:06.161,2008:11:11:20:05:04.229,192658.069
2008:11:11:21:59:09.924,2008:11:14:03:24:47.015,192337.091
2008:11:14:05:25:59.055,2008:11:16:10:45:42.453,191983.398
2008:11:16:12:54:40.742,2008:11:18:18:07:57.574,191596.831
2008:11:18:20:25:21.855,2008:11:21:01:31:41.900,191180.045
2008:11:21:03:58:13.223,2008:11:23:08:57:09.315,190736.093
2008:11:23:11:33:32.377,2008:11:25:16:24:39.212,190266.835
2008:11:25:19:11:44.671,2008:11:27:23:54:37.637,189772.966
2008:11:28:02:53:24.232,2008:11:30:07:27:38.580,189254.348
2008:11:30:10:39:14.892,2008:12:02:15:04:25.316,188710.424
2008:12:02:18:30:10.915,2008:12:04:22:45:51.697,188140.782
2008:12:05:02:27:17.363,2008:12:07:06:33:02.861,187545.498
2008:12:07:10:31:49.246,2008:12:09:14:27:13.347,186924.101
2008:12:09:18:45:06.507,2008:12:11:22:29:38.947,186272.44
2008:12:12:03:08:20.661,2008:12:14:06:41:22.551,185581.89
2008:12:14:11:42:16.350,2008:12:16:15:03:05.920,184849.57
2008:12:16:20:27:05.627,2008:12:18:23:35:16.618,184090.991
2008:12:19:05:22:41.883,2008:12:21:08:18:17.506,183335.623
