"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:10:00:00.000,2008:07:10:13:37:14.853,790634.853
2008:07:10:13:37:14.853,2008:07:10:15:04:39.737,5244.884
2008:07:25:10:04:33.491,2008:07:25:11:31:43.966,5230.475
2008:07:25:11:31:43.966,2008:08:09:02:05:28.739,1262024.772
2008:08:09:02:05:28.739,2008:08:09:03:33:12.021,5263.282
2008:08:16:19:12:24.957,2008:08:16:23:06:43.864,14058.907
2008:08:23:19:43:19.840,2008:08:23:21:10:59.161,5259.321
2008:08:23:21:10:59.161,2008:09:07:15:06:32.643,1274133.482
2008:09:07:15:06:32.643,2008:09:07:16:34:54.410,5301.767
2008:09:22:06:13:36.177,2008:09:22:07:42:06.052,5309.875
2008:09:22:07:42:06.052,2008:10:07:04:35:47.280,1284821.228
2008:10:07:04:35:47.280,2008:10:07:06:04:58.493,5351.213
2008:10:21:18:12:52.127,2008:10:21:19:42:21.743,5369.616
2008:10:21:19:42:21.743,2008:11:05:18:20:21.220,1291079.477
2008:11:05:18:20:21.220,2008:11:05:19:50:19.127,5397.907
2008:11:20:07:57:23.928,2008:11:20:09:27:46.028,5422.100
2008:11:20:09:27:46.028,2008:12:05:08:02:27.563,1290881.535
2008:12:05:08:02:27.563,2008:12:05:09:32:55.994,5428.431
2008:12:19:23:14:08.893,2008:12:20:00:45:01.286,5452.393
2008:12:20:00:45:01.286,2009:01:03:21:26:02.453,1284062.166
2009:01:03:21:26:02.453,2009:01:03:22:56:37.465,5435.013
2009:01:18:15:21:39.701,2009:01:18:16:52:32.341,5452.640
2009:01:18:16:52:32.341,2009:02:02:10:23:01.392,1272629.051
2009:02:02:10:23:01.392,2009:02:02:11:53:19.121,5417.729
2009:02:09:13:02:32.706,2009:02:09:16:17:16.273,11683.567
2009:02:17:07:22:32.945,2009:02:17:08:52:56.976,5424.032
2009:02:17:08:52:56.976,2009:03:03:22:54:44.660,1260107.684
2009:03:03:22:54:44.660,2009:03:04:00:24:27.240,5382.580
2009:03:18:22:22:20.032,2009:03:18:23:51:55.031,5374.999
2009:03:18:23:51:55.031,2009:04:02:11:08:44.548,1250209.517
2009:04:02:11:08:44.548,2009:04:02:12:37:42.886,5338.338
2009:04:17:11:46:00.818,2009:04:17:13:14:38.873,5318.054
2009:04:17:13:14:38.873,2009:05:01:23:14:18.054,1245579.182
2009:05:01:23:14:18.054,2009:05:02:00:42:32.877,5294.822
2009:05:16:23:25:56.119,2009:05:17:00:53:43.023,5266.904
2009:05:17:00:53:43.023,2009:05:31:11:19:53.570,1247170.547
2009:05:31:11:19:53.570,2009:05:31:12:47:35.412,5261.842
2009:06:15:09:40:42.655,2009:06:15:11:07:56.493,5233.838
2009:06:15:11:07:56.493,2009:06:29:23:32:48.253,1254291.760
2009:06:29:23:32:48.253,2009:06:30:01:00:15.960,5247.707
2009:07:14:19:08:33.962,2009:07:14:20:35:41.206,5227.244
2009:07:14:20:35:41.206,2009:07:29:11:59:04.458,1265003.252
2009:07:29:11:59:04.458,2009:07:29:13:26:41.317,5256.859
2009:08:13:04:38:14.824,2009:08:13:06:05:44.293,5249.469
2009:08:13:06:05:44.293,2009:08:28:00:42:19.116,1276594.823
2009:08:28:00:42:19.116,2009:08:28:02:10:27.029,5287.913
2009:09:11:14:58:59.587,2009:09:11:16:27:15.320,5295.734
2009:09:11:16:27:15.320,2009:09:26:13:41:52.894,1286077.573
2009:09:26:13:41:52.894,2009:09:26:15:10:46.021,5333.127
2009:10:11:02:49:43.001,2009:10:11:04:18:57.533,5354.532
2009:10:11:04:18:57.533,2009:10:26:02:52:07.375,1290789.842
2009:10:26:02:52:07.375,2009:10:26:04:21:47.724,5380.349
2009:11:09:16:28:03.709,2009:11:09:17:58:14.103,5410.394
