Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:13:22:19:35.394,2008:07:13:22:22:31.803,176.409
2008:07:14:01:25:06.631,2008:07:14:01:29:33.347,266.716
2008:07:14:04:30:49.404,2008:07:14:04:36:23.672,334.269
2008:07:14:07:36:37.732,2008:07:14:07:43:08.757,391.025
2008:07:14:10:42:29.539,2008:07:14:10:49:50.690,441.151
2008:07:14:13:48:23.798,2008:07:14:13:56:30.495,486.697
2008:07:14:16:54:19.930,2008:07:14:17:03:08.754,528.824
2008:07:14:20:00:17.566,2008:07:14:20:09:45.849,568.282
2008:07:14:23:06:16.454,2008:07:14:23:16:22.030,605.576
2008:07:15:02:12:16.417,2008:07:15:02:22:57.481,641.064
2008:07:15:05:18:17.321,2008:07:15:05:29:32.339,675.017
2008:07:15:08:24:19.065,2008:07:15:08:36:06.706,707.641
2008:07:15:11:30:21.574,2008:07:15:11:42:40.665,739.091
2008:07:15:14:36:24.786,2008:07:15:14:49:14.278,769.492
2008:07:15:17:42:28.652,2008:07:15:17:55:47.597,798.945
2008:07:15:20:48:33.133,2008:07:15:21:02:20.661,827.527
2008:07:15:23:54:38.196,2008:07:16:00:08:53.512,855.316
2008:07:16:03:00:43.815,2008:07:16:03:15:26.176,882.361
2008:07:16:06:06:49.968,2008:07:16:06:21:58.670,908.702
2008:07:16:09:12:56.637,2008:07:16:09:28:31.023,934.387
2008:07:16:12:19:03.806,2008:07:16:12:35:03.244,959.438
2008:07:16:15:25:11.465,2008:07:16:15:41:35.349,983.883
2008:07:16:18:31:19.603,2008:07:16:18:48:07.347,1007.745
2008:07:16:21:37:28.211,2008:07:16:21:54:39.250,1031.039
2008:07:17:00:43:37.283,2008:07:17:01:01:11.060,1053.778
2008:07:17:03:49:46.817,2008:07:17:04:07:42.787,1075.97
2008:07:17:06:55:56.800,2008:07:17:07:14:14.436,1097.636
2008:07:17:10:02:07.235,2008:07:17:10:20:46.010,1118.775
2008:07:17:13:08:18.119,2008:07:17:13:27:17.510,1139.391
2008:07:17:16:14:29.451,2008:07:17:16:33:48.933,1159.482
2008:07:17:19:20:41.230,2008:07:17:19:40:20.282,1179.052
2008:07:17:22:26:53.458,2008:07:17:22:46:51.557,1198.099
2008:07:18:01:33:06.131,2008:07:18:01:53:22.755,1216.625
2008:07:18:04:39:19.249,2008:07:18:04:59:53.877,1234.628
2008:07:18:07:45:32.815,2008:07:18:08:06:24.922,1252.107
2008:07:18:10:51:46.830,2008:07:18:11:12:55.881,1269.052
2008:07:18:13:58:01.295,2008:07:18:14:19:26.755,1285.459
2008:07:18:17:04:16.214,2008:07:18:17:25:57.538,1301.325
2008:07:18:20:10:31.587,2008:07:18:20:32:28.229,1316.642
2008:07:18:23:16:47.417,2008:07:18:23:38:58.822,1331.406
2008:07:19:02:23:03.708,2008:07:19:02:45:29.314,1345.606
2008:07:19:05:29:20.461,2008:07:19:05:51:59.694,1359.234
2008:07:19:08:35:37.678,2008:07:19:08:58:29.961,1372.283
2008:07:19:11:41:55.364,2008:07:19:12:05:00.109,1384.745
2008:07:19:14:48:13.519,2008:07:19:15:11:30.132,1396.613
2008:07:19:17:54:32.147,2008:07:19:18:18:00.026,1407.879
2008:07:19:21:00:51.256,2008:07:19:21:24:29.783,1418.527
2008:07:20:00:07:10.837,2008:07:20:00:30:59.399,1428.562
2008:07:20:03:13:30.899,2008:07:20:03:37:28.866,1437.967
2008:07:20:06:19:51.446,2008:07:20:06:43:58.179,1446.733
2008:07:20:09:26:12.479,2008:07:20:09:50:27.331,1454.852
2008:07:20:12:32:34.001,2008:07:20:12:56:56.318,1462.316
2008:07:20:15:38:56.019,2008:07:20:16:03:25.133,1469.114
2008:07:20:18:45:18.527,2008:07:20:19:09:53.765,1475.239
2008:07:20:21:51:41.529,2008:07:20:22:16:22.210,1480.682
2008:07:21:00:58:05.028,2008:07:21:01:22:50.463,1485.435
2008:07:21:04:04:29.025,2008:07:21:04:29:18.516,1489.49
2008:07:21:07:10:53.523,2008:07:21:07:35:46.363,1492.84
