"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:03:08:19:05.874,2008:07:03:20:41:03.082,44517.208
2008:07:06:05:10:57.026,2008:07:06:07:58:36.606,10059.580
2008:07:08:17:44:27.394,2008:07:08:19:28:42.891,6255.497
2008:07:11:05:14:39.453,2008:07:11:07:52:15.377,9455.924
2008:07:13:16:30:59.669,2008:07:14:01:45:33.531,33273.861
2008:07:16:03:45:27.807,2008:07:17:23:19:28.577,156840.771
2008:07:18:15:04:46.192,2008:07:20:20:28:20.279,192214.088
2008:07:21:02:39:30.682,2008:07:23:09:45:55.447,198384.765
2008:07:23:15:02:12.058,2008:07:25:21:37:12.257,196500.199
2008:07:26:07:02:06.791,2008:07:28:09:02:59.180,180052.388
2008:07:30:03:28:47.716,2008:07:30:20:20:12.764,60685.048
2008:08:02:04:24:02.837,2008:08:02:07:37:08.971,11586.135
2008:08:04:17:18:44.870,2008:08:04:19:04:14.656,6329.785
2008:08:07:04:53:00.821,2008:08:07:07:14:27.658,8486.837
2008:08:09:16:10:18.070,2008:08:09:23:29:34.866,26356.796
2008:08:12:03:24:38.014,2008:08:13:19:12:18.256,143260.241
2008:08:14:14:42:49.993,2008:08:16:19:32:56.404,190206.411
2008:08:17:02:14:22.782,2008:08:19:09:15:56.057,198093.275
2008:08:19:14:26:21.093,2008:08:21:21:13:35.950,197234.857
2008:08:22:05:28:10.156,2008:08:24:08:41:30.908,184400.752
2008:08:25:20:43:01.871,2008:08:26:19:59:22.119,83780.248
2008:08:29:03:29:13.231,2008:08:29:07:15:51.991,13598.760
2008:08:31:16:51:49.661,2008:08:31:18:40:28.976,6519.315
2008:09:03:04:31:04.966,2008:09:03:06:40:07.206,7742.240
2008:09:05:15:49:33.348,2008:09:05:21:44:39.189,21305.841
2008:09:08:03:03:52.392,2008:09:09:13:44:07.051,124814.658
2008:09:10:14:21:07.869,2008:09:12:18:29:13.153,187685.283
2008:09:13:01:49:55.365,2008:09:15:08:44:15.812,197660.447
2008:09:15:13:53:00.410,2008:09:17:20:49:29.087,197788.678
2008:09:18:04:10:56.080,2008:09:20:08:19:52.038,187735.958
2008:09:21:12:46:44.489,2008:09:22:19:38:30.078,111105.589
2008:09:25:02:23:28.910,2008:09:25:06:54:43.635,16274.725
2008:09:27:16:23:23.772,2008:09:27:18:17:18.400,6834.628
2008:09:30:04:08:48.393,2008:09:30:06:08:28.343,7179.950
2008:10:02:15:28:44.344,2008:10:02:20:21:19.096,17554.752
2008:10:05:02:43:10.031,2008:10:06:06:58:49.544,101739.513
2008:10:07:13:59:38.071,2008:10:09:17:14:34.319,184496.248
2008:10:10:01:26:02.765,2008:10:12:08:10:34.167,197071.402
2008:10:12:13:21:42.359,2008:10:14:20:24:47.003,198184.645
2008:10:15:03:05:51.333,2008:10:17:07:58:00.971,190329.638
2008:10:18:05:50:11.809,2008:10:19:19:17:35.617,134843.808
2008:10:22:01:02:23.972,2008:10:22:06:33:42.121,19878.149
2008:10:24:15:53:03.699,2008:10:24:17:54:36.836,7293.137
2008:10:27:03:46:06.863,2008:10:27:05:38:56.605,6769.741
2008:10:29:15:07:49.762,2008:10:29:19:13:17.179,14727.417
2008:11:01:02:22:30.046,2008:11:02:00:03:32.220,78062.175
2008:11:03:13:38:19.006,2008:11:05:15:45:18.560,180419.555
2008:11:06:01:02:40.192,2008:11:08:07:34:24.987,196304.795
2008:11:08:12:52:05.177,2008:11:10:19:59:24.093,198438.916
2008:11:11:02:09:49.065,2008:11:13:07:35:55.926,192366.861
2008:11:14:00:44:10.132,2008:11:15:18:56:37.698,151947.566
2008:11:17:23:19:12.433,2008:11:18:06:12:45.860,24813.427
2008:11:20:15:20:18.258,2008:11:20:17:32:19.279,7921.020
2008:11:23:03:22:55.129,2008:11:23:05:11:05.723,6490.594
2008:11:25:14:46:48.060,2008:11:25:18:16:18.130,12570.070
2008:11:28:02:01:51.483,2008:11:28:18:19:04.835,58633.352
2008:11:30:13:17:09.193,2008:12:02:13:56:03.526,175134.333
2008:12:03:00:39:43.492,2008:12:05:06:55:14.247,195330.755
2008:12:05:12:23:51.415,2008:12:07:19:33:13.378,198561.964
2008:12:08:01:20:37.563,2008:12:10:07:13:34.727,193977.164
2008:12:10:21:04:17.403,2008:12:12:18:35:35.201,163877.798
2008:12:14:21:03:14.035,2008:12:15:05:51:53.413,31719.378
2008:12:17:14:44:25.358,2008:12:17:17:10:21.563,8756.206
2008:12:20:02:59:06.570,2008:12:20:04:44:35.498,6328.928
2008:12:22:14:25:37.403,2008:12:22:17:27:25.957,10908.554
2008:12:25:01:41:13.307,2008:12:25:14:02:27.031,44473.723
2008:12:27:12:56:07.200,2008:12:29:11:38:48.524,168161.324
2008:12:30:00:17:09.021,2009:01:01:06:12:15.958,194107.937
2009:01:01:11:56:45.917,2009:01:03:19:06:05.069,198559.152
2009:01:04:00:36:40.813,2009:01:06:06:50:53.706,195252.893
2009:01:06:18:21:30.324,2009:01:08:18:14:25.827,172375.503
2009:01:10:17:57:11.575,2009:01:11:05:31:02.371,41630.796
2009:01:13:14:04:26.102,2009:01:13:16:48:39.160,9853.057
2009:01:16:02:34:31.765,2009:01:16:04:19:09.218,6277.453
2009:01:18:14:04:14.551,2009:01:18:16:44:36.137,9621.586
2009:01:21:01:20:33.375,2009:01:21:10:54:11.220,34417.845
2009:01:23:12:35:10.647,2009:01:25:08:41:27.800,158777.152
2009:01:25:23:54:52.574,2009:01:28:05:24:32.094,192579.520
2009:01:28:11:30:39.183,2009:01:30:18:37:50.168,198430.985
2009:01:30:23:56:51.242,2009:02:02:06:27:51.615,196260.373
2009:02:02:16:16:27.879,2009:02:04:17:53:10.072,178602.194
2009:02:06:13:33:53.712,2009:02:07:05:10:13.327,56179.615
2009:02:09:13:19:01.305,2009:02:09:16:27:10.988,11289.683
2009:02:12:02:09:01.928,2009:02:12:03:54:36.513,6334.584
2009:02:14:13:42:38.865,2009:02:14:16:06:22.449,8623.583
2009:02:17:00:59:52.486,2009:02:17:08:33:19.505,27207.020
2009:02:19:12:14:20.253,2009:02:21:04:46:24.725,145924.472
2009:02:21:23:32:53.414,2009:02:24:04:30:41.037,190667.623
2009:02:24:11:05:20.963,2009:02:26:18:08:14.099,198173.137
2009:02:26:23:20:16.400,2009:03:01:06:04:23.706,197047.306
2009:03:01:14:37:05.886,2009:03:03:17:31:45.333,183279.447
2009:03:05:07:21:32.241,2009:03:06:04:49:23.927,77271.685
2009:03:08:12:26:14.361,2009:03:08:16:05:53.421,13179.059
2009:03:11:01:42:22.183,2009:03:11:03:30:46.586,6504.403
2009:03:13:13:20:46.225,2009:03:13:15:31:39.930,7853.705
2009:03:16:00:39:08.376,2009:03:16:06:44:52.034,21943.657
2009:03:18:11:53:33.878,2009:03:19:23:32:32.018,128338.139
2009:03:20:23:11:08.279,2009:03:23:03:28:53.445,188265.167
2009:03:23:10:40:43.890,2009:03:25:17:37:00.239,197776.350
2009:03:25:22:46:17.963,2009:03:28:05:40:25.733,197647.770
2009:03:28:13:15:47.784,2009:03:30:17:10:09.952,186862.169
2009:03:31:23:36:14.274,2009:04:02:04:28:32.963,103938.688
2009:04:04:11:23:18.399,2009:04:04:15:44:44.254,15685.854
2009:04:07:01:14:14.716,2009:04:07:03:07:31.722,6797.006
2009:04:09:12:58:32.973,2009:04:09:14:59:41.631,7268.658
2009:04:12:00:18:19.781,2009:04:12:05:18:54.185,18034.404
2009:04:14:11:32:50.528,2009:04:15:16:55:43.171,105772.643
2009:04:16:22:49:35.320,2009:04:19:02:16:38.457,185223.137
2009:04:19:10:16:42.108,2009:04:21:17:03:48.097,197225.989
2009:04:21:22:14:26.977,2009:04:24:05:15:52.897,198085.920
2009:04:24:12:07:35.551,2009:04:26:16:48:22.268,189646.717
2009:04:27:16:15:58.738,2009:04:29:04:07:39.363,129100.625
2009:05:01:10:06:07.834,2009:05:01:15:23:41.710,19053.876
