"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:02:19:05:41.565,2008:07:03:05:08:27.019,36165.454
2008:07:04:23:08:09.839,2008:07:05:00:41:38.314,5608.475
2008:07:06:20:00:30.218,2008:07:06:20:10:59.125,628.908
2008:07:10:11:28:53.199,2008:07:10:11:35:13.499,380.300
2008:07:12:06:57:17.618,2008:07:12:08:03:02.334,3944.716
2008:07:14:02:29:49.868,2008:07:14:07:37:05.868,18436.000
2008:07:15:22:03:51.291,2008:07:17:00:50:11.414,96380.123
2008:07:17:17:39:55.544,2008:07:19:07:38:15.473,136699.929
2008:07:19:13:19:33.717,2008:07:21:05:45:04.179,145530.462
2008:07:21:09:06:14.242,2008:07:23:02:11:25.165,147910.923
2008:07:23:05:09:02.667,2008:07:24:22:07:27.628,147504.961
2008:07:25:01:57:58.920,2008:07:26:17:51:31.600,143612.679
2008:07:27:01:59:04.720,2008:07:28:13:29:56.782,127852.062
2008:07:29:20:37:58.016,2008:07:30:09:05:18.935,44840.919
2008:08:01:02:48:01.151,2008:08:01:04:38:42.085,6640.934
2008:08:02:23:52:32.290,2008:08:03:00:09:09.030,996.740
2008:08:08:10:54:22.304,2008:08:08:11:51:01.184,3398.880
2008:08:10:06:26:45.546,2008:08:10:10:44:30.699,15465.153
2008:08:12:02:00:37.694,2008:08:13:02:09:35.857,86938.163
2008:08:13:21:36:27.058,2008:08:15:11:05:31.301,134944.244
2008:08:15:17:15:37.819,2008:08:17:09:33:13.853,145056.033
2008:08:17:13:01:21.337,2008:08:19:06:04:54.179,147812.842
2008:08:19:09:01:49.755,2008:08:21:02:02:49.616,147659.862
2008:08:21:05:43:21.999,2008:08:22:21:47:42.839,144260.839
2008:08:23:05:07:44.484,2008:08:24:17:26:32.960,130728.477
2008:08:25:21:39:16.059,2008:08:26:13:02:09.672,55373.613
2008:08:28:06:24:28.038,2008:08:28:08:35:44.370,7876.332
2008:08:30:03:44:32.193,2008:08:30:04:06:50.725,1338.532
2008:09:04:14:51:28.325,2008:09:04:15:40:13.444,2925.119
2008:09:06:10:23:42.035,2008:09:06:14:01:01.944,13039.909
2008:09:08:05:57:25.238,2008:09:09:03:09:25.121,76319.884
2008:09:10:01:33:00.521,2008:09:11:14:28:02.988,132902.467
2008:09:11:21:11:45.630,2008:09:13:13:20:24.800,144519.170
2008:09:13:16:56:36.508,2008:09:15:09:58:05.063,147688.555
2008:09:15:12:54:58.114,2008:09:17:05:58:04.441,147786.326
2008:09:17:09:30:00.462,2008:09:19:01:43:50.711,144830.249
2008:09:19:08:23:59.637,2008:09:20:21:23:07.326,133147.688
2008:09:21:22:17:27.431,2008:09:22:16:58:59.233,67291.803
2008:09:24:09:56:41.151,2008:09:24:12:32:45.317,9364.166
2008:09:26:07:36:08.988,2008:09:26:08:04:19.567,1690.580
2008:10:01:18:48:35.955,2008:10:01:19:30:26.791,2510.836
2008:10:03:14:20:39.349,2008:10:03:17:24:48.409,11049.060
2008:10:05:09:54:13.908,2008:10:06:04:01:00.515,65206.607
2008:10:07:05:29:35.869,2008:10:08:17:44:53.426,130517.557
2008:10:09:01:07:56.968,2008:10:10:17:06:29.338,143912.371
2008:10:10:20:51:59.206,2008:10:12:13:50:56.200,147536.994
2008:10:12:16:48:25.782,2008:10:14:09:53:11.670,147885.888
2008:10:14:13:17:44.697,2008:10:16:05:39:55.098,145330.400
2008:10:16:11:46:23.707,2008:10:18:01:19:39.837,135196.131
2008:10:18:22:51:49.867,2008:10:19:20:55:47.611,79437.744
2008:10:21:13:23:37.521,2008:10:21:16:29:45.037,11167.516
2008:10:23:11:27:10.751,2008:10:23:12:01:40.856,2070.104
2008:10:28:22:45:45.600,2008:10:28:23:21:30.678,2145.078
2008:10:30:18:17:37.533,2008:10:30:20:54:22.160,9404.627
2008:11:01:13:51:03.691,2008:11:02:05:00:11.089,54547.399
2008:11:03:09:26:13.037,2008:11:04:20:54:50.397,127717.360
2008:11:05:05:04:11.649,2008:11:06:20:51:18.194,143226.545
2008:11:07:00:47:28.902,2008:11:08:17:43:25.658,147356.756
2008:11:08:20:42:10.952,2008:11:10:13:48:10.769,147959.817
2008:11:10:17:06:26.390,2008:11:12:09:35:55.833,145769.443
