"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:03:17:32:48.177,2008:07:03:23:06:36.066,20027.889
2008:07:06:12:13:04.657,2008:07:06:12:35:06.656,1321.999
2008:07:11:15:42:16.245,2008:07:11:16:24:00.248,2504.003
2008:07:14:05:11:47.640,2008:07:14:12:50:50.389,27542.749
2008:07:16:18:44:29.572,2008:07:19:01:36:35.293,197525.721
2008:07:19:08:22:39.770,2008:07:21:19:06:43.211,211443.441
2008:07:21:22:14:52.100,2008:07:24:09:29:19.796,213267.696
2008:07:24:12:57:58.719,2008:07:26:23:17:02.034,209943.315
2008:07:27:10:26:56.344,2008:07:29:12:53:40.018,181603.674
2008:08:01:00:08:27.813,2008:08:01:02:25:26.329,8218.515
2008:08:08:19:00:22.328,2008:08:08:20:21:59.431,4897.103
2008:08:11:08:30:54.072,2008:08:12:11:07:52.365,95818.293
2008:08:13:22:04:53.067,2008:08:16:07:00:49.198,204956.131
2008:08:16:11:46:00.231,2008:08:18:22:48:59.014,212578.783
2008:08:19:01:47:10.819,2008:08:21:12:55:28.793,212897.974
2008:08:21:17:13:59.303,2008:08:24:02:38:31.060,206671.757
2008:08:25:10:13:20.165,2008:08:26:16:13:17.350,107997.185
2008:08:29:04:40:42.488,2008:08:29:05:43:53.350,3790.861
2008:09:03:08:51:30.719,2008:09:03:09:05:23.534,832.814
2008:09:05:22:18:51.927,2008:09:06:01:03:01.441,9849.513
2008:09:08:11:50:19.577,2008:09:10:12:19:19.094,174539.516
2008:09:11:01:25:55.681,2008:09:13:11:27:15.382,208879.701
2008:09:13:15:11:05.202,2008:09:16:02:23:36.954,213151.752
2008:09:16:05:26:02.341,2008:09:18:16:19:37.565,212015.223
2008:09:18:22:19:01.289,2008:09:21:05:59:15.572,200414.283
2008:09:23:12:39:34.646,2008:09:23:19:32:32.720,24778.074
2008:09:26:08:33:36.844,2008:09:26:09:01:39.881,1683.037
2008:10:01:12:08:19.593,2008:10:01:12:44:02.727,2143.133
2008:10:04:01:37:38.799,2008:10:04:07:48:45.210,22266.411
2008:10:06:15:10:08.167,2008:10:08:21:21:29.657,195081.490
2008:10:09:04:47:50.180,2008:10:11:15:26:21.920,211111.740
2008:10:11:18:38:41.563,2008:10:14:05:53:27.423,213285.861
2008:10:14:09:15:59.601,2008:10:16:19:42:20.683,210381.082
2008:10:17:05:32:57.496,2008:10:19:09:19:25.707,186388.211
2008:10:21:20:08:45.713,2008:10:21:22:51:28.155,9762.442
2008:10:29:15:26:20.257,2008:10:29:16:36:41.576,4221.320
2008:11:01:04:56:42.383,2008:11:02:00:09:18.857,69156.474
2008:11:03:18:30:25.773,2008:11:06:03:06:41.494,203775.721
2008:11:06:08:10:55.167,2008:11:08:19:10:51.353,212396.186
2008:11:08:22:10:05.896,2008:11:11:09:20:08.476,213002.580
2008:11:11:13:26:20.733,2008:11:13:23:04:01.052,207460.319
2008:11:14:22:46:22.600,2008:11:16:12:39:08.535,136365.935
2008:11:19:00:55:36.521,2008:11:19:02:10:02.157,4465.635
2008:11:24:05:18:15.416,2008:11:24:05:27:34.938,559.522
2008:11:26:18:44:46.982,2008:11:26:21:04:22.317,8375.335
2008:11:29:08:16:04.603,2008:12:01:06:26:22.795,166218.192
2008:12:01:21:51:20.788,2008:12:04:07:42:03.472,208242.684
2008:12:04:11:35:38.489,2008:12:06:22:46:49.950,213071.461
2008:12:07:01:47:29.859,2008:12:09:12:44:39.640,212229.780
2008:12:09:18:18:45.902,2008:12:12:02:24:54.278,201968.376
2008:12:14:07:21:13.018,2008:12:14:15:58:28.798,31035.780
2008:12:17:04:53:44.374,2008:12:17:05:28:03.585,2059.211
2008:12:22:08:34:25.689,2008:12:22:09:04:51.852,1826.163
2008:12:24:22:03:31.492,2008:12:25:03:08:44.664,18313.172
2008:12:27:11:35:49.094,2008:12:29:16:59:45.135,192236.041
2008:12:30:01:13:05.127,2009:01:01:11:45:34.638,210750.511
2009:01:01:15:02:42.162,2009:01:04:02:17:30.391,213288.229
2009:01:04:05:34:54.123,2009:01:06:16:07:37.691,210763.568
2009:01:07:00:55:58.243,2009:01:09:05:45:10.187,190151.944
2009:01:11:16:04:02.222,2009:01:11:19:17:28.055,11605.833
2009:01:14:08:34:47.669,2009:01:14:08:44:06.731,559.062
2009:01:19:11:52:19.020,2009:01:19:12:53:09.901,3650.882
2009:01:22:01:22:31.480,2009:01:22:15:38:29.827,51358.346
2009:01:24:14:56:00.280,2009:01:26:23:10:12.377,202452.098
2009:01:27:04:35:54.939,2009:01:29:15:32:28.938,212193.999
2009:01:29:18:33:17.505,2009:02:01:05:44:44.757,213087.251
2009:02:01:09:40:23.890,2009:02:03:19:29:29.542,208145.652
2009:02:04:14:20:21.728,2009:02:06:09:04:58.402,153876.674
2009:02:08:21:08:50.580,2009:02:08:22:36:07.953,5237.373
2009:02:14:01:46:23.299,2009:02:14:01:48:40.113,136.814
2009:02:16:15:10:42.524,2009:02:16:17:10:09.762,7167.238
2009:02:19:04:41:50.372,2009:02:20:23:45:07.631,154997.259
2009:02:21:18:16:47.886,2009:02:24:03:55:43.806,207535.920
2009:02:24:08:00:17.654,2009:02:26:19:09:52.283,212974.628
2009:02:26:22:09:21.115,2009:03:01:09:09:38.363,212417.249
2009:03:01:14:22:08.139,2009:03:03:22:50:31.150,203303.010
2009:03:06:01:23:14.833,2009:03:06:12:24:23.142,39668.309
2009:03:09:01:13:12.907,2009:03:09:01:54:20.332,2467.425
2009:03:14:05:00:33.979,2009:03:14:05:26:13.115,1539.136
2009:03:16:18:29:24.237,2009:03:16:22:43:07.848,15223.611
2009:03:19:08:01:30.453,2009:03:21:12:28:22.841,188812.388
2009:03:21:21:38:21.888,2009:03:24:08:04:09.040,210347.152
2009:03:24:11:26:51.438,2009:03:26:22:41:26.318,213274.880
2009:03:27:01:54:25.757,2009:03:29:12:32:53.034,211107.277
2009:03:29:20:29:50.262,2009:04:01:02:10:54.377,193264.115
2009:04:03:11:51:57.370,2009:04:03:15:43:27.605,13890.235
2009:04:06:04:55:59.683,2009:04:06:05:11:22.867,923.185
2009:04:11:08:18:19.833,2009:04:11:09:10:53.404,3153.571
2009:04:13:21:48:22.148,2009:04:14:08:45:12.673,39410.526
2009:04:16:11:21:36.811,2009:04:18:19:10:08.115,200911.304
2009:04:19:01:00:58.212,2009:04:21:11:53:41.627,211963.414
2009:04:21:14:56:39.060,2009:04:24:02:09:15.167,213156.106
2009:04:24:05:55:29.149,2009:04:26:15:54:56.203,208767.053
2009:04:27:07:28:48.160,2009:04:29:05:30:47.592,165719.432
2009:05:01:17:19:31.487,2009:05:01:19:02:12.472,6160.985
2009:05:09:11:36:39.438,2009:05:09:13:19:00.348,6140.910
2009:05:12:01:07:37.433,2009:05:13:15:36:51.111,138553.678
2009:05:14:14:42:16.756,2009:05:17:00:07:42.070,206725.314
2009:05:17:04:25:00.501,2009:05:19:15:32:38.136,212857.636
2009:05:19:18:31:26.217,2009:05:22:05:34:32.526,212586.308
2009:05:22:10:27:48.201,2009:05:24:19:16:06.395,204498.194
2009:05:26:18:10:09.168,2009:05:27:08:50:16.650,52807.482
2009:05:29:21:31:39.107,2009:05:29:22:20:33.334,2934.226
2009:06:04:01:26:47.354,2009:06:04:01:47:54.918,1267.564
2009:06:06:14:55:18.208,2009:06:06:18:27:15.269,12717.061
2009:06:09:04:27:13.139,2009:06:11:07:42:52.713,184539.574
2009:06:11:18:03:40.700,2009:06:14:04:21:49.256,209888.557
2009:06:14:07:51:04.867,2009:06:16:19:05:10.732,213245.865
2009:06:16:22:14:21.674,2009:06:19:08:58:04.253,211422.578
2009:06:19:16:11:14.336,2009:06:21:22:36:36.389,195922.053
2009:06:24:07:29:00.450,2009:06:24:12:09:25.256,16824.805
2009:06:27:01:17:13.067,2009:06:27:01:38:05.635,1252.568
2009:07:02:04:44:21.954,2009:07:02:05:29:32.746,2710.792
2009:07:04:18:14:13.227,2009:07:05:02:49:59.084,30945.857
2009:07:07:07:47:14.056,2009:07:09:15:05:29.230,199095.174
2009:07:09:21:26:03.558,2009:07:12:08:14:24.637,211701.079
2009:07:12:11:20:08.619,2009:07:14:22:33:38.258,213209.639
2009:07:15:02:11:29.208,2009:07:17:12:20:20.052,209330.845
2009:07:18:01:31:44.034,2009:07:20:01:56:35.145,174291.112
2009:07:22:13:26:57.864,2009:07:22:15:28:14.830,7276.966
2009:07:30:08:02:37.274,2009:07:30:09:30:22.013,5264.739
2009:08:01:21:33:25.230,2009:08:03:05:10:36.172,113830.942
2009:08:04:11:07:47.060,2009:08:06:20:17:46.428,205799.368
2009:08:07:00:49:47.221,2009:08:09:11:55:07.266,212720.045
2009:08:09:14:53:47.018,2009:08:12:01:59:22.117,212735.100
2009:08:12:06:35:46.299,2009:08:14:15:41:39.785,205553.486
2009:08:16:08:41:03.345,2009:08:17:05:16:08.907,74105.561
2009:08:19:17:48:54.881,2009:08:19:18:46:42.816,3467.934
2009:08:24:21:53:07.734,2009:08:24:22:09:53.880,1006.145
2009:08:27:11:21:13.073,2009:08:27:14:19:20.432,10687.359
2009:08:30:00:52:56.961,2009:09:01:02:39:01.381,179164.421
2009:09:01:14:29:01.845,2009:09:04:00:38:35.762,209373.917
2009:09:04:04:15:24.883,2009:09:06:15:28:45.381,213200.497
2009:09:06:18:34:47.855,2009:09:09:05:23:12.569,211704.714
2009:09:09:11:59:35.044,2009:09:11:19:02:17.156,198162.112
2009:09:14:02:52:24.751,2009:09:14:08:35:21.807,20577.056
