"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:10:00:00.000,2008:07:03:19:13:00.131,205980.131
2008:07:03:20:10:53.351,2008:07:06:06:10:06.046,208752.695
2008:07:06:07:06:35.237,2008:07:08:17:07:02.583,208827.346
2008:07:08:18:02:11.697,2008:07:11:04:03:51.104,208899.407
2008:07:11:04:57:43.692,2008:07:13:15:00:31.867,208968.175
2008:07:13:15:53:11.462,2008:07:16:01:57:04.586,209033.124
2008:07:16:02:48:34.879,2008:07:18:12:53:28.683,209093.804
2008:07:18:13:43:53.576,2008:07:20:23:49:43.445,209149.870
2008:07:21:00:39:07.074,2008:07:23:10:45:48.238,209201.164
2008:07:23:11:34:14.920,2008:07:25:21:41:42.770,209247.849
2008:07:25:22:29:16.841,2008:07:28:08:37:27.414,209290.573
2008:07:28:09:24:13.017,2008:07:30:19:33:03.421,209330.404
2008:07:30:20:19:04.264,2008:08:02:06:28:32.777,209368.513
2008:08:02:07:13:51.948,2008:08:04:17:23:57.550,209405.602
2008:08:04:18:08:37.542,2008:08:07:04:19:19.177,209441.635
2008:08:07:05:03:22.116,2008:08:09:15:14:38.346,209476.230
2008:08:09:15:58:06.230,2008:08:12:02:09:55.177,209508.947
2008:08:12:02:52:50.016,2008:08:14:13:05:09.459,209539.443
2008:08:14:13:47:33.360,2008:08:16:21:53:29.008,201955.648
2008:08:16:23:56:18.998,2008:08:17:00:00:20.694,241.696
2008:08:17:00:42:15.897,2008:08:19:10:55:28.192,209592.295
2008:08:19:11:36:57.062,2008:08:21:21:50:31.218,209614.155
2008:08:21:22:31:36.236,2008:08:24:08:45:29.324,209633.088
2008:08:24:09:26:12.968,2008:08:26:19:40:22.612,209649.644
2008:08:26:20:20:47.249,2008:08:29:06:35:11.842,209664.594
2008:08:29:07:15:19.619,2008:08:31:17:29:58.229,209678.610
2008:08:31:18:09:51.059,2008:09:03:04:24:43.020,209691.962
2008:09:03:05:04:22.642,2008:09:05:15:19:27.138,209704.496
