Start Time (YYYY:MM:DD),Stop Time (YYYY:MM:DD),Duration (sec)
2008:07:01:10:00:00.000,2008:07:01:14:11:18.180,15078.18
2008:07:01:14:57:10.773,2008:07:01:19:19:23.534,15732.76
2008:07:01:20:05:13.819,2008:07:02:00:27:28.871,15735.052
2008:07:02:01:13:16.856,2008:07:02:05:35:34.191,15737.335
2008:07:02:06:21:19.881,2008:07:02:10:43:39.496,15739.615
2008:07:02:11:29:22.897,2008:07:02:15:51:44.786,15741.889
2008:07:02:16:37:25.903,2008:07:02:20:59:50.061,15744.159
2008:07:02:21:45:28.900,2008:07:03:02:07:55.325,15746.425
2008:07:03:02:53:31.888,2008:07:03:07:16:00.573,15748.685
2008:07:03:08:01:34.869,2008:07:03:12:24:05.811,15750.942
2008:07:03:13:09:37.846,2008:07:03:17:32:11.039,15753.192
2008:07:03:18:17:40.813,2008:07:03:22:40:16.255,15755.442
2008:07:03:23:25:43.776,2008:07:04:03:48:21.464,15757.688
2008:07:04:04:33:46.735,2008:07:04:08:56:26.664,15759.929
2008:07:04:09:41:49.687,2008:07:04:14:04:31.856,15762.168
2008:07:04:14:49:52.633,2008:07:04:19:12:37.039,15764.406
2008:07:04:19:57:55.578,2008:07:05:00:20:42.218,15766.641
2008:07:05:01:05:58.517,2008:07:05:05:28:47.390,15768.873
2008:07:05:06:14:01.457,2008:07:05:10:36:52.557,15771.1
2008:07:05:11:22:04.391,2008:07:05:15:44:57.720,15773.329
2008:07:05:16:30:07.322,2008:07:05:20:53:02.877,15775.555
2008:07:05:21:38:10.253,2008:07:06:02:01:08.030,15777.777
2008:07:06:02:46:13.180,2008:07:06:07:09:13.181,15780
2008:07:06:07:54:16.109,2008:07:06:12:17:18.330,15782.221
2008:07:06:13:02:19.033,2008:07:06:17:25:23.473,15784.439
2008:07:06:18:10:21.958,2008:07:06:22:33:28.615,15786.657
2008:07:06:23:18:24.882,2008:07:07:03:41:33.755,15788.873
2008:07:07:04:26:27.808,2008:07:07:08:49:38.894,15791.086
2008:07:07:09:34:30.730,2008:07:07:13:57:44.031,15793.301
2008:07:07:14:42:33.653,2008:07:07:19:05:49.166,15795.513
2008:07:07:19:50:36.577,2008:07:08:00:13:54.301,15797.724
2008:07:08:00:58:39.500,2008:07:08:05:21:59.434,15799.934
2008:07:08:06:06:42.426,2008:07:08:10:30:04.566,15802.14
2008:07:08:11:14:45.350,2008:07:08:15:38:09.698,15804.347
2008:07:08:16:22:48.273,2008:07:08:20:46:14.828,15806.555
2008:07:08:21:30:51.198,2008:07:09:01:54:19.958,15808.759
2008:07:09:02:38:54.125,2008:07:09:07:02:25.087,15810.962
2008:07:09:07:46:57.052,2008:07:09:12:10:30.215,15813.163
