"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:10:00:00.000,2008:07:06:07:23:12.903,422592.903
2008:07:06:08:08:21.291,2008:07:11:05:43:51.912,423330.621
2008:07:11:06:26:41.248,2008:07:16:04:04:09.991,423448.743
2008:07:16:04:44:53.807,2008:07:21:02:24:06.117,423552.309
2008:07:21:03:02:58.861,2008:07:26:00:43:38.408,423639.547
2008:07:26:01:20:55.572,2008:07:30:23:02:48.178,423712.606
2008:07:30:23:38:44.360,2008:08:04:21:21:42.415,423778.055
2008:08:04:21:56:28.573,2008:08:09:19:40:28.057,423839.484
2008:08:09:20:14:11.968,2008:08:14:17:59:06.913,423894.945
2008:08:14:18:31:55.806,2008:08:17:03:58:24.212,206788.406
2008:08:17:07:43:58.273,2008:08:19:16:17:37.664,203619.391
2008:08:19:16:49:39.465,2008:08:24:14:35:57.957,423978.492
2008:08:24:15:07:21.266,2008:08:29:12:54:07.754,424006.488
2008:08:29:13:25:00.691,2008:09:03:11:12:10.905,424030.214
2008:09:03:11:42:40.097,2008:09:08:09:30:11.249,424051.152
2008:09:08:10:00:22.463,2008:09:13:07:48:09.933,424067.470
2008:09:13:08:18:09.086,2008:09:18:06:06:05.883,424076.798
2008:09:18:06:35:59.368,2008:09:23:04:23:56.845,424077.478
2008:09:23:04:53:51.117,2008:09:28:02:41:42.594,424071.477
2008:09:28:03:11:43.669,2008:10:03:00:59:25.806,424062.137
2008:10:03:01:29:39.643,2008:10:07:23:17:09.293,424049.650
2008:10:07:23:47:42.538,2008:10:12:21:34:54.284,424031.746
2008:10:12:22:05:54.551,2008:10:17:19:52:40.038,424005.486
2008:10:17:20:24:15.387,2008:10:22:18:10:24.429,423969.042
2008:10:22:18:42:42.200,2008:10:27:16:28:07.376,423925.176
2008:10:27:17:01:14.582,2008:11:01:14:45:51.443,423876.861
2008:11:01:15:19:56.500,2008:11:06:13:03:39.710,423823.210
2008:11:06:13:38:53.630,2008:11:11:11:21:34.430,423760.800
2008:11:11:11:58:10.836,2008:11:16:09:39:35.742,423684.907
2008:11:16:10:17:49.112,2008:11:21:07:57:41.872,423592.761
2008:11:21:08:37:44.954,2008:11:26:06:15:53.605,423488.651
2008:11:26:06:57:59.357,2008:12:01:04:34:15.205,423375.848
2008:12:01:05:18:40.683,2008:12:06:02:52:52.942,423252.258
2008:12:06:03:40:01.949,2008:12:11:01:11:53.644,423111.695
2008:12:11:02:02:17.506,2008:12:15:23:31:21.320,422943.814
2008:12:16:00:25:34.963,2008:12:20:21:51:16.374,422741.411
2008:12:20:22:49:53.269,2008:12:25:20:11:44.218,422510.950
2008:12:25:21:15:21.946,2008:12:30:18:32:59.012,422257.065
2008:12:30:19:42:28.822,2009:01:04:16:55:23.995,421976.173
2009:01:04:18:12:00.319,2009:01:09:15:19:35.297,421654.978
2009:01:09:16:45:02.336,2009:01:14:13:46:06.129,421263.793
2009:01:14:15:22:30.326,2009:01:19:12:15:28.184,420777.858
2009:01:19:14:05:07.603,2009:01:24:10:48:40.459,420212.857
2009:01:24:12:54:22.945,2009:01:29:09:27:39.134,419596.190
2009:01:29:11:53:18.049,2009:02:03:08:16:03.132,418965.083
2009:02:03:11:07:30.476,2009:02:08:07:20:06.663,418356.187
2009:02:08:10:46:05.344,2009:02:09:07:46:56.994,75651.650
2009:02:09:10:38:12.353,2009:02:13:06:48:37.193,331824.839
2009:02:13:11:00:28.442,2009:02:18:06:53:38.276,417189.834
2009:02:18:12:04:36.647,2009:02:23:07:55:24.007,417047.360
2009:02:23:14:20:51.990,2009:02:28:10:31:11.663,418219.673
2009:02:28:18:28:59.855,2009:03:05:15:50:45.999,422506.144
2009:03:06:01:38:29.818,2009:03:11:01:31:18.133,431568.315
2009:03:11:13:03:51.627,2009:03:16:15:49:48.366,441956.739
2009:03:17:04:01:13.276,2009:03:22:07:35:06.243,444832.966
2009:03:22:18:58:50.372,2009:03:27:20:47:30.229,438519.857
2009:03:28:06:46:54.977,2009:04:02:06:15:59.579,430144.603
2009:04:02:14:45:05.516,2009:04:07:12:28:38.598,423813.081
2009:04:07:19:28:12.648,2009:04:12:16:05:37.171,419844.523
2009:04:12:21:46:30.854,2009:04:17:17:52:22.159,417951.304
2009:04:17:22:31:12.875,2009:04:22:18:28:57.136,417464.261
2009:04:22:22:20:42.767,2009:04:27:18:23:07.278,417744.511
2009:04:27:21:38:39.238,2009:05:02:17:51:54.801,418395.563
2009:05:02:20:38:19.817,2009:05:07:17:03:26.811,419106.993
2009:05:07:19:26:02.759,2009:05:12:16:01:34.247,419731.488
2009:05:12:18:05:02.919,2009:05:17:14:49:23.497,420260.578
2009:05:17:16:37:47.023,2009:05:22:13:29:45.013,420717.990
2009:05:22:15:06:12.906,2009:05:27:12:05:06.682,421133.776
2009:05:27:13:31:51.830,2009:06:01:10:37:18.711,421526.881
2009:06:01:11:55:46.659,2009:06:06:09:07:05.557,421878.898
2009:06:06:10:18:24.147,2009:06:11:07:34:40.536,422176.389
2009:06:11:08:39:54.839,2009:06:16:06:00:18.278,422423.438
2009:06:16:07:00:28.677,2009:06:21:04:24:20.054,422631.377
2009:06:21:05:20:17.425,2009:06:26:02:47:14.387,422816.962
2009:06:26:03:39:35.202,2009:07:01:01:09:26.850,422991.649
2009:07:01:01:58:34.302,2009:07:05:23:31:04.785,423150.483
2009:07:06:00:17:18.720,2009:07:07:23:07:06.051,168587.331
2009:07:08:03:05:42.412,2009:07:10:21:52:07.157,240384.745
2009:07:10:22:35:48.596,2009:07:15:20:12:33.816,423405.220
2009:07:15:20:54:04.205,2009:07:20:18:32:28.499,423504.295
2009:07:20:19:12:07.331,2009:07:25:16:52:00.883,423593.552
2009:07:25:17:30:02.538,2009:07:30:15:11:20.596,423678.057
2009:07:30:15:47:54.682,2009:08:04:13:30:29.473,423754.791
2009:08:04:14:05:44.989,2009:08:09:11:49:25.699,423820.710
2009:08:09:12:23:32.653,2009:08:14:10:08:07.464,423874.811
2009:08:14:10:41:16.492,2009:08:19:08:26:35.315,423918.823
2009:08:19:08:58:56.367,2009:08:24:06:44:54.071,423957.704
2009:08:24:07:16:34.890,2009:08:29:05:03:08.651,423993.761
2009:08:29:05:34:15.314,2009:09:03:03:21:19.821,424024.506
2009:09:03:03:51:58.470,2009:09:08:01:39:26.099,424047.629
2009:09:08:02:09:43.452,2009:09:12:23:57:25.570,424062.117
2009:09:13:00:27:28.556,2009:09:17:22:15:18.091,424069.534
2009:09:17:22:45:13.190,2009:09:22:20:33:06.829,424073.640
2009:09:22:21:02:59.914,2009:09:27:18:50:55.005,424075.091
2009:09:27:19:20:52.073,2009:10:02:17:08:43.302,424071.229
2009:10:02:17:38:50.935,2009:10:07:15:26:30.610,424059.675
2009:10:07:15:56:55.739,2009:10:12:13:44:15.054,424039.316
2009:10:12:14:15:04.267,2009:10:17:12:01:56.452,424012.185
2009:10:17:12:33:15.929,2009:10:22:10:19:37.495,423981.566
2009:10:22:10:51:34.281,2009:10:27:08:37:21.100,423946.820
2009:10:27:09:10:04.050,2009:11:01:06:55:08.485,423904.435
2009:11:01:07:28:48.029,2009:11:06:05:12:59.109,423851.079
2009:11:06:05:47:46.097,2009:11:11:03:30:51.231,423785.134
2009:11:11:04:06:55.356,2009:11:16:01:48:45.103,423709.747
2009:11:16:02:26:15.911,2009:11:21:00:06:44.255,423628.344
2009:11:21:00:45:54.326,2009:11:25:22:24:53.167,423538.842
2009:11:25:23:05:59.770,2009:11:30:20:43:15.503,423435.732
2009:11:30:21:26:40.149,2009:12:05:19:01:52.741,423312.593
2009:12:05:19:47:58.474,2009:12:10:17:20:44.050,423165.576
2009:12:10:18:09:52.036,2009:12:15:15:39:51.947,422999.912
2009:12:15:16:32:25.012,2009:12:20:13:59:25.050,422820.037
2009:12:20:14:55:54.921,2009:12:25:12:19:36.356,422621.435
2009:12:25:13:20:48.513,2009:12:30:10:40:41.376,422392.863
2009:12:30:11:47:36.719,2010:01:04:09:02:53.173,422116.454
2010:01:04:10:16:42.733,2010:01:09:07:26:20.409,421777.677
2010:01:09:08:48:17.613,2010:01:14:05:51:24.409,421386.796
2010:01:14:07:22:56.430,2010:01:19:04:18:52.117,420955.687
2010:01:19:06:02:01.413,2010:01:24:02:50:04.986,420483.574
2010:01:24:04:47:52.023,2010:01:29:01:27:09.103,419957.080
2010:01:29:03:43:52.150,2010:02:03:00:12:43.045,419330.895
2010:02:03:02:53:50.245,2010:02:07:23:09:55.934,418565.689
2010:02:08:02:21:46.534,2010:02:12:22:24:22.732,417756.198
2010:02:13:02:14:58.271,2010:02:17:22:06:55.335,417117.064
2010:02:18:02:47:39.480,2010:02:22:22:38:36.647,417057.168
2010:02:23:04:26:23.130,2010:02:28:00:37:47.398,418284.268
2010:02:28:07:55:17.267,2010:03:05:05:00:00.492,421483.225
2010:03:05:14:05:43.923,2010:03:10:12:45:17.452,427173.529
2010:03:10:23:33:22.147,2010:03:16:00:32:22.322,435540.175
2010:03:16:12:19:29.436,2010:03:21:15:31:20.678,443511.243
2010:03:22:03:13:40.110,2010:03:27:06:41:00.990,444440.880
2010:03:27:17:23:03.604,2010:04:01:18:32:02.502,436138.898
2010:04:02:03:38:28.654,2010:04:07:02:02:05.326,426216.672
2010:04:07:09:32:11.446,2010:04:12:06:17:49.634,420338.189
2010:04:12:12:27:37.580,2010:04:17:08:33:37.886,417960.306
2010:04:17:13:39:05.567,2010:04:22:09:37:26.233,417500.666
2010:04:22:13:50:36.629,2010:04:27:09:54:13.107,417816.478
2010:04:27:13:24:44.358,2010:05:02:09:36:32.882,418308.523
2010:05:02:12:33:25.282,2010:05:07:08:54:02.918,418837.636
2010:05:07:11:25:06.663,2010:05:12:07:54:55.878,419389.215
2010:05:12:10:06:03.941,2010:05:17:06:45:10.588,419946.647
2010:05:17:08:40:24.666,2010:05:22:05:28:40.334,420495.668
2010:05:22:07:10:39.285,2010:05:27:04:07:12.507,420993.222
2010:05:27:05:37:59.224,2010:06:01:02:41:26.714,421407.489
2010:06:01:04:02:56.637,2010:06:06:01:12:04.149,421747.513
2010:06:06:02:26:00.598,2010:06:10:23:39:56.010,422035.412
2010:06:11:00:47:41.116,2010:06:15:22:05:53.767,422292.651
2010:06:15:23:08:25.419,2010:06:20:20:30:38.275,422532.856
2010:06:20:21:28:34.104,2010:06:25:18:54:23.618,422749.514
2010:06:25:19:48:14.906,2010:06:26:21:10:48.030,91353.124
2010:06:27:03:31:47.668,2010:06:30:10:00:00.000,282492.332
