"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:01:10:00:00.000,2008:08:16:19:43:25.487,4009405.487
2008:08:16:22:45:24.437,2008:08:30:20:56:25.891,1203061.453
2008:08:30:21:05:48.963,2008:08:31:05:01:52.110,28563.147
2008:08:31:05:15:21.417,2008:08:31:13:07:49.207,28347.790
2008:08:31:13:24:23.076,2008:08:31:21:14:02.074,28178.998
2008:08:31:21:33:09.041,2008:09:01:05:20:25.024,28035.983
2008:09:01:05:41:44.996,2008:09:01:13:26:55.171,27910.174
2008:09:01:13:50:13.825,2008:09:01:21:33:30.805,27796.981
2008:09:01:21:58:37.229,2008:09:02:05:40:10.818,27693.590
2008:09:02:06:06:56.315,2008:09:02:13:46:54.439,27598.123
2008:09:02:14:15:11.852,2008:09:02:21:53:41.107,27509.255
2008:09:02:22:23:24.397,2008:09:03:06:00:30.391,27425.994
2008:09:03:06:31:34.371,2008:09:03:14:07:21.972,27347.601
2008:09:03:14:39:42.101,2008:09:03:22:14:15.578,27273.476
2008:09:03:22:47:47.847,2008:09:04:06:21:11.001,27203.154
2008:09:04:06:55:51.817,2008:09:04:14:28:08.067,27136.249
2008:09:04:15:03:54.186,2008:09:04:22:35:06.625,27072.440
2008:09:04:23:11:55.096,2008:09:05:06:42:06.551,27011.455
2008:09:05:07:19:54.671,2008:09:05:14:49:07.744,26953.073
2008:09:05:15:27:53.014,2008:09:05:22:56:10.110,26897.095
2008:09:05:23:35:50.214,2008:09:06:07:03:13.570,26843.355
2008:09:06:07:43:46.351,2008:09:06:15:10:18.054,26791.703
2008:09:06:15:51:41.486,2008:09:06:23:17:23.503,26742.016
2008:09:06:23:59:35.682,2008:09:07:07:24:29.861,26694.179
2008:09:07:08:07:28.991,2008:09:07:15:31:37.081,26648.090
2008:09:07:16:15:21.459,2008:09:07:23:38:45.121,26603.662
2008:09:08:00:23:13.126,2008:09:08:07:45:53.942,26560.816
2008:09:08:08:31:04.033,2008:09:08:15:53:03.509,26519.476
2008:09:08:16:38:54.210,2008:09:09:00:00:13.791,26479.581
2008:09:09:00:46:43.691,2008:09:09:08:07:24.761,26441.069
2008:09:09:08:54:32.499,2008:09:09:16:14:36.392,26403.893
2008:09:09:17:02:20.658,2008:09:10:00:21:48.661,26368.003
2008:09:10:01:10:08.194,2008:09:10:08:29:01.548,26333.354
2008:09:10:09:17:55.125,2008:09:10:16:36:15.033,26299.908
2008:09:10:17:25:41.470,2008:09:11:00:43:29.100,26267.630
2008:09:11:01:33:27.247,2008:09:11:08:50:43.726,26236.479
2008:09:11:09:41:12.472,2008:09:11:16:57:58.907,26206.435
2008:09:11:17:48:57.156,2008:09:12:01:05:14.620,26177.464
2008:09:12:01:56:41.321,2008:09:12:09:12:30.854,26149.533
2008:09:12:10:04:24.972,2008:09:12:17:19:47.605,26122.633
2008:09:12:18:12:08.122,2008:09:13:01:27:04.851,26096.729
2008:09:13:02:19:50.783,2008:09:13:09:34:22.594,26071.811
