"Time (YYYY:MM:DD)","Range (km)"
2008:07:03:09:47:03.146,18858.504846
2008:07:03:09:57:03.000,18601.645272
2008:07:03:10:07:03.000,18340.597439
2008:07:03:10:17:03.000,18075.319305
2008:07:03:10:27:03.000,17805.701043
2008:07:03:10:37:03.000,17531.626722
2008:07:03:10:47:03.000,17252.973818
2008:07:03:10:57:03.000,16969.612701
2008:07:03:11:07:03.000,16681.405937
2008:07:03:11:17:03.000,16388.207772
2008:07:03:11:27:03.000,16089.863301
2008:07:03:11:37:03.000,15786.207666
2008:07:03:11:47:03.000,15477.065135
2008:07:03:11:57:03.000,15162.248105
2008:07:03:12:07:03.000,14841.555831
2008:07:03:12:17:03.000,14514.773288
2008:07:03:12:27:03.000,14181.669589
2008:07:03:12:37:03.000,13841.996353
2008:07:03:12:47:03.000,13495.485841
2008:07:03:12:57:03.000,13141.848691
2008:07:03:13:07:03.000,12780.771654
2008:07:03:13:17:03.000,12411.914684
2008:07:03:13:27:03.000,12034.907817
2008:07:03:13:37:03.000,11649.347399
2008:07:03:13:47:03.000,11254.792137
2008:07:03:13:57:03.000,10850.758256
2008:07:03:14:07:03.000,10436.714256
2008:07:03:14:17:03.000,10012.074814
2008:07:03:14:27:03.000,9576.194608
2008:07:03:14:37:03.000,9128.361477
2008:07:03:14:47:03.000,8667.789903
2008:07:03:14:57:03.000,8193.616463
2008:07:03:15:07:03.000,7704.899022
2008:07:03:15:17:03.000,7200.625191
2008:07:03:15:27:03.000,6679.741310
2008:07:03:15:37:03.000,6141.222932
2008:07:03:15:47:03.000,5584.236843
2008:07:03:15:57:03.000,5008.502657
2008:07:03:16:07:03.000,4415.117663
2008:07:03:16:17:03.000,3808.506718
2008:07:03:16:27:03.000,3201.270976
2008:07:03:16:37:03.000,2626.655710
2008:07:03:16:47:03.000,2167.979895
2008:07:03:16:53:36.674,2007.636600
2008:07:05:23:30:51.545,4109.280323
2008:07:05:23:40:51.000,3429.570937
2008:07:05:23:50:51.000,2742.800345
2008:07:06:00:00:51.000,2109.292738
2008:07:06:00:10:26.834,1717.188159
2008:07:10:14:53:31.357,1582.282492
2008:07:10:15:03:31.000,2058.898153
2008:07:10:15:05:12.847,2170.169116
2008:07:12:22:07:40.074,1704.218620
2008:07:12:22:17:40.000,1943.463350
2008:07:12:22:27:40.000,2498.602613
2008:07:12:22:37:40.000,3151.419891
2008:07:12:22:47:40.000,3816.173999
2008:07:12:22:57:40.000,4465.634980
2008:07:12:23:07:40.000,5091.954677
2008:07:12:23:17:40.000,5693.782601
2008:07:12:23:27:40.000,6271.987072
2008:07:12:23:37:40.000,6828.137773
2008:07:12:23:47:40.000,7363.941265
2008:07:12:23:57:40.000,7881.032453
2008:07:13:00:06:15.383,8311.398716
2008:07:15:05:25:42.024,2059.214639
2008:07:15:05:35:42.000,2265.634303
2008:07:15:05:45:42.000,2713.691338
2008:07:15:05:55:42.000,3264.945318
2008:07:15:06:05:42.000,3848.404077
2008:07:15:06:15:42.000,4433.928841
2008:07:15:06:25:42.000,5009.217048
2008:07:15:06:35:42.000,5569.471451
2008:07:15:06:45:42.000,6113.136008
2008:07:15:06:55:42.000,6640.088030
2008:07:15:07:05:42.000,7150.835305
2008:07:15:07:15:42.000,7646.145826
2008:07:15:07:25:42.000,8126.871927
2008:07:15:07:35:42.000,8593.866928
2008:07:15:07:45:42.000,9047.946704
2008:07:15:07:55:42.000,9489.873120
2008:07:15:08:05:42.000,9920.349207
2008:07:15:08:15:42.000,10340.019815
2008:07:15:08:25:42.000,10749.474544
2008:07:15:08:35:42.000,11149.252155
2008:07:15:08:45:42.000,11539.845249
2008:07:15:08:55:42.000,11921.704551
2008:07:15:09:05:42.000,12295.243251
2008:07:15:09:15:42.000,12660.840767
2008:07:15:09:25:42.000,13018.846343
2008:07:15:09:35:42.000,13369.581923
2008:07:15:09:45:42.000,13713.345024
2008:07:15:09:55:42.000,14050.411136
2008:07:15:10:05:42.000,14381.035835
2008:07:15:10:15:42.000,14705.456813
2008:07:15:10:25:42.000,15023.895377
2008:07:15:10:35:42.000,15336.558072
2008:07:15:10:45:42.000,15643.637982
2008:07:15:10:55:42.000,15945.315913
2008:07:15:11:05:42.000,16241.761422
2008:07:15:11:15:42.000,16533.133879
2008:07:15:11:25:42.000,16819.583140
2008:07:15:11:35:42.000,17101.250424
2008:07:15:11:45:42.000,17378.268969
2008:07:15:11:55:42.000,17650.764646
2008:07:15:12:05:42.000,17918.856520
2008:07:15:12:15:42.000,18182.657328
2008:07:15:12:25:42.000,18442.274033
2008:07:15:12:35:42.000,18697.808094
2008:07:15:12:45:42.000,18949.355946
2008:07:15:12:55:42.000,19197.009314
2008:07:15:13:05:42.000,19440.855533
2008:07:15:13:15:42.000,19680.977835
2008:07:15:13:25:42.000,19917.455613
2008:07:15:13:35:42.000,20150.364645
2008:07:15:13:45:42.000,20379.777394
2008:07:15:13:55:42.000,20605.763100
2008:07:15:14:05:42.000,20828.388041
2008:07:15:14:15:42.000,21047.715695
2008:07:15:14:25:42.000,21263.806899
2008:07:15:14:35:42.000,21476.720000
2008:07:15:14:45:42.000,21686.510991
2008:07:15:14:55:42.000,21893.233643
2008:07:15:15:05:42.000,22096.939625
2008:07:15:15:15:42.000,22297.678597
2008:07:15:15:25:42.000,22495.498383
2008:07:15:15:35:42.000,22690.444963
2008:07:15:15:45:42.000,22882.562637
2008:07:15:15:55:42.000,23071.894088
2008:07:15:16:05:42.000,23258.480461
2008:07:15:16:15:42.000,23442.361441
2008:07:15:16:25:42.000,23623.575318
2008:07:15:16:35:42.000,23802.159057
2008:07:15:16:45:42.000,23978.148351
2008:07:15:16:55:42.000,24151.577690
2008:07:15:17:05:42.000,24322.480403
2008:07:15:17:15:42.000,24490.888703
2008:07:15:17:25:42.000,24656.833792
2008:07:15:17:35:42.000,24820.345813
2008:07:15:17:45:42.000,24981.453957
2008:07:15:17:55:42.000,25140.186486
2008:07:15:18:05:42.000,25296.570773
2008:07:15:18:15:42.000,25450.633335
2008:07:15:18:25:42.000,25602.399869
2008:07:15:18:35:42.000,25751.895286
2008:07:15:18:45:42.000,25899.143737
2008:07:15:18:55:42.000,26044.168646
2008:07:15:19:05:42.000,26186.992734
2008:07:15:19:15:42.000,26327.638048
2008:07:15:19:25:42.000,26466.125987
2008:07:15:19:35:42.000,26602.477308
2008:07:15:19:45:42.000,26736.712201
2008:07:15:19:55:42.000,26868.850237
2008:07:15:20:05:42.000,26998.910436
2008:07:15:20:15:42.000,27126.911275
2008:07:15:20:25:42.000,27252.870704
2008:07:15:20:35:42.000,27376.806167
2008:07:15:20:45:42.000,27498.734617
2008:07:15:20:55:42.000,27618.672533
2008:07:15:21:05:42.000,27736.635930
2008:07:15:21:15:42.000,27852.640383
2008:07:15:21:25:42.000,27966.701032
2008:07:15:21:35:42.000,28078.832601
2008:07:15:21:45:42.000,28189.049406
2008:07:15:21:55:42.000,28297.365372
2008:07:15:22:05:42.000,28403.794041
2008:07:15:22:15:42.000,28508.348576
2008:07:15:22:25:42.000,28611.041807
2008:07:15:22:35:42.000,28711.886185
2008:07:15:22:45:42.000,28810.893833
2008:07:15:22:55:42.000,28908.076540
2008:07:15:23:05:42.000,29003.445775
2008:07:15:23:15:42.000,29097.012694
2008:07:15:23:25:42.000,29188.788146
2008:07:15:23:35:42.000,29278.782683
2008:07:15:23:45:42.000,29367.006570
2008:07:15:23:55:42.000,29453.469787
2008:07:16:00:05:42.000,29538.182038
2008:07:16:00:15:42.000,29621.152760
2008:07:16:00:25:42.000,29702.391127
2008:07:16:00:35:42.000,29781.906056
2008:07:16:00:45:42.000,29859.706215
2008:07:16:00:55:42.000,29935.800025
2008:07:16:01:05:42.000,30010.195671
2008:07:16:01:15:42.000,30082.901096
2008:07:16:01:25:42.000,30153.924031
2008:07:16:01:35:42.000,30223.271969
2008:07:16:01:45:42.000,30290.952184
2008:07:16:01:55:42.000,30356.971739
2008:07:16:02:05:42.000,30421.337484
2008:07:16:02:15:42.000,30484.056065
2008:07:16:02:25:42.000,30545.133922
2008:07:16:02:35:42.000,30604.577299
2008:07:16:02:45:42.000,30662.392243
2008:07:16:02:55:42.000,30718.584609
2008:07:16:03:05:42.000,30773.160066
2008:07:16:03:15:42.000,30826.124094
2008:07:16:03:25:42.000,30877.481994
2008:07:16:03:35:42.000,30927.238886
2008:07:16:03:45:42.000,30975.399716
2008:07:16:03:55:42.000,31021.969254
2008:07:16:04:05:42.000,31066.952099
2008:07:16:04:15:42.000,31110.352684
2008:07:16:04:25:42.000,31152.175270
2008:07:16:04:35:42.000,31192.423966
2008:07:16:04:45:42.000,31231.102707
2008:07:16:04:55:42.000,31268.215274
2008:07:16:05:05:42.000,31303.765289
2008:07:16:05:15:42.000,31337.756220
2008:07:16:05:25:42.000,31370.191378
2008:07:16:05:35:42.000,31401.073925
2008:07:16:05:45:42.000,31430.406871
2008:07:16:05:55:42.000,31458.193077
2008:07:16:06:05:42.000,31484.435256
2008:07:16:06:15:42.000,31509.135975
2008:07:16:06:25:42.000,31532.297657
2008:07:16:06:35:42.000,31553.922580
2008:07:16:06:45:42.000,31574.012881
2008:07:16:06:55:42.000,31592.570553
2008:07:16:07:05:42.000,31609.597451
2008:07:16:07:15:42.000,31625.095289
2008:07:16:07:25:42.000,31639.065643
2008:07:16:07:35:42.000,31651.509950
2008:07:16:07:45:42.000,31662.429509
2008:07:16:07:55:42.000,31671.825487
2008:07:16:08:03:06.989,31677.810611
2008:07:17:12:46:35.817,2646.530390
2008:07:17:12:56:35.000,2917.288963
2008:07:17:13:06:35.000,3323.901858
2008:07:17:13:16:35.000,3799.496127
