"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:18:10:00:00.000,2018:07:27:17:43:56.272,6075836.272
2018:07:27:22:15:28.087,2018:08:10:10:59:27.620,1169039.534
2018:08:10:11:02:54.868,2018:08:10:14:32:37.707,12582.839
2018:08:10:14:38:08.216,2018:08:10:18:06:05.457,12477.241
2018:08:10:18:13:03.897,2018:08:10:21:39:41.175,12397.278
2018:08:10:21:47:51.617,2018:08:11:01:13:21.726,12330.109
2018:08:11:01:22:34.501,2018:08:11:04:47:05.620,12271.119
2018:08:11:04:57:14.043,2018:08:11:08:20:52.007,12217.963
2018:08:11:08:31:51.094,2018:08:11:11:54:40.347,12169.253
2018:08:11:12:06:26.192,2018:08:11:15:28:30.273,12124.082
2018:08:11:15:40:59.704,2018:08:11:19:02:21.524,12081.820
2018:08:11:19:15:31.895,2018:08:11:22:36:13.894,12041.999
2018:08:11:22:50:02.962,2018:08:12:02:10:07.238,12004.276
2018:08:12:02:24:33.056,2018:08:12:05:44:01.437,11968.381
2018:08:12:05:59:02.298,2018:08:12:09:17:56.388,11934.090
2018:08:12:09:33:30.790,2018:08:12:12:51:52.012,11901.222
2018:08:12:13:07:58.604,2018:08:12:16:25:48.246,11869.642
2018:08:12:16:42:25.810,2018:08:12:19:59:45.035,11839.225
2018:08:12:20:16:52.464,2018:08:12:23:33:42.323,11809.859
2018:08:12:23:51:18.613,2018:08:13:03:07:40.076,11781.463
2018:08:13:03:25:44.299,2018:08:13:06:41:38.257,11753.958
2018:08:13:07:00:09.557,2018:08:13:10:15:36.834,11727.278
2018:08:13:10:34:34.419,2018:08:13:13:49:35.780,11701.361
2018:08:13:14:08:58.910,2018:08:13:17:23:35.068,11676.158
2018:08:13:17:43:23.061,2018:08:13:20:57:34.679,11651.618
2018:08:13:21:17:46.889,2018:08:14:00:31:34.595,11627.706
2018:08:14:00:52:10.414,2018:08:14:04:05:34.790,11604.377
2018:08:14:04:26:33.654,2018:08:14:07:39:35.255,11581.602
2018:08:14:08:00:56.624,2018:08:14:11:13:35.978,11559.353
2018:08:14:11:35:19.341,2018:08:14:14:47:36.938,11537.598
2018:08:14:15:09:41.818,2018:08:14:18:21:38.126,11516.308
2018:08:14:18:44:04.063,2018:08:14:21:55:39.533,11495.470
2018:08:14:22:18:26.090,2018:08:15:01:29:41.148,11475.058
2018:08:15:01:52:47.908,2018:08:15:05:03:42.961,11455.053
2018:08:15:05:27:09.528,2018:08:15:08:37:44.964,11435.436
2018:08:15:09:01:30.957,2018:08:15:12:11:47.148,11416.191
2018:08:15:12:35:52.204,2018:08:15:15:45:49.507,11397.302
2018:08:15:16:10:13.277,2018:08:15:19:19:52.032,11378.756
2018:08:15:19:44:34.181,2018:08:15:22:53:54.719,11360.538
2018:08:15:23:18:54.923,2018:08:16:02:27:57.560,11342.636
2018:08:16:02:53:15.510,2018:08:16:06:02:00.550,11325.040
2018:08:16:06:27:35.944,2018:08:16:09:36:03.684,11307.740
2018:08:16:10:01:56.240,2018:08:16:13:10:06.957,11290.717
2018:08:16:13:36:16.393,2018:08:16:16:44:10.364,11273.972
2018:08:16:17:10:36.409,2018:08:16:20:18:13.901,11257.492
2018:08:16:20:44:56.296,2018:08:16:23:52:17.564,11241.268
2018:08:17:00:19:16.057,2018:08:17:03:26:21.349,11225.292
2018:08:17:03:53:35.695,2018:08:17:07:00:25.252,11209.557
2018:08:17:07:27:55.214,2018:08:17:10:34:29.270,11194.055
2018:08:17:11:02:14.618,2018:08:17:14:08:33.402,11178.784
2018:08:17:14:36:33.912,2018:08:17:17:42:37.639,11163.727
2018:08:17:18:10:53.094,2018:08:17:21:16:41.979,11148.885
2018:08:17:21:45:12.171,2018:08:18:00:50:46.425,11134.254
2018:08:18:01:19:31.144,2018:08:18:04:24:50.973,11119.829
2018:08:18:04:53:50.016,2018:08:18:07:58:55.613,11105.597
2018:08:18:08:28:08.791,2018:08:18:11:33:00.351,11091.560
2018:08:18:12:02:27.470,2018:08:18:15:07:05.182,11077.712
2018:08:18:15:36:46.055,2018:08:18:18:41:10.103,11064.048
2018:08:18:19:11:04.550,2018:08:18:22:15:15.114,11050.564
2018:08:18:22:45:22.955,2018:08:19:01:49:20.209,11037.254
2018:08:19:02:19:41.274,2018:08:19:05:23:25.389,11024.116
2018:08:19:05:53:59.507,2018:08:19:08:57:30.652,11011.145
2018:08:19:09:28:17.658,2018:08:19:12:31:35.996,10998.338
2018:08:19:13:02:35.727,2018:08:19:16:05:41.418,10985.691
2018:08:19:16:36:53.717,2018:08:19:19:39:46.919,10973.202
2018:08:19:20:11:11.629,2018:08:19:23:13:52.495,10960.866
2018:08:19:23:45:29.464,2018:08:20:02:47:58.146,10948.682
2018:08:20:03:19:47.224,2018:08:20:06:22:03.867,10936.643
2018:08:20:06:54:04.910,2018:08:20:09:56:09.663,10924.752
2018:08:20:10:28:22.525,2018:08:20:13:30:15.529,10913.004
2018:08:20:14:02:40.067,2018:08:20:17:04:21.464,10901.397
2018:08:20:17:36:57.543,2018:08:20:20:38:27.467,10889.924
2018:08:20:21:11:14.950,2018:08:21:00:12:33.536,10878.587
2018:08:21:00:45:32.290,2018:08:21:03:46:39.671,10867.382
2018:08:21:04:19:49.564,2018:08:21:07:20:45.871,10856.307
2018:08:21:07:54:06.774,2018:08:21:10:54:52.134,10845.361
2018:08:21:11:28:23.922,2018:08:21:14:28:58.460,10834.538
2018:08:21:15:02:41.006,2018:08:21:18:03:04.847,10823.841
2018:08:21:18:36:58.028,2018:08:21:21:37:11.294,10813.266
2018:08:21:22:11:14.988,2018:08:22:01:11:17.800,10802.813
2018:08:22:01:45:31.892,2018:08:22:04:45:24.366,10792.473
2018:08:22:05:19:48.736,2018:08:22:08:19:30.989,10782.252
2018:08:22:08:54:05.523,2018:08:22:11:53:37.669,10772.146
2018:08:22:12:28:22.252,2018:08:22:15:27:44.405,10762.153
2018:08:22:16:02:38.926,2018:08:22:19:01:51.196,10752.270
2018:08:22:19:36:55.542,2018:08:22:22:35:58.042,10742.500
2018:08:22:23:11:12.107,2018:08:23:02:10:04.942,10732.834
2018:08:23:02:45:28.615,2018:08:23:05:44:11.894,10723.280
2018:08:23:06:19:45.073,2018:08:23:09:18:18.900,10713.827
2018:08:23:09:54:01.479,2018:08:23:12:52:25.958,10704.479
2018:08:23:13:28:17.834,2018:08:23:16:26:33.065,10695.231
2018:08:23:17:02:34.139,2018:08:23:20:00:40.223,10686.085
2018:08:23:20:36:50.393,2018:08:23:23:34:47.433,10677.040
2018:08:24:00:11:06.597,2018:08:24:03:08:54.688,10668.090
2018:08:24:03:45:22.754,2018:08:24:06:43:01.994,10659.241
2018:08:24:07:19:38.862,2018:08:24:10:17:09.348,10650.486
2018:08:24:10:53:54.922,2018:08:24:13:51:16.749,10641.826
2018:08:24:14:28:10.936,2018:08:24:17:25:24.197,10633.261
2018:08:24:18:02:26.904,2018:08:24:20:59:31.691,10624.787
2018:08:24:21:36:42.826,2018:08:25:00:33:39.231,10616.405
2018:08:25:01:10:58.703,2018:08:25:04:07:46.817,10608.114
2018:08:25:04:45:14.535,2018:08:25:07:41:54.447,10599.912
2018:08:25:08:19:30.324,2018:08:25:11:16:02.122,10591.798
2018:08:25:11:53:46.069,2018:08:25:14:50:09.840,10583.772
2018:08:25:15:28:01.770,2018:08:25:18:24:17.602,10575.832
2018:08:25:19:02:17.429,2018:08:25:21:58:25.409,10567.980
2018:08:25:22:36:33.046,2018:08:26:01:32:33.255,10560.209
2018:08:26:02:10:48.619,2018:08:26:05:06:41.145,10552.526
2018:08:26:05:45:04.155,2018:08:26:08:40:49.076,10544.921
2018:08:26:09:19:19.646,2018:08:26:12:14:57.049,10537.402
2018:08:26:12:53:35.099,2018:08:26:15:49:05.062,10529.963
2018:08:26:16:27:50.513,2018:08:26:19:23:13.118,10522.605
2018:08:26:20:02:05.889,2018:08:26:22:57:21.210,10515.321
2018:08:26:23:36:21.224,2018:08:27:02:31:29.344,10508.120
2018:08:27:03:10:36.518,2018:08:27:06:05:37.520,10501.002
2018:08:27:06:44:51.776,2018:08:27:09:39:45.732,10493.956
2018:08:27:10:19:06.996,2018:08:27:13:13:53.983,10486.987
2018:08:27:13:53:22.179,2018:08:27:16:48:02.272,10480.093
2018:08:27:17:27:37.325,2018:08:27:20:22:10.599,10473.274
2018:08:27:21:01:52.434,2018:08:27:23:56:18.964,10466.530
2018:08:28:00:36:07.509,2018:08:28:03:30:27.363,10459.854
2018:08:28:04:10:22.546,2018:08:28:07:04:35.805,10453.259
2018:08:28:07:44:37.547,2018:08:28:10:38:44.278,10446.731
2018:08:28:11:18:52.511,2018:08:28:14:12:52.792,10440.281
2018:08:28:14:53:07.443,2018:08:28:17:47:01.340,10433.898
2018:08:28:18:27:22.341,2018:08:28:21:21:09.924,10427.583
2018:08:28:22:01:37.203,2018:08:29:00:55:18.543,10421.339
2018:08:29:01:35:52.030,2018:08:29:04:29:27.194,10415.164
2018:08:29:05:10:06.827,2018:08:29:08:03:35.883,10409.056
2018:08:29:08:44:21.588,2018:08:29:11:37:44.608,10403.020
2018:08:29:12:18:36.315,2018:08:29:15:11:53.366,10397.051
2018:08:29:15:52:51.013,2018:08:29:18:46:02.157,10391.144
2018:08:29:19:27:05.674,2018:08:29:22:20:10.979,10385.305
2018:08:29:23:01:20.306,2018:08:30:01:54:19.838,10379.532
2018:08:30:02:35:34.906,2018:08:30:05:28:28.731,10373.825
2018:08:30:06:09:49.477,2018:08:30:09:02:37.655,10368.178
2018:08:30:09:44:04.014,2018:08:30:12:36:46.611,10362.598
2018:08:30:13:18:18.520,2018:08:30:16:10:55.598,10357.078
2018:08:30:16:52:32.994,2018:08:30:19:45:04.619,10351.624
2018:08:30:20:26:47.441,2018:08:30:23:19:13.671,10346.230
2018:08:31:00:01:01.857,2018:08:31:02:53:22.757,10340.900
2018:08:31:03:35:16.241,2018:08:31:06:27:31.870,10335.629
2018:08:31:07:09:30.598,2018:08:31:10:01:41.016,10330.417
2018:08:31:10:43:44.925,2018:08:31:13:35:50.194,10325.269
2018:08:31:14:17:59.221,2018:08:31:17:09:59.401,10320.179
2018:08:31:17:52:13.492,2018:08:31:20:44:08.638,10315.146
2018:08:31:21:26:27.731,2018:09:01:00:18:17.903,10310.172
2018:09:01:01:00:41.945,2018:09:01:03:52:27.199,10305.254
2018:09:01:04:34:56.129,2018:09:01:07:26:36.527,10300.397
2018:09:01:08:09:10.287,2018:09:01:11:00:45.881,10295.595
2018:09:01:11:43:24.413,2018:09:01:14:34:55.264,10290.850
2018:09:01:15:17:38.517,2018:09:01:18:09:04.675,10286.158
2018:09:01:18:51:52.593,2018:09:01:21:43:14.116,10281.523
2018:09:01:22:26:06.640,2018:09:02:01:17:23.587,10276.947
