"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:11:02:45.827,2018:05:17:17:27:58.893,23113.066
2018:05:17:19:33:46.055,2018:05:18:01:58:59.134,23113.080
2018:05:18:04:04:46.298,2018:05:18:10:29:59.389,23113.091
2018:05:18:12:35:46.554,2018:05:18:19:00:59.649,23113.095
2018:05:18:21:06:46.819,2018:05:19:03:31:59.926,23113.107
2018:05:19:05:37:47.098,2018:05:19:12:03:00.214,23113.116
2018:05:19:14:08:47.386,2018:05:19:20:34:00.508,23113.121
2018:05:19:22:39:47.682,2018:05:20:05:05:00.816,23113.134
2018:05:20:07:10:47.992,2018:05:20:13:36:01.130,23113.138
2018:05:20:15:41:48.310,2018:05:20:22:07:01.454,23113.144
2018:05:21:00:12:48.633,2018:05:21:06:38:01.784,23113.151
2018:05:21:08:43:48.963,2018:05:21:15:09:02.118,23113.155
2018:05:21:17:14:49.296,2018:05:21:23:40:02.451,23113.155
2018:05:22:01:45:49.629,2018:05:22:08:11:02.790,23113.161
2018:05:22:10:16:49.968,2018:05:22:16:42:03.126,23113.158
2018:05:22:18:47:50.305,2018:05:23:01:13:03.462,23113.157
2018:05:23:03:18:50.639,2018:05:23:09:44:03.795,23113.156
2018:05:23:11:49:50.970,2018:05:23:18:15:04.120,23113.150
2018:05:23:20:20:51.295,2018:05:24:02:46:04.441,23113.146
2018:05:24:04:51:51.611,2018:05:24:11:17:04.756,23113.145
2018:05:24:13:22:51.923,2018:05:24:19:48:05.058,23113.136
2018:05:24:21:53:52.226,2018:05:25:04:19:05.354,23113.128
2018:05:25:06:24:52.518,2018:05:25:12:50:05.640,23113.122
2018:05:25:14:55:52.799,2018:05:25:21:21:05.910,23113.111
2018:05:25:23:26:53.069,2018:05:26:05:52:06.171,23113.103
2018:05:26:07:57:53.324,2018:05:26:14:23:06.423,23113.099
2018:05:26:16:28:53.572,2018:05:26:22:54:06.657,23113.086
2018:05:27:00:59:53.806,2018:05:27:07:25:06.883,23113.077
2018:05:27:09:30:54.026,2018:05:27:15:56:07.097,23113.071
2018:05:27:18:01:54.238,2018:05:28:00:27:07.296,23113.058
2018:05:28:02:32:54.436,2018:05:28:08:58:07.485,23113.049
2018:05:28:11:03:54.620,2018:05:28:17:29:07.663,23113.043
2018:05:28:19:34:54.797,2018:05:29:02:00:07.832,23113.034
2018:05:29:04:05:54.965,2018:05:29:10:31:07.992,23113.027
2018:05:29:12:36:55.119,2018:05:29:19:02:08.143,23113.024
2018:05:29:21:07:55.269,2018:05:30:03:33:08.282,23113.013
2018:05:30:05:38:55.409,2018:05:30:12:04:08.416,23113.007
2018:05:30:14:09:55.539,2018:05:30:20:35:08.545,23113.005
2018:05:30:22:40:55.668,2018:05:31:05:06:08.667,23112.999
2018:05:31:07:11:55.790,2018:05:31:13:37:08.786,23112.995
2018:05:31:15:42:55.905,2018:05:31:22:08:08.901,23112.996
2018:06:01:00:13:56.020,2018:06:01:06:39:09.009,23112.988
2018:06:01:08:44:56.130,2018:06:01:15:10:09.116,23112.986
2018:06:01:17:15:56.235,2018:06:01:23:41:09.222,23112.987
2018:06:02:01:46:56.342,2018:06:02:08:12:09.326,23112.984
2018:06:02:10:17:56.447,2018:06:02:16:43:09.431,23112.984
2018:06:02:18:48:56.549,2018:06:03:01:14:09.535,23112.986
2018:06:03:03:19:56.654,2018:06:03:09:45:09.636,23112.982
2018:06:03:11:50:56.754,2018:06:03:18:16:09.739,23112.985
2018:06:03:20:21:56.858,2018:06:04:02:47:09.843,23112.985
2018:06:04:04:52:56.964,2018:06:04:11:18:09.947,23112.983
2018:06:04:13:23:57.069,2018:06:04:19:49:10.053,23112.984
2018:06:04:21:54:57.173,2018:06:05:04:20:10.161,23112.988
2018:06:05:06:25:57.282,2018:06:05:12:51:10.265,23112.983
2018:06:05:14:56:57.386,2018:06:05:21:22:10.373,23112.987
2018:06:05:23:27:57.495,2018:06:06:05:53:10.483,23112.988
2018:06:06:07:58:57.606,2018:06:06:14:24:10.593,23112.986
2018:06:06:16:29:57.718,2018:06:06:22:55:10.705,23112.987
2018:06:07:01:00:57.828,2018:06:07:07:26:10.819,23112.991
2018:06:07:09:31:57.943,2018:06:07:15:57:10.930,23112.987
2018:06:07:18:02:58.054,2018:06:08:00:28:11.046,23112.992
2018:06:08:02:33:58.170,2018:06:08:08:59:11.163,23112.992
2018:06:08:11:04:58.289,2018:06:08:17:30:11.280,23112.991
2018:06:08:19:35:58.409,2018:06:09:02:01:11.402,23112.993
2018:06:09:04:06:58.528,2018:06:09:10:32:11.526,23112.998
2018:06:09:12:37:58.653,2018:06:09:19:03:11.649,23112.995
2018:06:09:21:08:58.776,2018:06:10:03:34:11.777,23113.001
2018:06:10:05:39:58.906,2018:06:10:12:05:11.910,23113.004
2018:06:10:14:10:59.042,2018:06:10:20:36:12.047,23113.005
2018:06:10:22:41:59.181,2018:06:11:05:07:12.190,23113.010
2018:06:11:07:12:59.323,2018:06:11:13:38:12.340,23113.018
2018:06:11:15:43:59.475,2018:06:11:22:09:12.493,23113.018
2018:06:12:00:14:59.629,2018:06:12:06:40:12.657,23113.028
2018:06:12:08:45:59.795,2018:06:12:15:11:12.830,23113.035
2018:06:12:17:16:59.971,2018:06:12:23:42:13.011,23113.040
2018:06:13:01:48:00.154,2018:06:13:08:13:13.205,23113.051
2018:06:13:10:19:00.350,2018:06:13:16:44:13.411,23113.060
2018:06:13:18:50:00.558,2018:06:14:01:15:13.624,23113.065
2018:06:14:03:21:00.774,2018:06:14:09:46:13.852,23113.078
2018:06:14:11:52:01.005,2018:06:14:18:17:14.093,23113.088
2018:06:14:20:23:01.250,2018:06:15:02:48:14.345,23113.095
2018:06:15:04:54:01.502,2018:06:15:11:19:14.612,23113.110
2018:06:15:13:25:01.773,2018:06:15:19:50:14.891,23113.118
2018:06:15:21:56:02.054,2018:06:16:04:21:15.177,23113.123
2018:06:16:06:27:02.342,2018:06:16:12:52:15.476,23113.134
2018:06:16:14:58:02.644,2018:06:16:21:23:15.786,23113.142
2018:06:16:23:29:02.955,2018:06:17:05:54:16.101,23113.146
2018:06:17:08:00:03.270,2018:06:17:14:25:16.426,23113.157
2018:06:17:16:31:03.597,2018:06:17:22:56:16.757,23113.159
2018:06:18:01:02:03.928,2018:06:18:07:27:17.087,23113.158
2018:06:18:09:33:04.258,2018:06:18:15:58:17.421,23113.164
2018:06:18:18:04:04.593,2018:06:19:00:29:17.758,23113.165
2018:06:19:02:35:04.929,2018:06:19:09:00:18.091,23113.161
2018:06:19:11:06:05.259,2018:06:19:17:31:18.424,23113.165
2018:06:19:19:37:05.592,2018:06:20:02:02:18.752,23113.160
