"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:00:00.000,2018:07:27:16:47:28.310,6158848.310
2018:07:27:17:37:57.552,2018:07:27:18:39:41.345,3703.793
2018:07:27:21:40:08.324,2018:08:14:19:42:08.193,1548119.869
2018:08:14:19:47:57.925,2018:08:15:04:11:34.060,30216.135
2018:08:15:04:20:08.387,2018:08:15:12:41:20.471,30072.084
2018:08:15:12:51:58.460,2018:08:15:21:11:17.054,29958.594
2018:08:15:21:23:38.520,2018:08:16:05:41:20.034,29861.514
2018:08:16:05:55:12.347,2018:08:16:14:11:27.533,29775.187
2018:08:16:14:26:41.811,2018:08:16:22:41:38.457,29696.646
2018:08:16:22:58:08.008,2018:08:17:07:11:52.101,29624.093
2018:08:17:07:29:31.657,2018:08:17:15:42:07.979,29556.322
2018:08:17:16:00:53.229,2018:08:18:00:12:25.745,29492.516
2018:08:18:00:32:13.079,2018:08:18:08:42:45.138,29432.059
2018:08:18:09:03:31.470,2018:08:18:17:13:05.958,29374.488
2018:08:18:17:34:48.600,2018:08:19:01:43:28.045,29319.445
2018:08:19:02:06:04.640,2018:08:19:10:13:51.279,29266.639
2018:08:19:10:37:19.714,2018:08:19:18:44:15.552,29215.839
2018:08:19:19:08:33.932,2018:08:20:03:14:40.782,29166.850
2018:08:20:03:39:47.374,2018:08:20:11:45:06.899,29119.525
2018:08:20:12:11:00.115,2018:08:20:20:15:33.837,29073.723
2018:08:20:20:42:12.226,2018:08:21:04:46:01.550,29029.324
2018:08:21:05:13:23.759,2018:08:21:13:16:29.992,28986.233
2018:08:21:13:44:34.752,2018:08:21:21:46:59.130,28944.378
2018:08:21:22:15:45.261,2018:08:22:06:17:28.928,28903.667
2018:08:22:06:46:55.310,2018:08:22:14:47:59.361,28864.051
2018:08:22:15:18:04.939,2018:08:22:23:18:30.401,28825.462
2018:08:22:23:49:14.173,2018:08:23:07:49:02.027,28787.854
2018:08:23:08:20:23.038,2018:08:23:16:19:34.223,28751.185
2018:08:23:16:51:31.554,2018:08:24:00:50:06.966,28715.412
2018:08:24:01:22:39.745,2018:08:24:09:20:40.249,28680.504
