"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:18:14:32:04.596,2018:05:18:17:37:50.438,11145.842
2018:05:18:22:39:42.394,2018:05:19:01:45:28.344,11145.950
2018:05:19:06:47:20.444,2018:05:19:09:53:06.502,11146.058
2018:05:19:14:54:58.744,2018:05:19:18:00:44.915,11146.170
2018:05:19:23:02:37.314,2018:05:20:02:08:23.601,11146.287
2018:05:20:07:10:16.154,2018:05:20:10:16:02.554,11146.401
2018:05:20:15:17:55.275,2018:05:20:18:23:41.783,11146.509
2018:05:20:23:25:34.664,2018:05:21:02:31:21.286,11146.623
2018:05:21:07:33:14.336,2018:05:21:10:39:01.068,11146.732
2018:05:21:15:40:54.288,2018:05:21:18:46:41.124,11146.835
2018:05:21:23:48:34.510,2018:05:22:02:54:21.445,11146.935
2018:05:22:07:56:15.004,2018:05:22:11:02:02.041,11147.037
2018:05:22:16:03:55.762,2018:05:22:19:09:42.892,11147.130
2018:05:23:00:11:36.779,2018:05:23:03:17:23.993,11147.214
2018:05:23:08:19:18.034,2018:05:23:11:25:05.332,11147.298
2018:05:23:16:26:59.529,2018:05:23:19:32:46.906,11147.377
2018:05:24:00:34:41.248,2018:05:24:03:40:28.695,11147.447
2018:05:24:08:42:23.173,2018:05:24:11:48:10.683,11147.510
2018:05:24:16:50:05.296,2018:05:24:19:55:52.869,11147.573
2018:05:25:00:57:47.596,2018:05:25:04:03:35.222,11147.626
2018:05:25:09:05:30.064,2018:05:25:12:11:17.733,11147.669
2018:05:25:17:13:12.667,2018:05:25:20:19:00.378,11147.711
2018:05:26:01:20:55.401,2018:05:26:04:26:43.149,11147.748
2018:05:26:09:28:38.243,2018:05:26:12:34:26.018,11147.775
2018:05:26:17:36:21.171,2018:05:26:20:42:08.964,11147.794
2018:05:27:01:44:04.167,2018:05:27:04:49:51.981,11147.814
2018:05:27:09:51:47.210,2018:05:27:12:57:35.033,11147.824
2018:05:27:17:59:30.284,2018:05:27:21:05:18.107,11147.823
2018:05:28:02:07:13.355,2018:05:28:05:13:01.178,11147.822
2018:05:28:10:14:56.417,2018:05:28:13:20:44.233,11147.816
2018:05:28:18:22:39.444,2018:05:28:21:28:27.244,11147.800
2018:05:29:02:30:22.413,2018:05:29:05:36:10.190,11147.777
2018:05:29:10:38:05.309,2018:05:29:13:43:53.063,11147.754
2018:05:29:18:45:48.110,2018:05:29:21:51:35.832,11147.722
2018:05:30:02:53:30.802,2018:05:30:05:59:18.481,11147.679
2018:05:30:11:01:13.355,2018:05:30:14:07:00.991,11147.636
2018:05:30:19:08:55.763,2018:05:30:22:14:43.351,11147.588
2018:05:31:03:16:38.006,2018:05:31:06:22:25.537,11147.531
2018:05:31:11:24:20.066,2018:05:31:14:30:07.532,11147.465
2018:05:31:19:32:01.933,2018:05:31:22:37:49.335,11147.402
2018:06:01:03:39:43.590,2018:06:01:06:45:30.919,11147.329
2018:06:01:11:47:25.030,2018:06:01:14:53:12.277,11147.247
2018:06:01:19:55:06.231,2018:06:01:23:00:53.395,11147.164
2018:06:02:04:02:47.194,2018:06:02:07:08:34.272,11147.078
2018:06:02:12:10:27.907,2018:06:02:15:16:14.892,11146.985
2018:06:02:20:18:08.363,2018:06:02:23:23:55.252,11146.889
2018:06:03:04:25:48.557,2018:06:03:07:31:35.345,11146.788
2018:06:03:12:33:28.484,2018:06:03:15:39:15.169,11146.685
2018:06:03:20:41:08.147,2018:06:03:23:46:54.723,11146.576
2018:06:04:04:48:47.534,2018:06:04:07:54:34.001,11146.467
2018:06:04:12:56:26.655,2018:06:04:16:02:13.017,11146.362
2018:06:04:21:04:05.510,2018:06:05:00:09:51.762,11146.252
2018:06:05:05:11:44.108,2018:06:05:08:17:30.246,11146.138
2018:06:05:13:19:22.439,2018:06:05:16:25:08.471,11146.032
2018:06:05:21:27:00.525,2018:06:06:00:32:46.452,11145.927
2018:06:06:05:34:38.370,2018:06:06:08:40:24.192,11145.822
2018:06:06:13:42:15.981,2018:06:06:16:48:01.699,11145.718
2018:06:06:21:49:53.372,2018:06:07:00:55:38.999,11145.627
2018:06:07:05:57:30.556,2018:06:07:09:03:16.091,11145.536
2018:06:07:14:05:07.548,2018:06:07:17:10:52.996,11145.448
2018:06:07:22:12:44.356,2018:06:08:01:18:29.724,11145.368
2018:06:08:06:20:21.004,2018:06:08:09:26:06.305,11145.301
