"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:07:27:18:22:51.533,2018:07:27:19:10:20.332,2848.798
2018:07:27:20:36:33.728,2018:07:27:21:49:31.753,4378.025
2018:08:29:00:59:20.846,2018:08:29:01:05:52.111,391.265
2018:08:29:09:04:03.811,2018:08:29:09:16:27.085,743.274
2018:08:29:17:09:48.626,2018:08:29:17:13:12.866,204.240
2018:08:29:17:22:35.994,2018:08:29:17:26:00.227,204.233
2018:08:30:01:15:57.268,2018:08:30:01:18:34.582,157.314
2018:08:30:01:32:32.255,2018:08:30:01:35:09.561,157.306
2018:08:30:09:22:19.761,2018:08:30:09:24:33.158,133.398
2018:08:30:09:41:51.670,2018:08:30:09:44:05.062,133.392
2018:08:30:17:28:51.671,2018:08:30:17:30:49.840,118.169
2018:08:30:17:50:53.003,2018:08:30:17:52:51.165,118.162
2018:08:31:01:35:30.562,2018:08:31:01:37:17.940,107.378
2018:08:31:01:59:42.935,2018:08:31:02:01:30.310,107.375
2018:08:31:09:42:14.914,2018:08:31:09:43:54.141,99.228
2018:08:31:10:08:24.787,2018:08:31:10:10:04.010,99.224
2018:08:31:17:49:03.710,2018:08:31:17:50:36.509,92.798
2018:08:31:18:17:00.491,2018:08:31:18:18:33.285,92.794
2018:09:01:01:55:56.225,2018:09:01:01:57:23.794,87.569
2018:09:01:02:25:31.299,2018:09:01:02:26:58.861,87.561
2018:09:01:10:02:51.924,2018:09:01:10:04:15.128,83.204
2018:09:01:10:33:58.074,2018:09:01:10:35:21.275,83.201
2018:09:01:18:09:50.387,2018:09:01:18:11:09.891,79.504
2018:09:01:18:42:21.442,2018:09:01:18:43:40.942,79.499
2018:09:02:02:16:51.293,2018:09:02:02:18:07.607,76.314
2018:09:02:02:50:41.876,2018:09:02:02:51:58.188,76.311
2018:09:02:10:23:54.374,2018:09:02:10:25:07.907,73.532
2018:09:02:10:58:59.745,2018:09:02:11:00:13.272,73.528
2018:09:02:18:30:59.416,2018:09:02:18:32:10.499,71.083
2018:09:02:19:07:15.340,2018:09:02:19:08:26.418,71.078
2018:09:03:02:38:06.238,2018:09:03:02:39:15.146,68.908
2018:09:03:03:15:28.901,2018:09:03:03:16:37.802,68.901
2018:09:03:10:45:14.686,2018:09:03:10:46:21.646,66.960
2018:09:03:11:23:40.624,2018:09:03:11:24:47.577,66.953
2018:09:03:18:52:24.632,2018:09:03:18:53:29.835,65.204
2018:09:03:19:31:50.672,2018:09:03:19:32:55.871,65.200
2018:09:04:02:59:35.960,2018:09:04:03:00:39.571,63.612
2018:09:04:03:39:59.191,2018:09:04:03:41:02.799,63.607
2018:09:04:11:06:48.571,2018:09:04:11:07:50.734,62.163
2018:09:04:11:48:06.299,2018:09:04:11:49:08.457,62.159
2018:09:04:19:14:02.379,2018:09:04:19:15:03.217,60.838
2018:09:04:19:56:12.100,2018:09:04:19:57:12.934,60.834
2018:09:05:03:21:17.307,2018:09:05:03:22:16.928,59.622
2018:09:05:04:04:16.686,2018:09:05:04:05:16.304,59.618
2018:09:05:11:28:33.284,2018:09:05:11:29:31.785,58.501
2018:09:05:12:12:20.136,2018:09:05:12:13:18.636,58.500
2018:09:05:19:35:50.248,2018:09:05:19:36:47.713,57.465
2018:09:05:20:20:22.529,2018:09:05:20:21:19.987,57.459
2018:09:06:03:43:08.144,2018:09:06:03:44:04.649,56.505
2018:09:06:04:28:23.921,2018:09:06:04:29:20.419,56.499
2018:09:06:11:50:26.921,2018:09:06:11:51:22.533,55.612
2018:09:06:12:36:24.370,2018:09:06:12:37:19.980,55.610
2018:09:06:19:57:46.531,2018:09:06:19:58:41.312,54.781
2018:09:06:20:44:23.932,2018:09:06:20:45:18.711,54.779
2018:09:07:04:05:06.933,2018:09:07:04:06:00.938,54.005
2018:09:07:04:52:22.654,2018:09:07:04:53:16.655,54.001
2018:09:07:12:12:28.088,2018:09:07:12:13:21.366,53.279
2018:09:07:13:00:20.574,2018:09:07:13:01:13.850,53.275
2018:09:07:20:19:49.959,2018:09:07:20:20:42.558,52.598
2018:09:07:21:08:17.734,2018:09:07:21:09:10.329,52.595
2018:09:08:04:27:12.515,2018:09:08:04:28:04.475,51.960
2018:09:08:05:16:14.168,2018:09:08:05:17:06.124,51.956
2018:09:08:12:34:35.725,2018:09:08:12:35:27.084,51.359
2018:09:08:13:24:09.907,2018:09:08:13:25:01.263,51.356
2018:09:08:20:41:59.561,2018:09:08:20:42:50.355,50.794
2018:09:08:21:32:04.982,2018:09:08:21:32:55.773,50.791
2018:09:09:04:49:23.998,2018:09:09:04:50:14.259,50.261
2018:09:09:05:39:59.419,2018:09:09:05:40:49.677,50.258
2018:09:09:12:56:49.012,2018:09:09:12:57:38.771,49.760
2018:09:09:13:47:53.242,2018:09:09:13:48:42.998,49.756
2018:09:09:21:04:14.585,2018:09:09:21:05:03.868,49.283
2018:09:09:21:55:46.474,2018:09:09:21:56:35.755,49.281
2018:09:10:05:11:40.693,2018:09:10:05:12:29.529,48.836
2018:09:10:06:03:39.134,2018:09:10:06:04:27.967,48.833
2018:09:10:13:19:07.318,2018:09:10:13:19:55.730,48.412
2018:09:10:14:11:31.242,2018:09:10:14:12:19.651,48.409
2018:09:10:21:26:34.447,2018:09:10:21:27:22.460,48.013
2018:09:10:22:19:22.813,2018:09:10:22:20:10.821,48.008
2018:09:11:05:34:02.064,2018:09:11:05:34:49.698,47.633
2018:09:11:06:27:13.864,2018:09:11:06:28:01.492,47.628
2018:09:11:13:41:30.157,2018:09:11:13:42:17.429,47.272
2018:09:11:14:35:04.407,2018:09:11:14:35:51.676,47.269
2018:09:11:21:48:58.714,2018:09:11:21:49:45.644,46.930
2018:09:11:22:42:54.456,2018:09:11:22:43:41.385,46.929
2018:09:12:05:56:27.722,2018:09:12:05:57:14.332,46.610
2018:09:12:06:50:44.021,2018:09:12:06:51:30.629,46.608
2018:09:12:14:03:57.172,2018:09:12:14:04:43.476,46.304
2018:09:12:14:58:33.113,2018:09:12:14:59:19.416,46.304
2018:09:12:22:11:27.056,2018:09:12:22:12:13.075,46.019
2018:09:12:23:06:21.737,2018:09:12:23:07:07.753,46.016
2018:09:13:06:18:57.367,2018:09:13:06:19:43.114,45.747
2018:09:13:07:14:09.910,2018:09:13:07:14:55.655,45.744
2018:09:13:14:26:28.098,2018:09:13:14:27:13.589,45.490
2018:09:13:15:21:57.630,2018:09:13:15:22:43.118,45.488
2018:09:13:22:33:59.243,2018:09:13:22:34:44.492,45.249
2018:09:13:23:29:44.909,2018:09:13:23:30:30.158,45.249
2018:09:14:06:41:30.798,2018:09:14:06:42:15.820,45.022
2018:09:14:07:37:31.751,2018:09:14:07:38:16.772,45.022
2018:09:14:14:49:02.757,2018:09:14:14:49:47.566,44.808
2018:09:14:15:45:18.161,2018:09:14:15:46:02.967,44.806
2018:09:14:22:56:35.118,2018:09:14:22:57:19.726,44.608
2018:09:14:23:53:04.143,2018:09:14:23:53:48.750,44.607
