"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:14:32:47.967,4407.311980
2018:05:17:15:32:47.000,3232.200475
2018:05:17:16:32:47.000,3162.520614
2018:05:17:17:32:47.000,4283.003582
2018:05:17:17:38:20.480,4407.312106
2018:05:17:22:40:27.613,4407.311880
2018:05:17:23:40:27.000,3232.121206
2018:05:18:00:40:27.000,3162.587930
2018:05:18:01:40:27.000,4283.133578
2018:05:18:01:46:00.131,4407.312007
2018:05:18:06:48:07.272,4407.312105
2018:05:18:07:48:07.000,3232.045258
2018:05:18:08:48:07.000,3162.652430
2018:05:18:09:48:07.000,4283.258081
2018:05:18:09:53:39.797,4407.312101
2018:05:18:14:55:46.947,4407.312019
2018:05:18:15:55:46.000,3232.196778
2018:05:18:16:55:46.000,3162.522102
2018:05:18:17:55:46.000,4283.005005
2018:05:18:18:01:19.475,4407.311535
2018:05:18:23:03:26.636,4407.312106
2018:05:19:00:03:26.000,3232.127397
2018:05:19:01:03:26.000,3162.580994
2018:05:19:02:03:26.000,4283.118664
2018:05:19:02:08:59.171,4407.311979
2018:05:19:07:11:06.342,4407.310941
2018:05:19:08:11:06.000,3232.061185
2018:05:19:09:11:06.000,3162.637216
2018:05:19:10:11:06.000,4283.227146
2018:05:19:10:16:38.880,4407.312046
2018:05:19:15:18:46.056,4407.312082
2018:05:19:16:18:46.000,3231.997987
2018:05:19:17:18:46.000,3162.690905
2018:05:19:18:18:46.000,4283.330730
2018:05:19:18:24:18.597,4407.310415
2018:05:19:23:26:25.785,4407.311989
2018:05:20:00:26:25.000,3232.161726
2018:05:20:01:26:25.000,3162.550213
2018:05:20:02:26:25.000,4283.057675
2018:05:20:02:31:58.336,4407.312106
2018:05:20:07:34:05.526,4407.312106
2018:05:20:08:34:05.000,3232.103860
2018:05:20:09:34:05.000,3162.599398
2018:05:20:10:34:05.000,4283.152634
2018:05:20:10:39:38.080,4407.311991
2018:05:20:15:41:45.281,4407.310387
2018:05:20:16:41:45.000,3232.048246
2018:05:20:17:41:45.000,3162.646716
2018:05:20:18:41:45.000,4283.244015
2018:05:20:18:47:17.835,4407.312085
2018:05:20:23:49:25.036,4407.312042
2018:05:21:00:49:25.000,3231.994545
2018:05:21:01:49:25.000,3162.692460
2018:05:21:02:49:25.000,4283.332393
2018:05:21:02:54:57.595,4407.311019
2018:05:21:07:57:04.803,4407.312106
2018:05:21:08:57:04.000,3232.166520
