"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:18:20:48:55.815,2018:05:19:05:42:25.574,32009.759
2018:05:19:17:10:24.433,2018:05:20:02:03:54.282,32009.849
2018:05:20:13:31:53.236,2018:05:20:22:25:23.154,32009.918
2018:05:21:09:53:22.189,2018:05:21:18:46:52.148,32009.960
2018:05:22:06:14:51.208,2018:05:22:15:08:21.178,32009.970
2018:05:23:02:36:20.234,2018:05:23:11:29:50.187,32009.953
2018:05:23:22:57:49.195,2018:05:24:07:51:19.092,32009.897
2018:05:24:19:19:18.012,2018:05:25:04:12:47.832,32009.820
2018:05:25:15:40:46.652,2018:05:26:00:34:16.380,32009.727
2018:05:26:12:02:15.064,2018:05:26:20:55:44.689,32009.625
2018:05:27:08:23:43.250,2018:05:27:17:17:12.772,32009.522
2018:05:28:04:45:11.199,2018:05:28:13:38:40.620,32009.421
2018:05:29:01:06:38.929,2018:05:29:10:00:08.268,32009.339
2018:05:29:21:28:06.481,2018:05:30:06:21:35.749,32009.268
2018:05:30:17:49:33.872,2018:05:31:02:43:03.085,32009.213
2018:05:31:14:11:01.159,2018:05:31:23:04:30.334,32009.175
2018:06:01:10:32:28.359,2018:06:01:19:25:57.510,32009.152
2018:06:02:06:53:55.523,2018:06:02:15:47:24.663,32009.140
2018:06:03:03:15:22.663,2018:06:03:12:08:51.796,32009.134
2018:06:03:23:36:49.798,2018:06:04:08:30:18.939,32009.142
2018:06:04:19:58:16.953,2018:06:05:04:51:46.102,32009.149
2018:06:05:16:19:44.117,2018:06:06:01:13:13.275,32009.158
2018:06:06:12:41:11.311,2018:06:06:21:34:40.479,32009.168
2018:06:07:09:02:38.517,2018:06:07:17:56:07.695,32009.178
2018:06:08:05:24:05.752,2018:06:08:14:17:34.947,32009.195
2018:06:09:01:45:33.023,2018:06:09:10:39:02.231,32009.209
2018:06:09:22:07:00.330,2018:06:10:07:00:29.565,32009.235
2018:06:10:18:28:27.714,2018:06:11:03:21:56.989,32009.275
2018:06:11:14:49:55.188,2018:06:11:23:43:24.519,32009.331
2018:06:12:11:11:22.811,2018:06:12:20:04:52.216,32009.405
2018:06:13:07:32:50.604,2018:06:13:16:26:20.100,32009.496
2018:06:14:03:54:18.618,2018:06:14:12:47:48.220,32009.603
2018:06:15:00:15:46.873,2018:06:15:09:09:16.578,32009.705
2018:06:15:20:37:15.359,2018:06:16:05:30:45.163,32009.803
2018:06:16:16:58:44.071,2018:06:17:01:52:13.956,32009.885
