"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:07:18:18:22:23.626,2018:08:07:18:15:52.555,1727608.929
2018:07:27:17:45:36.281,2018:07:27:18:55:50.968,4214.687
2018:07:27:18:55:50.968,2018:07:27:21:40:52.405,9901.437
2018:07:27:21:40:52.405,2018:07:27:22:51:05.148,4212.743
2018:08:07:18:15:52.555,2019:01:07:11:44:12.995,13195700.440
2019:01:07:11:44:12.995,2019:01:25:12:13:32.013,1556959.018
2019:01:21:03:05:38.793,2019:01:21:04:00:47.359,3308.566
2019:01:21:04:00:47.359,2019:01:21:06:32:00.185,9072.825
2019:01:21:06:32:00.185,2019:01:21:07:27:06.331,3306.146
2019:06:30:23:15:59.281,2019:07:18:10:29:42.093,1509222.812
2019:07:16:19:41:57.104,2019:07:16:23:13:00.602,12663.498
2019:07:18:10:29:42.093,2019:12:19:22:03:23.414,13347221.321
2019:12:19:22:03:23.414,2020:01:09:21:10:39.596,1811236.182
2020:01:10:17:27:11.816,2020:01:10:21:01:25.066,12853.250

