"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:12:31:32.572,2018:05:17:15:32:54.883,10882.310
2018:05:17:20:45:19.715,2018:05:17:23:46:41.772,10882.057
2018:05:18:04:59:06.872,2018:05:18:08:00:28.690,10881.817
2018:05:18:13:12:54.032,2018:05:18:16:14:15.646,10881.614
2018:05:18:21:26:41.203,2018:05:19:00:28:02.630,10881.427
2018:05:19:05:40:28.382,2018:05:19:08:41:49.642,10881.260
2018:05:19:13:54:15.558,2018:05:19:16:55:36.679,10881.121
2018:05:19:22:08:02.736,2018:05:20:01:09:23.745,10881.009
2018:05:20:06:21:49.914,2018:05:20:09:23:10.833,10880.919
2018:05:20:14:35:37.089,2018:05:20:17:36:57.938,10880.849
2018:05:20:22:49:24.248,2018:05:21:01:50:45.068,10880.820
2018:05:21:07:03:11.404,2018:05:21:10:04:32.213,10880.809
2018:05:21:15:16:58.550,2018:05:21:18:18:19.367,10880.816
2018:05:21:23:30:45.676,2018:05:22:02:32:06.539,10880.864
2018:05:22:07:44:32.789,2018:05:22:10:45:53.720,10880.931
2018:05:22:15:58:19.888,2018:05:22:18:59:40.906,10881.019
2018:05:23:00:12:06.961,2018:05:23:03:13:28.093,10881.132
2018:05:23:08:25:54.016,2018:05:23:11:27:15.287,10881.272
2018:05:23:16:39:41.049,2018:05:23:19:41:02.478,10881.429
2018:05:24:00:53:28.059,2018:05:24:03:54:49.661,10881.601
2018:05:24:09:07:15.037,2018:05:24:12:08:36.844,10881.807
2018:05:24:17:21:01.993,2018:05:24:20:22:24.017,10882.024
2018:05:25:01:34:48.925,2018:05:25:04:36:11.174,10882.250
2018:05:25:09:48:35.821,2018:05:25:12:49:58.325,10882.504
2018:05:25:18:02:22.693,2018:05:25:21:03:45.460,10882.767
2018:05:26:02:16:09.538,2018:05:26:05:17:32.576,10883.038
2018:05:26:10:29:56.354,2018:05:26:13:31:19.669,10883.315
2018:05:26:18:43:43.134,2018:05:26:21:45:06.748,10883.614
2018:05:27:02:57:29.891,2018:05:27:05:58:53.801,10883.910
2018:05:27:11:11:16.622,2018:05:27:14:12:40.826,10884.205
2018:05:27:19:25:03.317,2018:05:27:22:26:27.833,10884.516
2018:05:28:03:38:49.990,2018:05:28:06:40:14.812,10884.822
2018:05:28:11:52:36.639,2018:05:28:14:54:01.757,10885.118
2018:05:28:20:06:23.257,2018:05:28:23:07:48.682,10885.424
2018:05:29:04:20:09.855,2018:05:29:07:21:35.577,10885.722
2018:05:29:12:33:56.431,2018:05:29:15:35:22.441,10886.010
2018:05:29:20:47:42.987,2018:05:29:23:49:09.272,10886.285
2018:05:30:05:01:29.516,2018:05:30:08:02:56.080,10886.564
2018:05:30:13:15:16.033,2018:05:30:16:16:42.856,10886.823
2018:05:30:21:29:02.536,2018:05:31:00:30:29.598,10887.062
2018:05:31:05:42:49.017,2018:05:31:08:44:16.319,10887.302
2018:05:31:13:56:35.491,2018:05:31:16:58:03.010,10887.520
2018:05:31:22:10:21.956,2018:06:01:01:11:49.673,10887.717
2018:06:01:06:24:08.407,2018:06:01:09:25:36.306,10887.899
2018:06:01:14:37:54.855,2018:06:01:17:39:22.920,10888.064
2018:06:01:22:51:41.301,2018:06:02:01:53:09.507,10888.206
2018:06:02:07:05:27.745,2018:06:02:10:06:56.068,10888.322
2018:06:02:15:19:14.183,2018:06:02:18:20:42.614,10888.431
2018:06:02:23:33:00.626,2018:06:03:02:34:29.138,10888.512
2018:06:03:07:46:47.077,2018:06:03:10:48:15.640,10888.562
2018:06:03:16:00:33.527,2018:06:03:19:02:02.132,10888.605
2018:06:04:00:14:19.989,2018:06:04:03:15:48.609,10888.620
2018:06:04:08:28:06.463,2018:06:04:11:29:35.073,10888.610
2018:06:04:16:41:52.948,2018:06:04:19:43:21.522,10888.574
2018:06:05:00:55:39.440,2018:06:05:03:57:07.970,10888.530
2018:06:05:09:09:25.952,2018:06:05:12:10:54.408,10888.456
2018:06:05:17:23:12.483,2018:06:05:20:24:40.838,10888.355
2018:06:06:01:36:59.024,2018:06:06:04:38:27.273,10888.249
2018:06:06:09:50:45.588,2018:06:06:12:52:13.706,10888.118
2018:06:06:18:04:32.175,2018:06:06:21:06:00.136,10887.961
2018:06:07:02:18:18.778,2018:06:07:05:19:46.576,10887.798
2018:06:07:10:32:05.405,2018:06:07:13:33:33.022,10887.617
2018:06:07:18:45:52.056,2018:06:07:21:47:19.474,10887.418
2018:06:08:02:59:38.731,2018:06:08:06:01:05.932,10887.201
2018:06:08:11:13:25.422,2018:06:08:14:14:52.409,10886.986
2018:06:08:19:27:12.142,2018:06:08:22:28:38.896,10886.753
2018:06:09:03:40:58.888,2018:06:09:06:42:25.393,10886.504
2018:06:09:11:54:45.651,2018:06:09:14:56:11.913,10886.262
