"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:10:00:00.000,2018:05:17:12:52:35.402,10355.402
2018:05:17:13:51:31.343,2018:05:17:21:00:40.731,25749.388
2018:05:17:21:59:36.693,2018:05:18:05:08:46.096,25749.403
2018:05:18:06:07:42.076,2018:05:18:13:16:51.498,25749.422
2018:05:18:14:15:47.504,2018:05:18:21:24:56.943,25749.440
2018:05:18:22:23:52.970,2018:05:19:05:33:02.436,25749.466
2018:05:19:06:31:58.485,2018:05:19:13:41:07.979,25749.494
2018:05:19:14:40:04.051,2018:05:19:21:49:13.576,25749.525
2018:05:19:22:48:09.668,2018:05:20:05:57:19.229,25749.561
2018:05:20:06:56:15.344,2018:05:20:14:05:24.940,25749.596
2018:05:20:15:04:21.082,2018:05:20:22:13:30.712,25749.630
2018:05:20:23:12:26.877,2018:05:21:06:21:36.544,25749.667
2018:05:21:07:20:32.732,2018:05:21:14:29:42.438,25749.706
2018:05:21:15:28:38.654,2018:05:21:22:37:48.395,25749.741
2018:05:21:23:36:44.634,2018:05:22:06:45:54.413,25749.779
2018:05:22:07:44:50.680,2018:05:22:14:54:00.493,25749.814
2018:05:22:15:52:56.787,2018:05:22:23:02:06.634,25749.847
2018:05:23:00:01:02.958,2018:05:23:07:10:12.834,25749.876
2018:05:23:08:09:09.188,2018:05:23:15:18:19.091,25749.903
2018:05:23:16:17:15.473,2018:05:23:23:26:25.404,25749.931
2018:05:24:00:25:21.817,2018:05:24:07:34:31.771,25749.953
2018:05:24:08:33:28.220,2018:05:24:15:42:38.189,25749.969
2018:05:24:16:41:34.670,2018:05:24:23:50:44.656,25749.986
2018:05:25:00:49:41.170,2018:05:25:07:58:51.166,25749.996
2018:05:25:08:57:47.717,2018:05:25:16:06:57.720,25750.003
2018:05:25:17:05:54.308,2018:05:26:00:15:04.313,25750.005
2018:05:26:01:14:00.938,2018:05:26:08:23:10.941,25750.003
2018:05:26:09:22:07.604,2018:05:26:16:31:17.601,25749.997
2018:05:26:17:30:14.305,2018:05:27:00:39:24.290,25749.984
2018:05:27:01:38:21.035,2018:05:27:08:47:31.003,25749.968
2018:05:27:09:46:27.791,2018:05:27:16:55:37.738,25749.947
2018:05:27:17:54:34.565,2018:05:28:01:03:44.489,25749.923
2018:05:28:02:02:41.363,2018:05:28:09:11:51.253,25749.890
2018:05:28:10:10:48.173,2018:05:28:17:19:58.027,25749.854
2018:05:28:18:18:54.991,2018:05:29:01:28:04.807,25749.816
2018:05:29:02:27:01.819,2018:05:29:09:36:11.588,25749.769
2018:05:29:10:35:08.649,2018:05:29:17:44:18.366,25749.716
2018:05:29:18:43:15.478,2018:05:30:01:52:25.139,25749.661
2018:05:30:02:51:22.302,2018:05:30:10:00:31.903,25749.601
2018:05:30:10:59:29.116,2018:05:30:18:08:38.654,25749.538
2018:05:30:19:07:35.918,2018:05:31:02:16:45.388,25749.470
2018:05:31:03:15:42.705,2018:05:31:10:24:52.103,25749.398
2018:05:31:11:23:49.472,2018:05:31:18:32:58.795,25749.322
2018:05:31:19:31:56.212,2018:06:01:02:41:05.460,25749.248
2018:06:01:03:40:02.932,2018:06:01:10:49:12.096,25749.165
2018:06:01:11:48:09.624,2018:06:01:18:57:18.705,25749.081
2018:06:01:19:56:16.286,2018:06:02:03:05:25.269,25748.984
2018:06:02:04:04:22.910,2018:06:02:11:13:31.801,25748.891
2018:06:02:12:12:29.492,2018:06:02:19:21:38.292,25748.800
2018:06:02:20:20:36.043,2018:06:03:03:29:44.740,25748.698
2018:06:03:04:28:42.542,2018:06:03:11:37:51.144,25748.602
2018:06:03:12:36:49.001,2018:06:03:19:45:57.501,25748.499
2018:06:03:20:44:55.419,2018:06:04:03:54:03.808,25748.390
2018:06:04:04:53:01.782,2018:06:04:12:02:10.065,25748.283
2018:06:04:13:01:08.089,2018:06:04:20:10:16.269,25748.180
2018:06:04:21:09:14.354,2018:06:05:04:18:22.419,25748.065
2018:06:05:05:17:20.554,2018:06:05:12:26:28.514,25747.960
2018:06:05:13:25:26.704,2018:06:05:20:34:34.552,25747.848
2018:06:05:21:33:32.801,2018:06:06:04:42:40.532,25747.730
2018:06:06:05:41:38.836,2018:06:06:12:50:46.453,25747.617
2018:06:06:13:49:44.806,2018:06:06:20:58:52.315,25747.509
2018:06:06:21:57:50.723,2018:06:07:05:06:58.117,25747.393
2018:06:07:06:05:56.581,2018:06:07:13:15:03.859,25747.278
2018:06:07:14:14:02.375,2018:06:07:21:23:09.540,25747.166
2018:06:07:22:22:08.108,2018:06:08:05:31:15.162,25747.054
2018:06:08:06:30:13.775,2018:06:08:13:39:20.727,25746.952
2018:06:08:14:38:19.389,2018:06:08:21:47:26.228,25746.839
2018:06:08:22:46:24.943,2018:06:09:05:55:31.674,25746.730
2018:06:09:06:54:30.440,2018:06:09:14:03:37.063,25746.623
2018:06:09:15:02:35.875,2018:06:09:22:11:42.399,25746.523
2018:06:09:23:10:41.260,2018:06:10:06:19:47.682,25746.421
2018:06:10:07:18:46.585,2018:06:10:14:27:52.915,25746.330
2018:06:10:15:26:51.869,2018:06:10:22:35:58.102,25746.233
2018:06:10:23:34:57.095,2018:06:11:06:44:03.245,25746.149
2018:06:11:07:43:02.287,2018:06:11:14:52:08.348,25746.060
