"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:12:46:26.896,4407.311154
2018:05:17:12:56:26.000,4286.526085
2018:05:17:13:06:26.000,4175.784326
2018:05:17:13:16:26.000,4077.964813
2018:05:17:13:26:26.000,3995.650941
2018:05:17:13:36:26.000,3931.183994
2018:05:17:13:46:26.000,3886.515425
2018:05:17:13:56:26.000,3863.062952
2018:05:17:14:06:26.000,3861.593555
2018:05:17:14:16:26.000,3882.155684
2018:05:17:14:26:26.000,3924.074864
2018:05:17:14:36:26.000,3986.013665
2018:05:17:14:46:26.000,4066.083361
2018:05:17:14:56:26.000,4161.985662
2018:05:17:15:06:26.000,4271.161115
2018:05:17:15:16:26.000,4390.925194
2018:05:17:15:17:44.868,4407.312093
2018:05:17:21:00:14.835,4407.312093
2018:05:17:21:10:14.000,4286.546048
2018:05:17:21:20:14.000,4175.837250
2018:05:17:21:30:14.000,4078.051221
2018:05:17:21:40:14.000,3995.770463
2018:05:17:21:50:14.000,3931.335241
2018:05:17:22:00:14.000,3886.695932
2018:05:17:22:10:14.000,3863.269201
2018:05:17:22:20:14.000,3861.821108
2018:05:17:22:30:14.000,3882.399401
2018:05:17:22:40:14.000,3924.329192
2018:05:17:22:50:14.000,3986.272946
2018:05:17:23:00:14.000,4066.342116
2018:05:17:23:10:14.000,4162.238815
2018:05:17:23:20:14.000,4271.404151
2018:05:17:23:30:14.000,4391.154235
2018:05:17:23:31:31.775,4407.311153
2018:05:18:05:14:02.798,4407.311583
2018:05:18:05:24:02.000,4286.566691
2018:05:18:05:34:02.000,4175.887990
2018:05:18:05:44:02.000,4078.132479
2018:05:18:05:54:02.000,3995.881841
2018:05:18:06:04:02.000,3931.475414
2018:05:18:06:14:02.000,3886.862594
2018:05:18:06:24:02.000,3863.459092
2018:05:18:06:34:02.000,3862.030136
2018:05:18:06:44:02.000,3882.622849
2018:05:18:06:54:02.000,3924.561977
2018:05:18:07:04:02.000,3986.509902
2018:05:18:07:14:02.000,4066.578254
2018:05:18:07:24:02.000,4162.469524
2018:05:18:07:34:02.000,4271.625337
2018:05:18:07:44:02.000,4391.362395
2018:05:18:07:45:18.787,4407.311387
2018:05:18:13:27:50.768,4407.311174
2018:05:18:13:37:50.000,4286.586435
2018:05:18:13:47:50.000,4175.934952
2018:05:18:13:57:50.000,4078.207009
2018:05:18:14:07:50.000,3995.983547
2018:05:18:14:17:50.000,3931.603067
2018:05:18:14:27:50.000,3887.014082
2018:05:18:14:37:50.000,3863.631445
2018:05:18:14:47:50.000,3862.219638
2018:05:18:14:57:50.000,3882.825223
2018:05:18:15:07:50.000,3924.772625
2018:05:18:15:17:50.000,3986.724161
2018:05:18:15:27:50.000,4066.791621
2018:05:18:15:37:50.000,4162.677848
2018:05:18:15:47:50.000,4271.824936
2018:05:18:15:57:50.000,4391.550124
2018:05:18:15:59:05.898,4407.311962
2018:05:18:21:41:38.739,4407.311119
2018:05:18:21:51:38.000,4286.603723
2018:05:18:22:01:38.000,4175.976581
2018:05:18:22:11:38.000,4078.273288
2018:05:18:22:21:38.000,3996.074125
2018:05:18:22:31:38.000,3931.716847
2018:05:18:22:41:38.000,3887.149176
2018:05:18:22:51:38.000,3863.785203
2018:05:18:23:01:38.000,3862.388744
2018:05:18:23:11:38.000,3883.005860
2018:05:18:23:21:38.000,3924.960693
2018:05:18:23:31:38.000,3986.915497
2018:05:18:23:41:38.000,4066.982211
2018:05:18:23:51:38.000,4162.863988
2018:05:19:00:01:38.000,4272.003343
2018:05:19:00:11:38.000,4391.717992
2018:05:19:00:12:53.096,4407.311132
2018:05:19:05:55:26.701,4407.311790
2018:05:19:06:05:26.000,4286.617026
2018:05:19:06:15:26.000,4176.011368
2018:05:19:06:25:26.000,4078.329860
2018:05:19:06:35:26.000,3996.152206
2018:05:19:06:45:26.000,3931.815500
2018:05:19:06:55:26.000,3887.266772
2018:05:19:07:05:26.000,3863.919438
2018:05:19:07:15:26.000,3862.536722
2018:05:19:07:25:26.000,3883.164243
2018:05:19:07:35:26.000,3925.125882
2018:05:19:07:45:26.000,3987.083834
2018:05:19:07:55:26.000,4067.150161
2018:05:19:08:05:26.000,4163.028285
2018:05:19:08:15:26.000,4272.161086
2018:05:19:08:25:26.000,4391.866695
2018:05:19:08:26:40.389,4407.311186
2018:05:19:14:09:14.655,4407.311187
2018:05:19:14:19:14.000,4286.624855
2018:05:19:14:29:14.000,4176.037862
2018:05:19:14:39:14.000,4078.375345
2018:05:19:14:49:14.000,3996.216508
2018:05:19:14:59:14.000,3931.897880
2018:05:19:15:09:14.000,3887.365886
2018:05:19:15:19:14.000,3864.033351
2018:05:19:15:29:14.000,3862.662981
2018:05:19:15:39:14.000,3883.299995
