"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:22:10:55:37.485,2018:06:06:07:47:26.886,1284709.401
2018:06:20:22:45:37.564,2018:07:05:17:47:46.254,1278128.690
2018:07:20:10:44:12.886,2018:07:27:17:45:57.690,630104.804
2018:07:27:22:54:20.957,2018:08:04:03:33:22.659,621541.702
2018:08:18:23:01:44.036,2018:09:02:13:48:54.571,1262830.535
2018:09:17:11:44:34.238,2018:10:02:01:13:34.027,1258139.789
2018:10:17:00:52:29.370,2018:10:31:14:10:58.015,1257508.645
2018:11:15:14:18:06.640,2018:11:30:04:40:39.404,1261352.764
2018:12:15:03:49:37.892,2018:12:29:20:15:26.736,1268748.844
2019:01:13:17:15:26.642,2019:01:21:03:05:51.797,640225.155
2019:01:21:07:25:16.102,2019:01:28:12:08:08.606,621772.504
2019:02:12:06:27:41.370,2019:02:27:03:26:22.518,1285121.148
2019:03:13:19:22:45.312,2019:03:28:17:29:00.713,1289175.401
2019:04:12:07:59:59.274,2019:04:27:05:57:21.683,1288642.409
2019:05:11:20:20:58.211,2019:05:17:10:00:00.000,481141.789

