"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:17:11:16:51.719,2018:05:18:07:30:16.157,72804.438
2018:05:18:10:17:25.025,2018:05:19:06:23:01.318,72336.292
2018:05:19:09:27:41.398,2018:05:20:05:12:37.429,71096.031
2018:05:20:08:54:45.635,2018:05:21:04:00:04.450,68718.815
2018:05:21:08:52:18.693,2018:05:22:02:45:59.372,64420.680
2018:05:22:09:46:07.865,2018:05:23:01:30:45.168,56677.304
2018:05:23:12:11:16.511,2018:05:24:00:14:35.252,43398.741
2018:05:24:15:45:32.778,2018:05:24:22:57:34.788,25922.010
2018:05:25:18:16:49.171,2018:05:25:21:39:37.276,12168.105
2018:05:26:19:00:43.422,2018:05:26:20:20:01.735,4758.313
2018:06:04:09:08:47.179,2018:06:04:09:54:03.254,2716.075
2018:06:05:07:47:37.084,2018:06:05:10:04:18.448,8201.364
2018:06:06:06:29:05.862,2018:06:06:11:42:15.872,18790.010
2018:06:07:05:11:41.388,2018:06:07:15:02:24.410,35443.022
2018:06:08:03:55:07.816,2018:06:08:18:09:42.606,51274.790
2018:06:09:02:39:26.015,2018:06:09:19:41:53.410,61347.395
2018:06:10:01:24:45.652,2018:06:10:20:01:29.476,67003.824
2018:06:11:00:11:24.818,2018:06:11:19:40:32.950,70148.132
2018:06:11:22:59:53.043,2018:06:12:18:57:33.288,71860.246
2018:06:12:21:50:57.829,2018:06:13:18:02:05.147,72667.319
2018:06:13:20:45:57.290,2018:06:14:16:59:11.269,72793.979
2018:06:14:19:47:04.768,2018:06:15:15:51:38.286,72273.518
2018:06:15:18:58:18.321,2018:06:16:14:41:02.233,70963.912
2018:06:16:18:27:03.281,2018:06:17:13:28:20.750,68477.468
2018:06:17:18:27:41.041,2018:06:18:12:14:09.453,63988.412
2018:06:18:19:27:01.363,2018:06:19:10:58:50.418,55909.055
2018:06:19:21:59:23.744,2018:06:20:09:42:36.432,42192.687
2018:06:21:01:33:45.691,2018:06:21:08:25:31.957,24706.266
2018:06:22:03:56:41.813,2018:06:22:07:07:29.190,11447.376
2018:06:23:04:34:29.342,2018:06:23:05:47:41.605,4392.263
2018:07:01:18:36:17.833,2018:07:01:19:26:45.426,3027.592
2018:07:02:17:15:28.111,2018:07:02:19:41:54.881,8786.770
2018:07:03:15:57:02.797,2018:07:03:21:28:48.762,19905.965
2018:07:04:14:39:42.185,2018:07:05:00:53:41.998,36839.813
2018:07:05:13:23:12.263,2018:07:06:03:54:39.095,52286.832
2018:07:06:12:07:34.640,2018:07:07:05:19:44.051,61929.411
2018:07:07:10:52:59.532,2018:07:08:05:35:07.562,67328.030
2018:07:08:09:39:45.767,2018:07:09:05:11:54.129,70328.362
