"Time (YYYY:MM:DD)","Range (km)"
2018:05:17:11:04:45.421,4642.933140
2018:05:17:11:14:45.000,4975.755480
2018:05:17:11:24:45.000,5321.898036
2018:05:17:11:34:45.000,5673.767693
2018:05:17:11:44:45.000,6026.379084
2018:05:17:11:54:45.000,6376.394141
2018:05:17:12:04:45.000,6721.596011
2018:05:17:12:14:45.000,7060.527991
2018:05:17:12:24:45.000,7392.249706
2018:05:17:12:34:45.000,7716.172923
2018:05:17:12:44:45.000,8031.950592
2018:05:17:12:54:45.000,8339.401358
2018:05:17:13:04:45.000,8638.457775
2018:05:17:13:14:45.000,8929.130502
2018:05:17:13:24:45.000,9211.483348
2018:05:17:13:34:45.000,9485.615761
2018:05:17:13:44:45.000,9751.650477
2018:05:17:13:54:45.000,10009.724768
2018:05:17:14:04:45.000,10259.984233
2018:05:17:14:14:45.000,10502.578386
2018:05:17:14:24:45.000,10737.657535
2018:05:17:14:34:45.000,10965.370591
2018:05:17:14:44:45.000,11185.863539
2018:05:17:14:54:45.000,11399.278396
2018:05:17:15:04:45.000,11605.752528
2018:05:17:15:14:45.000,11805.418210
2018:05:17:15:24:45.000,11998.402381
2018:05:17:15:34:45.000,12184.826532
2018:05:17:15:44:45.000,12364.806683
2018:05:17:15:54:45.000,12538.453439
2018:05:17:16:04:45.000,12705.872087
2018:05:17:16:14:45.000,12867.162721
2018:05:17:16:24:45.000,13022.420402
2018:05:17:16:34:45.000,13171.735313
2018:05:17:16:44:45.000,13315.192938
2018:05:17:16:54:45.000,13452.874225
2018:05:17:17:04:45.000,13584.855768
2018:05:17:17:14:45.000,13711.209964
2018:05:17:17:24:45.000,13832.005183
2018:05:17:17:34:45.000,13947.305920
2018:05:17:17:44:45.000,14057.172945
2018:05:17:17:54:45.000,14161.663446
2018:05:17:18:04:45.000,14260.831159
2018:05:17:18:14:45.000,14354.726496
2018:05:17:18:24:45.000,14443.396662
2018:05:17:18:34:45.000,14526.885768
2018:05:17:18:44:45.000,14605.234927
2018:05:17:18:54:45.000,14678.482357
2018:05:17:19:04:45.000,14746.663464
2018:05:17:19:14:45.000,14809.810924
2018:05:17:19:24:45.000,14867.954759
2018:05:17:19:34:45.000,14921.122405
2018:05:17:19:44:45.000,14969.338770
2018:05:17:19:54:45.000,15012.626297
2018:05:17:20:04:45.000,15051.005007
2018:05:17:20:14:45.000,15084.492548
2018:05:17:20:24:45.000,15113.104232
2018:05:17:20:34:45.000,15136.853068
2018:05:17:20:44:45.000,15155.749794
2018:05:17:20:54:45.000,15169.802894
2018:05:17:21:04:45.000,15179.018623
2018:05:17:21:14:45.000,15183.401017
2018:05:17:21:24:45.000,15182.951899
2018:05:17:21:34:45.000,15177.670891
2018:05:17:21:44:45.000,15167.555401
2018:05:17:21:54:45.000,15152.600628
2018:05:17:22:04:45.000,15132.799544
2018:05:17:22:14:45.000,15108.142880
2018:05:17:22:24:45.000,15078.619107
2018:05:17:22:34:45.000,15044.214406
2018:05:17:22:44:45.000,15004.912641
2018:05:17:22:54:45.000,14960.695319
2018:05:17:23:04:45.000,14911.541552
2018:05:17:23:14:45.000,14857.428003
2018:05:17:23:24:45.000,14798.328840
2018:05:17:23:34:45.000,14734.215670
2018:05:17:23:44:45.000,14665.057477
2018:05:17:23:54:45.000,14590.820549
2018:05:18:00:04:45.000,14511.468397
2018:05:18:00:14:45.000,14426.961671
2018:05:18:00:24:45.000,14337.258063
2018:05:18:00:34:45.000,14242.312211
2018:05:18:00:44:45.000,14142.075585
2018:05:18:00:54:45.000,14036.496371
2018:05:18:01:04:45.000,13925.519347
2018:05:18:01:14:45.000,13809.085745
2018:05:18:01:24:45.000,13687.133107
2018:05:18:01:34:45.000,13559.595140
2018:05:18:01:44:45.000,13426.401542
