"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2018:05:22:12:55:30.375,2018:06:06:06:03:22.069,1271271.694
2018:06:21:00:02:58.239,2018:07:05:17:00:11.394,1270633.156
2018:07:20:10:56:14.517,2018:07:27:17:48:56.033,629561.516
2018:07:27:22:56:31.778,2018:08:04:03:56:23.997,622792.219
2018:08:18:22:02:20.256,2018:09:02:15:18:47.518,1271787.262
2018:09:17:09:46:08.814,2018:10:02:03:28:41.216,1273352.402
2018:10:16:22:24:01.805,2018:10:31:16:35:55.141,1275113.336
2018:11:15:11:58:38.665,2018:11:30:06:35:15.168,1276596.503
2018:12:15:02:17:13.762,2018:12:29:21:07:09.365,1277395.603
2019:01:13:16:54:50.099,2019:01:21:03:07:48.130,641578.031
2019:01:21:07:19:19.270,2019:01:28:11:43:21.273,620642.003
2019:02:12:07:21:46.400,2019:02:27:01:55:00.707,1276394.307
2019:03:13:21:12:02.503,2019:03:28:15:20:23.648,1274901.144
2019:04:12:10:09:47.205,2019:04:27:03:49:57.249,1273210.044
2019:05:11:22:12:30.753,2019:05:17:10:00:00.000,474449.247

