"Time (YYYY:MM:DD)","Range (km)","Elevation (deg)","Azimuth (deg)"
2018:05:17:12:41:27.460,2491.432054,-55.110,300.570
2018:05:17:12:42:27.000,2469.845156,-55.113,299.703
2018:05:17:12:43:27.000,2448.676213,-55.122,298.799
2018:05:17:12:44:27.000,2428.122883,-55.137,297.864
2018:05:17:12:45:27.000,2408.213872,-55.157,296.897
2018:05:17:12:46:27.000,2388.977819,-55.183,295.899
2018:05:17:12:47:27.000,2370.443212,-55.212,294.869
2018:05:17:12:48:27.000,2352.638289,-55.245,293.808
2018:05:17:12:49:27.000,2335.590933,-55.282,292.716
2018:05:17:12:50:27.000,2319.328563,-55.321,291.593
2018:05:17:12:51:27.000,2303.878019,-55.363,290.441
2018:05:17:12:52:27.000,2289.265441,-55.406,289.259
2018:05:17:12:53:27.000,2275.516144,-55.449,288.048
2018:05:17:12:54:27.000,2262.654490,-55.493,286.810
2018:05:17:12:55:27.000,2250.703761,-55.537,285.546
2018:05:17:12:56:27.000,2239.686026,-55.579,284.256
2018:05:17:12:57:27.000,2229.622018,-55.620,282.943
2018:05:17:12:58:27.000,2220.531002,-55.659,281.608
2018:05:17:12:59:27.000,2212.430660,-55.694,280.254
2018:05:17:13:00:27.000,2205.336969,-55.727,278.881
2018:05:17:13:01:27.000,2199.264103,-55.755,277.492
2018:05:17:13:02:27.000,2194.224328,-55.779,276.090
2018:05:17:13:03:27.000,2190.227920,-55.799,274.677
2018:05:17:13:04:27.000,2187.283089,-55.814,273.255
2018:05:17:13:05:27.000,2185.395921,-55.823,271.827
2018:05:17:13:06:27.000,2184.570331,-55.827,270.395
2018:05:17:13:07:27.000,2184.808038,-55.826,268.963
2018:05:17:13:08:27.000,2186.108547,-55.819,267.533
2018:05:17:13:09:27.000,2188.469157,-55.808,266.107
2018:05:17:13:10:27.000,2191.884978,-55.791,264.689
2018:05:17:13:11:27.000,2196.348970,-55.769,263.280
2018:05:17:13:12:27.000,2201.851991,-55.743,261.884
2018:05:17:13:13:27.000,2208.382867,-55.713,260.502
2018:05:17:13:14:27.000,2215.928471,-55.679,259.137
2018:05:17:13:15:27.000,2224.473809,-55.642,257.791
2018:05:17:13:16:27.000,2234.002129,-55.602,256.466
2018:05:17:13:17:27.000,2244.495028,-55.561,255.163
2018:05:17:13:18:27.000,2255.932571,-55.517,253.885
2018:05:17:13:19:27.000,2268.293413,-55.474,252.632
2018:05:17:13:20:27.000,2281.554926,-55.430,251.406
2018:05:17:13:21:27.000,2295.693332,-55.386,250.208
2018:05:17:13:22:27.000,2310.683826,-55.344,249.039
2018:05:17:13:23:27.000,2326.500709,-55.303,247.900
2018:05:17:13:24:27.000,2343.117515,-55.265,246.791
2018:05:17:13:25:27.000,2360.507130,-55.230,245.713
2018:05:17:13:26:27.000,2378.641914,-55.198,244.666
2018:05:17:13:27:27.000,2397.493812,-55.171,243.650
2018:05:17:13:28:27.000,2417.034462,-55.148,242.666
2018:05:17:13:29:27.000,2437.235299,-55.130,241.713
2018:05:17:13:30:27.000,2458.067640,-55.117,240.791
2018:05:17:13:31:27.000,2479.502783,-55.111,239.901
2018:05:17:13:31:59.713,2491.433320,-55.110,239.429
2018:05:17:16:53:24.689,2491.432132,-55.110,300.577
2018:05:17:16:54:24.000,2469.922681,-55.113,299.713
2018:05:17:16:55:24.000,2448.746894,-55.122,298.809
2018:05:17:16:56:24.000,2428.186542,-55.137,297.874
2018:05:17:16:57:24.000,2408.270334,-55.157,296.908
2018:05:17:16:58:24.000,2389.026916,-55.182,295.909
2018:05:17:16:59:24.000,2370.484783,-55.212,294.880
2018:05:17:17:00:24.000,2352.672179,-55.245,293.819
2018:05:17:17:01:24.000,2335.616997,-55.282,292.727
2018:05:17:17:02:24.000,2319.346665,-55.321,291.605
2018:05:17:17:03:24.000,2303.888032,-55.363,290.452
2018:05:17:17:04:24.000,2289.267251,-55.406,289.270
2018:05:17:17:05:24.000,2275.509647,-55.449,288.060
2018:05:17:17:06:24.000,2262.639596,-55.493,286.822
2018:05:17:17:07:24.000,2250.680395,-55.537,285.558
2018:05:17:17:08:24.000,2239.654126,-55.580,284.268
2018:05:17:17:09:24.000,2229.581538,-55.620,282.955
2018:05:17:17:10:24.000,2220.481912,-55.659,281.620
2018:05:17:17:11:24.000,2212.372946,-55.695,280.265
2018:05:17:17:12:24.000,2205.270637,-55.727,278.893
2018:05:17:17:13:24.000,2199.189173,-55.756,277.504
2018:05:17:17:14:24.000,2194.140840,-55.780,276.102
2018:05:17:17:15:24.000,2190.135931,-55.799,274.688
2018:05:17:17:16:24.000,2187.182675,-55.814,273.266
2018:05:17:17:17:24.000,2185.287175,-55.824,271.838
2018:05:17:17:18:24.000,2184.453365,-55.828,270.406
